"","lang.name","model.name","max.name","max.value"
"1","COM1-4.1","COM1","Múra.Pirahá",0.322
"2","COM1-4.2","COM1","Wobé",0.335
"3","COM1-4.3","COM1","Bété",0.41
"4","COM1-4.4","COM1","Wobé",0.358
"5","COM1-4.5","COM1","Kwerba",0.324
"6","COM1-4.6","COM1","Múra.Pirahá",0.426
"7","COM1-4.7","COM1","Yacouba",0.283
"8","COM1-4.8","COM1","Wobé",0.481
"9","COM1-4.9","COM1","Múra.Pirahá",0.332
"10","COM1-4.10","COM1","Bauzi",0.389
"11","COM1-4.11","COM1","Wobé",0.375
"12","COM1-4.12","COM1","Múra.Pirahá",0.338
"13","COM1-4.13","COM1","Wobé",0.391
"14","COM1-4.14","COM1","Múra.Pirahá",0.361
"15","COM1-4.15","COM1","Wobé",0.412
"16","COM1-4.16","COM1","Múra.Pirahá",0.377
"17","COM1-4.17","COM1","Bauzi",0.35
"18","COM1-4.18","COM1","Múra.Pirahá",0.406
"19","COM1-4.19","COM1","Bauzi",0.377
"20","COM1-4.20","COM1","Múra.Pirahá",0.393
"21","COM2-4.1","COM2","Zapotec",0.266
"22","COM2-4.12","COM2","Chayahuita",0.259
"23","COM2-4.14","COM2","Mikasuki",0.291
"24","COM2-4.15","COM2","Zapotec",0.334
"25","COM2-4.16","COM2","Vagla",0.243
"26","COM2-4.17","COM2","Chayahuita",0.308
"27","COM2-4.18","COM2","Ocaina",0.247
"28","COM2-4.19","COM2","Ocaina",0.301
"29","COM2-4.20","COM2","Ocaina",0.294
"30","COM2-4.2","COM2","Mikasuki",0.316
"31","COM2-4.3","COM2","Ocaina",0.271
"32","COM2-4.4","COM2","Mikasuki",0.333
"33","COM2-4.5","COM2","Chayahuita",0.271
"34","COM2-4.6","COM2","Zapotec",0.285
"35","COM2-4.7","COM2","Ocaina",0.303
"36","COM2-4.8","COM2","Ocaina",0.267
"37","COM2-4.9","COM2","Waorani",0.168
"38","COM2-4.10","COM2","Chayahuita",0.305
"39","COM2-4.11","COM2","Chayahuita",0.357
"40","COM2-4.13","COM2","Zapotec",0.296
"41","COM3-4.1","COM3","Colorado",0.316
"42","COM3-4.2","COM3","Zapotec",0.281
"43","COM3-4.3","COM3","Zapotec",0.255
"44","COM3-4.4","COM3","Colorado",0.357
"45","COM3-4.5","COM3","Mikasuki",0.314
"46","COM3-4.6","COM3","Colorado",0.347
"47","COM3-4.7","COM3","Colorado",0.336
"48","COM3-4.8","COM3","Colorado",0.364
"49","COM3-4.9","COM3","Candoshi",0.28
"50","COM3-4.10","COM3","Mikasuki",0.315
"51","COM3-4.11","COM3","Wobé",0.357
"52","COM3-4.12","COM3","Iduna",0.303
"53","COM3-4.13","COM3","Papago",0.341
"54","COM3-4.14","COM3","Zapotec",0.235
"55","COM3-4.15","COM3","Vagla",0.373
"56","COM3-4.16","COM3","Zapotec",0.285
"57","COM3-4.17","COM3","Colorado",0.304
"58","COM3-4.18","COM3","Candoshi",0.334
"59","COM3-4.19","COM3","Vagla",0.321
"60","COM3-4.20","COM3","Colorado",0.372
