"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"RKK3.1",0.125120497191809,0.129258602854568,0.0940123062426718,0.185418557171423,0.0817567868895989,0.334651166792001,0.108881280649398,0.223979766429834,0.105879293801374,0.168750861462626,0.0872600208505848,0.132709604768778,0.073321567432519,0.0574333951376764,0.139629818754599,0.240247184520125,0.115035454607842,0.194802576925299,0.0390531481584881,0.064258663207152
"RKK4.1",0.152301233401745,0.140022218195752,0.126502339421947,0.227659252360527,0.0796153430870373,0.274631224392363,0.142077187695809,0.278531684739129,0.132301757447196,0.210490063643585,0.0992778944734284,0.146908461843296,0.0752534794042669,0.0942743849690763,0.192537868569733,0.24769136705996,0.142501579149105,0.231434011058106,0.0658511374370491,0.0838437128389612
"RKK5.1",0.158093805907034,0.18143776569175,0.165833066475746,0.30845084687635,0.0890381480055586,0.27358209717318,0.200249007127926,0.345100873020227,0.203456431114648,0.262661504272196,0.128250189954382,0.196224716102016,0.135301812379415,0.121043951968585,0.189970714816312,0.337159012855526,0.176420306766145,0.307554627864714,0.0757111039194502,0.107159948080557
"RKK6.1",0.176791139650979,0.229573738037905,0.179993618004833,0.356151261407063,0.0923777932605778,0.309041302878714,0.221550950159016,0.357586623027316,0.205644392340484,0.299630349372361,0.160545038368492,0.239356607265727,0.167530789769978,0.146821760881708,0.196267579838643,0.361032825879483,0.19127917990799,0.350616055170489,0.0836571550055175,0.137001523799682
"CO3.1",0.0669567590585024,0.0752549387974187,0.0616461984383683,0.137856389299996,0.0553569928150015,0.176231973802967,0.0580106637578618,0.141139933119588,0.0851319176544133,0.130627203062327,0.0489732715630667,0.0886936124713311,0.0540946748262139,0.044626319576731,0.110604435980707,0.203451756886867,0.0734137796393095,0.120067135737239,0.0275278686723973,0.0356848094912296
"CO3.2",0.131007018999644,0.119929988638484,0.104268682902332,0.179014275631769,0.0846037223508158,0.28805348353721,0.100487490668896,0.190772042855155,0.0756370495692774,0.151567551622649,0.0924112319397618,0.160505302747172,0.0994830460580185,0.0659903044907984,0.147721218466273,0.245650996474655,0.119363325317853,0.158556796840297,0.0303407724938108,0.0651078603938743
"CO3.3",0.062870949251466,0.114844383894968,0.078219409996883,0.183615107146895,0.0659966334604608,0.261284703563489,0.0882634606789095,0.21246494328419,0.135784270684533,0.152573914145983,0.0651466962238078,0.0870027290237037,0.0622861609600233,0.0515971887041676,0.113938688179663,0.279794583601268,0.0901179851120124,0.188157078343552,0.0283305908672846,0.0382502194814782
"CO3.4",0.118847665720282,0.11656670226396,0.0922126751716783,0.183792191577121,0.074341244027294,0.321098417740473,0.11058209827724,0.222475883990412,0.0885719980788801,0.166989228437049,0.0799841929133922,0.130272021600822,0.0788141760291974,0.070045839524611,0.143534153694426,0.240558421213992,0.109459946533749,0.192875850671099,0.0320438131610377,0.0793864420200933
"CO3.5",0.123001703819881,0.119252137189884,0.0837942857630436,0.188945673863692,0.0701096850246623,0.340290653258797,0.103662296395938,0.24197333135603,0.108202232133609,0.163883804278462,0.0745270846875409,0.13510862900368,0.0781026550891883,0.078665273002969,0.145636125779826,0.262800490453275,0.108965254048231,0.21176576572268,0.0370424745086773,0.0812345816261316
"CO3.6",0.0778001851378061,0.0892655082742945,0.0715466771138744,0.168194158938399,0.0630794273847331,0.247371685139624,0.0925130221895287,0.202950489505107,0.102345259805051,0.15227493126233,0.060079742195846,0.0992522742834386,0.0510492212571176,0.0645005472644105,0.147072783233463,0.239917959969532,0.0798609077305754,0.169868718636623,0.0301967158279748,0.0398420193799685
