"","Abidji","Agarabi","Agta","Aguacatec","Amarakaeri","Ampeeli","Amuzgo","Angaatiha","Apinayé","Arabela","Bahinemo","Bauzi","Berik","Bété","Bhili","Buglere","Cakchiquel","Campa","Camsa","Candoshi","Cavineña","Cayapa","Chácobo","Chavacano","Chayahuita","Chinantec","Chiquitano","Chumburu","Cofán","Colorado","Cree","Culina","Didinga","Djuka","Dyimini","Ejagam","Ese Ejja","Garífuna","Guahibo","Guambiano","Guarijío","Guaymí","Gunu","Halbi","Huastec","Huave","Iduna","Ifugao","Iwam","Jicaque","Kalam","Kamano-Kafe","Karajá","Kemtuik","Kokni","Konkomba","Kriol","Kuku-Yalanji","Kuna","Kwerba","Lele","Mampruli","Maring","Martu-Wangka","Mawchi","Mayoruna","Mazahua","Mazatec","Menye","Micmac","Mikasuki","Mixtec","Mundu","Múra Pirahá","Murle","Murrinh-Patha","Nafaanra","Nahuatl","Ocaina","Papago","Patep","Paya","Podopa","Saramaccan","Seri","Shipibo","Sirionó","Slave","Sursurunga","Tabla","Tacana","Tarahumara (Central)","Tarahumara (Western)","Tboli","Teribe","Ticuna","Tifal","Tlapanec","Tucano","Vagla","Vasavi","Waorani","Walpiri","Wobé","Yacouba","Yakan","Yaminahua","Yucuna","Yupik","Zapotec"
"Abidji",0.23213842629574,0.106088022492241,0.101173102671523,0.127253171745621,0.162144420051705,0.105897078784804,0.107033701736027,0.144272138265341,0.150303881853164,0.135460693121151,0.146873815750874,0.167551067862415,0.130427746551485,0.140788258188642,0.153337393478194,0.153900080965757,0.100967333422806,0.0552257540841751,0.0976179554041529,0.158022279189428,0.152749661035144,0.136653098157595,0.15813096050153,0.124766370273796,0.15803527489632,0.132165151240786,0.0844382881270315,0.152297540454049,0.166482599659209,0.163109760214243,0.151087781396363,0.177916762131759,0.160183567864625,0.135674550004736,0.179568865671144,0.141315539266363,0.176352672212664,0.0808354708008398,0.103626984708576,0.137806863094913,0.178546731207997,0.135664832068615,0.125292263457482,0.0826068475037822,0.157810270916815,0.120987074882725,0.147819636973917,0.135290038138219,0.120114888279549,0.163621622096017,0.125674985137018,0.148188068489712,0.139717630991961,0.135296946417501,0.139388412241892,0.151155413266476,0.117020123772168,0.100300986369779,0.109585236255734,0.150681535297172,0.174888841328673,0.15505614885142,0.0966878705205245,0.168224578066718,0.146485167055026,0.167803187142488,0.0530787654778849,0.0965746980178924,0.162392820805173,0.138413627795193,0.115633708779072,0.1246502562953,0.131784633407867,0.161717884130762,0.127472287078659,0.124068339234117,0.141245468244876,0.178801543869461,0.17099019976233,0.13687254490322,0.154410905742179,0.171996415868775,0.145599970075445,0.104003583994852,0.15527898520242,0.142309856382814,0.157787541762126,0.099743148618104,0.180031058583768,0.177673370790449,0.111505692687342,0.156487230071001,0.181535055195181,0.16830760635981,0.14289346507083,0.150085430083291,0.0350574338110536,0.113643730411176,0.159497171348223,0.175439652689747,0.145337582366097,0.141424806898907,0.0796153288640022,0.14121752289214,0.13516613151554,0.140708644002371,0.186642707704679,0.166968495638582,0.169999289245444,0.160498661791347
"Agarabi",0.106084288017715,0.282006496565084,0.121562536867705,0.23260040672081,0.260554993867922,0.176807701075153,0.18020430402783,0.218625847852551,0.224302045599249,0.208012001628066,0.24552485500312,0.239670593271866,0.212820420777772,0.152858025440935,0.213978496314962,0.236193195925578,0.160304938524436,0.0582698401716407,0.16083363076821,0.240131593157565,0.227453606432415,0.191546496671731,0.191750355732391,0.186495952796649,0.22238765579904,0.194040337617632,0.145428695497361,0.22393278591673,0.246636477041827,0.259428244659403,0.175595375469779,0.183595085212288,0.237982578967887,0.203824237066035,0.239502881411929,0.183136216112818,0.236136375589101,0.123155970208617,0.159982860716456,0.231265938680909,0.234801144801858,0.183159865830526,0.134702137582894,0.130918621137719,0.230546104102364,0.189198058488002,0.242594056390576,0.185844078203566,0.154676394592961,0.246179388780834,0.23330165044234,0.236119701933552,0.177738774988293,0.221854148262566,0.223778590525021,0.159963941352405,0.187750335644144,0.115780360463128,0.164441337822251,0.152492092452765,0.217054266282648,0.153878596722446,0.0981652119634815,0.206603152083826,0.222834134439181,0.203658019093602,0.0773545234954815,0.145021384883323,0.233436342741207,0.191964350837773,0.174073032999228,0.191321391108324,0.118563844997109,0.194070212871659,0.199523480872602,0.130281788616836,0.197707871472962,0.246487480723082,0.249024152379224,0.172550819937241,0.260520820986202,0.223991810009364,0.19079254519761,0.181265001007369,0.231209691717561,0.213382308579007,0.20977864913294,0.16553283584488,0.245113093512239,0.230519413301047,0.164496349704277,0.204984028522695,0.258942653605708,0.258224443422512,0.236909074209635,0.216694923204653,0.0302555069428969,0.180138969787897,0.22317381280407,0.252279309765784,0.234473095290141,0.160837220996647,0.115570494420051,0.167418935226623,0.165090619361019,0.209816137569694,0.237718411524435,0.238126648302123,0.240683696166937,0.250422056346901
"Agta",0.101290078185054,0.124146192574191,0.168810659553436,0.145972786563049,0.191617381692187,0.132311687584225,0.1055057810984,0.155601282361381,0.164784898071627,0.144470413182499,0.163051161091603,0.182129791127983,0.1568155105,0.121506477335827,0.171832429299564,0.183049925649837,0.10972341575576,0.0632394409471557,0.0848105236065827,0.171889865738698,0.161035250405087,0.162516473137804,0.164218745848499,0.130068612447296,0.176201861327299,0.143037671709691,0.0868433172174965,0.147432007577164,0.190762158395031,0.183520735334446,0.144706975321803,0.144887570106178,0.159008513031076,0.146568727388775,0.168461961027929,0.134725112146168,0.165055375141561,0.0705173817242094,0.126125004916586,0.120051935968472,0.196980347187911,0.152515586872984,0.113509658424328,0.112408303581536,0.17415434586264,0.119755136135276,0.160954771812183,0.145409110671295,0.113077806966174,0.179421805987946,0.133056965422603,0.143566298822417,0.151024704895303,0.161815510371509,0.151234023197535,0.126291494331176,0.124973210439567,0.115436983195472,0.130867223406474,0.119111002227141,0.169845668367027,0.130104847372886,0.0878019986488601,0.136758555462688,0.167471681993709,0.184076338608423,0.0644752263823529,0.104057237725797,0.171717004344205,0.129056109407885,0.104162937272255,0.14375899269375,0.110581488004924,0.146004750906881,0.147941302985752,0.133809134486546,0.143079047118959,0.174239280341205,0.202185065471076,0.136272875968138,0.176151488855607,0.184500897248594,0.148363733093488,0.131957230657655,0.158817442163213,0.145184820261476,0.188959854506769,0.0871004401272291,0.210931177346349,0.197916746151018,0.116557551821251,0.155765614190644,0.216501508823807,0.194993975377251,0.144960600884825,0.159210983825449,0.0458719928189736,0.120828128930243,0.182611692206846,0.17845336681687,0.179482056954953,0.118568389129056,0.0731752698690072,0.125254359499815,0.11228748738763,0.151569286583564,0.199990682504948,0.191263356925364,0.179347975077009,0.199862063504294
"Aguacatec",0.124313283616748,0.235232923643791,0.146036996958498,0.445667850835494,0.376366053934414,0.22983651045656,0.284282799092664,0.278335475072524,0.265213470732122,0.246465231957682,0.305977645214408,0.291415140802891,0.237013699602279,0.179894726959016,0.273186318480682,0.329380947640887,0.29016067010392,0.0731833144176962,0.280676637419177,0.314285618446041,0.307660656897192,0.262015471061855,0.215367502177242,0.313452829819304,0.290052347480338,0.324493947710077,0.229593121686336,0.295074514965064,0.361075084995784,0.335928737761263,0.233383808146411,0.214439111187286,0.285908536920696,0.282105728315056,0.268121105358276,0.21545573064158,0.315082095849307,0.218244992190177,0.222697024122038,0.331401918452359,0.332513321236317,0.238417276243431,0.150930307910434,0.15806489394589,0.345934547993051,0.315894209320586,0.305509916450686,0.212618239447894,0.181168096037198,0.313852784435666,0.270809341778263,0.328084830350653,0.197662333721859,0.286707038534016,0.291057205790333,0.180972189629857,0.308118778546709,0.129726310212707,0.228502231682919,0.173309155997423,0.23380436874552,0.167472465595649,0.111672587018828,0.237992790110662,0.289314020121503,0.237249590972715,0.1427497789255,0.235744748224692,0.267437376531336,0.316351027791914,0.278634168828005,0.291769637614272,0.141059082648564,0.242636572193862,0.261615328164016,0.151124179937019,0.225443266665334,0.398996529579482,0.345472396759633,0.261812669137404,0.354603351553786,0.286498116549316,0.22582417588425,0.279650559441721,0.29403255521562,0.294974484514704,0.252356130884398,0.262520208157625,0.306698851412076,0.270869445629133,0.243448198668262,0.259813328466836,0.321973133831008,0.322637444899538,0.315197027457493,0.292148409519859,0.0461471997599679,0.277866849366124,0.288161015794538,0.301573637698911,0.298352056675015,0.192917158773148,0.142716075030386,0.205775907185307,0.185832347106469,0.332167799021482,0.276102718621228,0.341838337590341,0.303623951027333,0.362387380076428
"Amarakaeri",0.164503999886645,0.263814034496381,0.191314280425951,0.376381512452664,0.889868184117301,0.274435416787226,0.367499616520756,0.399284800152126,0.365728939904724,0.315403086017637,0.412150533033558,0.434216101703692,0.333490974546719,0.27641221083148,0.397766915606761,0.463703727892056,0.332339938807616,0.0938002711205435,0.375644480926498,0.438976902561791,0.44703880937517,0.369250043118906,0.369550910437354,0.443757810410132,0.518265396059008,0.504551404034566,0.287556109995427,0.329942083025129,0.497938667980617,0.453963561719883,0.32823871959105,0.301709960536321,0.494754285122188,0.331203717644976,0.384744199781705,0.322149219679461,0.442152153681335,0.283717768759528,0.260658588797771,0.430558275861591,0.509344785830728,0.316988535285973,0.250664907880734,0.209359709842778,0.593533810410055,0.434876029179098,0.431555910046216,0.295756179600508,0.274520393956099,0.453315706167568,0.330719697990187,0.3909101308319,0.254391748550737,0.383838180927889,0.352710136183024,0.250443804664711,0.398402318008294,0.169310374728337,0.321266021814887,0.260042291143795,0.311646765191085,0.249344218810918,0.174905198507194,0.319823164393962,0.414535668402828,0.406960473473861,0.196585872556612,0.353219638029941,0.409252320269513,0.416624682388006,0.463744504246394,0.423775117381965,0.185274476163192,0.391932002936844,0.442753391906218,0.183017485719964,0.329827804110996,0.531839209630346,0.55487254520062,0.424536449918442,0.506049538434238,0.442958607231283,0.319846977742065,0.345892297760611,0.42415887657753,0.390708568688032,0.411558439253935,0.342985206687779,0.459958703675052,0.384824475046676,0.337573797936831,0.383658458418858,0.511659307382178,0.433615698641045,0.359285967590784,0.473067752913467,0.0644489087110342,0.40202916659118,0.469367231655127,0.376704032198242,0.379604384949284,0.326200014457953,0.144856058572154,0.29238558667909,0.269259174804598,0.44084469162343,0.418180622149237,0.549186708683523,0.51867714196673,0.586530195906666
"Ampeeli",0.108722407184373,0.179949104707423,0.131595176880455,0.229137769361411,0.274688702180484,0.266826239931392,0.168065024634082,0.218517478681439,0.220362450767203,0.210092245881931,0.248506955253415,0.238512574694634,0.197892807415176,0.132200713554872,0.223368578123499,0.250343827429298,0.155683840974831,0.0609689323634874,0.14851726634992,0.257452843702079,0.243439377663097,0.228659914782167,0.174851667913219,0.184462250424919,0.257276760200167,0.217757781744843,0.13608808764721,0.19286993021633,0.285218530148063,0.281409648885309,0.202533248616926,0.194597621394744,0.234049309072712,0.202884773866962,0.214992826359185,0.155442819248784,0.2639758358365,0.120945339177797,0.168391853645,0.224927971422382,0.271522532932593,0.207722508450237,0.131490215629179,0.125172214883743,0.247717287179057,0.185559375467631,0.252022127144493,0.175207804444416,0.151891761796135,0.264168075671327,0.224447106885972,0.244396919869487,0.172961445391497,0.251280792597778,0.230595557409579,0.147297692175448,0.173454009690902,0.129441545938551,0.187129823612227,0.141926449310554,0.211007077408814,0.141659200885732,0.096085373526497,0.176789555247619,0.23267895165838,0.192855132291966,0.0888461851419475,0.148631184464108,0.229603460538219,0.194595990720568,0.187037448444564,0.204742216923327,0.121602984225275,0.171239762071143,0.209475257008639,0.133500498175081,0.170484794374404,0.247807778551679,0.290373138576505,0.192333883965221,0.2649890066914,0.255200014701451,0.191700944962446,0.193125494756256,0.241151466259194,0.230553264351736,0.219136073124472,0.157806118598212,0.264672740301788,0.251044128038171,0.163496373665767,0.219853290457881,0.265514658147978,0.270371500150233,0.227461621775003,0.233974110952495,0.049956263655508,0.191698226341118,0.243407574932557,0.237674660819906,0.22916399310527,0.15489756434644,0.124812691598965,0.158199914423357,0.149253362183607,0.211354852834423,0.247635715728642,0.268204265163789,0.218024621555413,0.258431163531712
"Amuzgo",0.107227750670199,0.182204883019885,0.106773299812729,0.280919390160429,0.371519219951264,0.165743618769481,0.617136693858401,0.249539204527962,0.242223289062629,0.193376990764126,0.249850564696146,0.23794349682919,0.191080674490684,0.156134064379351,0.229443571491907,0.280139054729285,0.380382816888345,0.0542128573894643,0.346813016330309,0.283987147695551,0.276450685520039,0.211848559481667,0.197930974260693,0.415104797412992,0.337248757114562,0.348246147493048,0.273586079118441,0.238216537090699,0.28282558315306,0.254165282644426,0.221147932644038,0.155311196364283,0.316830675125779,0.223600121012862,0.250589922021552,0.182644347134753,0.255373933788467,0.277651873490787,0.166458656164892,0.329211816340991,0.30125931056213,0.195754144794356,0.143092423638909,0.134297182885963,0.353826871043381,0.382782201769272,0.255325671671274,0.16986265920455,0.162271385841341,0.246750136231685,0.204110064128406,0.249839954338623,0.163031276441871,0.223016639168338,0.211493326127783,0.146682042381899,0.377537121610044,0.100736712618187,0.225321392681703,0.142053803895915,0.180469762345395,0.142838657335731,0.105615046207743,0.196938102256419,0.24742358951871,0.232100020583839,0.229949613908288,0.314791324023802,0.222575270753782,0.416385427890995,0.328016723517604,0.291728242074645,0.120914158393161,0.212592121193523,0.280908585461091,0.109853750433177,0.190592736117817,0.39212120770215,0.314542013935818,0.330146718854357,0.300877518632582,0.268021610872442,0.190573867467546,0.252460047362978,0.28092357235913,0.280442872542994,0.208029056870954,0.329888110489027,0.261303651139966,0.221424483353182,0.229539993903222,0.229516226427747,0.314062582300324,0.25783293276448,0.273755491444347,0.292797130562558,0.0478071818057904,0.252815798233483,0.275454861396513,0.237788872654211,0.218815509962738,0.170826694465745,0.129162916011695,0.182421393407529,0.156666913352454,0.37679777307423,0.236747113646211,0.340090242848264,0.29435618536847,0.358737773615468
"Angaatiha",0.142900414022004,0.21865648364435,0.154721624481967,0.28079803826529,0.399768983020732,0.219487216519752,0.252393617145757,0.450461478446353,0.278830405660925,0.262389126212186,0.309849697835312,0.321662416851666,0.222495230220533,0.179798605232284,0.279062112645125,0.319661802019007,0.220570102553826,0.0729054081397975,0.233439795044822,0.345218822098137,0.31236124466424,0.26625482885007,0.252452769785215,0.283651100127362,0.326865187257348,0.288312815263229,0.188857900231617,0.256068071813065,0.347527892253894,0.331062095931557,0.253017869263332,0.228382986464137,0.335648971174051,0.234970999774698,0.284323203946768,0.201705187031116,0.321234415362796,0.173798210161859,0.224642047615794,0.309677089698128,0.351520370396965,0.267790088122224,0.187441919127935,0.162002367854882,0.339530980262154,0.25977150763721,0.273362462399735,0.204442022890598,0.205524666394917,0.302203066547308,0.249554775776849,0.301724344222467,0.204122021834635,0.270243852462536,0.256757571713326,0.171375168147424,0.256252592349271,0.145049673769884,0.237143376501593,0.17998452896486,0.25014488144407,0.195669993214051,0.154429998839014,0.21672716740093,0.295915306381704,0.278253298527703,0.13086298867526,0.22599574586119,0.306531177706068,0.268202617614752,0.252885245350204,0.255019968490517,0.142239425480891,0.261710896723895,0.293892023631304,0.145548606708958,0.21457571207357,0.362570775202294,0.374740719033615,0.237929726968844,0.308803078654971,0.303588235870177,0.249327045002484,0.24458189071134,0.301475175867086,0.302857571380949,0.312831636703244,0.223034644998344,0.336541231029477,0.314135329790985,0.209619964473709,0.271879955632036,0.342515368827296,0.319642606385395,0.298116728409573,0.308316155878316,0.0564561276137693,0.235626026747689,0.309944097364535,0.26192420775987,0.291579655164475,0.231448656055803,0.132415544919953,0.194017913674911,0.176440279965178,0.292595352884877,0.309899280262574,0.326728648567535,0.330060792668499,0.371005899504139
"Apinayé",0.149851697178243,0.225582540672784,0.165602144316847,0.266311111487243,0.369165788467746,0.219719581864304,0.242380944683745,0.278835784674536,0.593648708660108,0.320358562136026,0.302589301127232,0.405751472933652,0.263961544102026,0.24080247830145,0.349786024201554,0.396774795281343,0.213652942417765,0.0850322709278487,0.221241531957042,0.33387105976857,0.352411589981477,0.346849565720521,0.35221937852309,0.282216072968429,0.388907905471998,0.29018616631585,0.160406023787327,0.263640353184549,0.391670309457139,0.373852073654791,0.270730535661321,0.250078733647397,0.361175326851934,0.258264568960227,0.293538381029578,0.31291260644037,0.356980951193059,0.184076141655257,0.217659081242776,0.313317228401448,0.413987930323783,0.26431094567665,0.213266345497433,0.183354646745786,0.353816918369486,0.257219539012378,0.339988729629843,0.231313865674724,0.252516113193467,0.40859450622392,0.27569152325045,0.304933822897937,0.274538176187555,0.28291255154695,0.287090067476407,0.22564807686123,0.274352033445099,0.164581816078092,0.273209681058829,0.222747520335418,0.30058948970347,0.207655372858453,0.139910283218813,0.254450123334034,0.311536089580282,0.405610795510564,0.1149572755474,0.223912596675472,0.352682181522849,0.294478387717506,0.301937337804085,0.304494382239048,0.18488864422395,0.386197878335541,0.35571962862284,0.172021789315055,0.323831562297523,0.345938748257325,0.399313722896177,0.321219388089542,0.338843085552378,0.35741630745181,0.279563290185125,0.240416403061165,0.367081716999527,0.327969783713507,0.337184585950678,0.241759611986221,0.396885257201749,0.366660753281053,0.235161597150802,0.342468640117018,0.419833101721019,0.372326488279444,0.299710411272261,0.368589494298976,0.0385201541057628,0.277585610121894,0.356816825446144,0.335073695048847,0.32665318199998,0.275873742408412,0.134879771563803,0.290198226342296,0.271504847232777,0.296493868606106,0.377007366621048,0.387238846511846,0.394249505653616,0.364200075134683
"Arabela",0.136220187311792,0.211628172548772,0.14371615748616,0.244208470562867,0.317126161422354,0.210843927015691,0.194399170217883,0.259753396850768,0.320584738009123,0.410160590268189,0.297058962813851,0.31826705765387,0.232285310688688,0.177390141451006,0.307951965386823,0.304033770574489,0.18381276587553,0.0678019504330022,0.188986738253198,0.325279606996168,0.330484122747783,0.294024951696796,0.269976234046266,0.234789191888182,0.335991771528137,0.258128870551802,0.164193216176248,0.208100651867971,0.338658293697716,0.334687971406781,0.263937480286345,0.252754502903819,0.301224455698356,0.237167600530862,0.251551068218983,0.231122653969166,0.333383330054115,0.155465561830777,0.187479032470682,0.285957319802586,0.360921146620573,0.253688268210668,0.182935788008892,0.16845810939605,0.31555588933729,0.232671433701806,0.327252296316189,0.19771330247269,0.221548203726396,0.357429196160125,0.272618767875267,0.285937355087445,0.228018345301775,0.2642023501838,0.25831222564,0.187563495234103,0.224405301099829,0.131736714004786,0.259285276497172,0.18246473970378,0.267570465272571,0.175939526037051,0.114415727932532,0.216820584072594,0.288570820855166,0.298709572279109,0.106969159801552,0.198351452472942,0.319533549242066,0.238723388432003,0.25529772938865,0.274261599981631,0.154166503329407,0.269640617769574,0.291408626586443,0.145615631548987,0.248895006995234,0.30320414619972,0.362100025456543,0.255242134930346,0.298897901021684,0.338045223506289,0.260179942818403,0.215816240398302,0.340332405592817,0.299611013088874,0.321994374566017,0.202177993802243,0.349887972524686,0.336517804309036,0.209191787738452,0.319228629905808,0.374735751970266,0.319386966221479,0.291439384091963,0.326210392199815,0.0349229560514665,0.255175079789511,0.336166761081999,0.282171527249458,0.290424540390491,0.266390988515835,0.142283512211867,0.241251411332109,0.203954081918838,0.257468686100109,0.329342884592497,0.336824448923219,0.333329782081653,0.310158497214178
