"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"RKK3.1",0.134777830280395,0.144980820574683,0.115904685018735,0.155414086485786,0.0828870112982681,0.186266566099144,0.307942456766052,0.126458928560114,0.203819477693458,0.134659870499599,0.204692657364227,0.104278299674562,0.085223535600725,0.0809915669625732,0.156427921837016,0.131180133969417,0.200358424362021,0.0411169591171289,0.0870733713611917,0.207555737615261
"RKK4.1",0.170534373992543,0.155876042965354,0.123234526505034,0.187656686048712,0.0770522751625668,0.245427797000992,0.283685817199283,0.161852599242401,0.253722058634881,0.146310115134742,0.25814087151224,0.0892412833989885,0.0750401883036444,0.118957050716546,0.200722099124298,0.13894641973591,0.248767272241267,0.048806285093814,0.0956043848939336,0.246269616403135
"RKK5.1",0.150074378441343,0.185343570943384,0.143731636938941,0.215486642704756,0.0846611584125915,0.287478023015243,0.285486419880646,0.208011562309399,0.333392736950754,0.168915717125451,0.336326442723153,0.106209178752868,0.111267321939438,0.143009703574894,0.195141467340015,0.148919729190016,0.312978074855216,0.0517403782290827,0.100119214071444,0.30815375130351
"RKK6.1",0.156893859904019,0.201060141763021,0.148155084558024,0.227086618470198,0.0868486638604442,0.339643019103953,0.317570349075962,0.196964836301998,0.358231764011722,0.160270363982327,0.375925571831454,0.118111236027201,0.118542032529853,0.144257603814369,0.209910941733841,0.156327050986587,0.361320605063353,0.0564048534613737,0.104143154477829,0.331301101485402
"CO3.1",0.0788505877437664,0.0905580568305193,0.0780882978100122,0.0859106958660808,0.0633807337746018,0.143942200730433,0.184238445294934,0.0688452050328064,0.144344156978339,0.094096752797731,0.163809908755277,0.0694302038446402,0.0699823120022552,0.0661578016252547,0.113153035527514,0.0984058428156474,0.126277914701892,0.0299214765319156,0.0575189208869398,0.139039657949726
"CO3.2",0.144601491059901,0.140710320692696,0.136966165306806,0.123298015529663,0.0862783203896043,0.174740806110645,0.276862777390747,0.118957286171859,0.193926323599271,0.106744568360076,0.202066695963627,0.108739694756875,0.111833853030216,0.0850755148155709,0.170971470936494,0.134333479876272,0.179082278064723,0.0382640971117286,0.0772242813362806,0.19810353050709
"CO3.3",0.0824495629586485,0.133989359291732,0.114560437312837,0.120024375942801,0.0732888261192135,0.171134098775554,0.270067157938597,0.111829812376751,0.20453208198089,0.146727227382978,0.200746085973229,0.0952726869540991,0.0821416239669446,0.0727066742964255,0.128421424579633,0.117907844577875,0.18271418844413,0.0307703123008113,0.0638986991256136,0.198564263565125
"CO3.4",0.132530921655162,0.137686145615559,0.118984097765474,0.149020487357133,0.0751577110700609,0.187020896356256,0.308853593808992,0.132568394815254,0.216417299608719,0.120421396102723,0.228100399208373,0.0988426470274465,0.092569519512988,0.0924851024680659,0.164687845640601,0.123257210115439,0.204440917653585,0.0364268191637603,0.0961918379894901,0.209508602454751
"CO3.5",0.137829549538974,0.136719315897891,0.111560879883202,0.155510252387245,0.0748679050419945,0.184264755334648,0.311289440127132,0.12365468174173,0.222227656916565,0.137323748990522,0.233099809783167,0.0926034925265282,0.0936437780557748,0.099373792597796,0.166168424640425,0.126939604485487,0.210336949858881,0.0406677286437667,0.0938973300290158,0.231664021030566
"CO3.6",0.103805708544946,0.116096044977259,0.10563841392864,0.112446794826733,0.0726020868799397,0.166888001037818,0.246695208831839,0.11096514276138,0.197142604766016,0.121288478215579,0.184394428751705,0.0854600916866484,0.071021185915643,0.0854758846191054,0.155096692684577,0.102541598762545,0.176678821425311,0.0379903288137518,0.0656752277731671,0.18869827076725
