"","Abidji","Agarabi","Agta","Aguacatec","Amarakaeri","Ampeeli","Amuzgo","Angaatiha","Apinayé","Arabela","Bahinemo","Bauzi","Berik","Bété","Bhili","Buglere","Cakchiquel","Campa","Camsa","Candoshi","Cavineña","Cayapa","Chácobo","Chavacano","Chayahuita","Chinantec","Chiquitano","Chumburu","Cofán","Colorado","Cree","Culina","Didinga","Djuka","Dyimini","Ejagam","Ese Ejja","Garífuna","Guahibo","Guambiano","Guarijío","Guaymí","Gunu","Halbi","Huastec","Huave","Iduna","Ifugao","Iwam","Jicaque","Kalam","Kamano-Kafe","Karajá","Kemtuik","Kokni","Konkomba","Kriol","Kuku-Yalanji","Kuna","Kwerba","Lele","Mampruli","Maring","Martu-Wangka","Mawchi","Mayoruna","Mazahua","Mazatec","Menye","Micmac","Mikasuki","Mixtec","Mundu","Múra Pirahá","Murle","Murrinh-Patha","Nafaanra","Nahuatl","Ocaina","Papago","Patep","Paya","Podopa","Saramaccan","Seri","Shipibo","Sirionó","Slave","Sursurunga","Tabla","Tacana","Tarahumara (Central)","Tarahumara (Western)","Tboli","Teribe","Ticuna","Tifal","Tlapanec","Tucano","Vagla","Vasavi","Waorani","Walpiri","Wobé","Yacouba","Yakan","Yaminahua","Yucuna","Yupik","Zapotec"
"Abidji",0.481818181818182,0.107316380273391,0.10600177244866,0.117473791675591,0.139939878286941,0.112997486079794,0.0908735786288652,0.132816057522538,0.137276191506983,0.14580513469748,0.13440201205797,0.161755126821085,0.114811029534824,0.193181120391383,0.154811065181968,0.140520659031498,0.0794530121544453,0.0787960234603752,0.0856671028325924,0.13999692891269,0.145416114196329,0.149644931770085,0.175554407364817,0.101111818149993,0.135482447912567,0.114299047792684,0.0803304959557042,0.149962361478061,0.147510316653589,0.153352217166553,0.143324518470333,0.215351658592571,0.134521136112382,0.155170515074657,0.168093327301448,0.17538372555676,0.181167749071179,0.0705273796879392,0.112465747404447,0.120030919982808,0.16042759341712,0.144485357222368,0.156920701723279,0.0782685225210012,0.13203600982036,0.0999565267999075,0.137513165469268,0.138002100009132,0.126488048704619,0.165632585217669,0.12448046009848,0.151698871248657,0.131279234821002,0.124770880374872,0.144370316522262,0.199250416933754,0.098355051357569,0.0996904120715904,0.112090516304718,0.195400303243321,0.173711153541562,0.185846040361746,0.0873467189816046,0.186760917274901,0.147034200949166,0.187300988525097,0.0403781091038437,0.0798531614961631,0.170672440127387,0.107005745553306,0.0994692936813012,0.117400246036228,0.152233417234947,0.178196577230057,0.111903288396006,0.150916926180485,0.164059547480628,0.156181292033825,0.153127482597136,0.116038610364364,0.132286148527104,0.166396924208143,0.137292546963422,0.0993075126217045,0.14367668820603,0.117981298769377,0.150658111485398,0.0911028346945869,0.173876982947194,0.175689785463941,0.112065903883207,0.158091603627895,0.154911439465305,0.158715235612225,0.146816767998838,0.140551680427036,0.0254095670778579,0.109972236855095,0.164686408945947,0.177198664279479,0.141573559081067,0.164699050907975,0.0748585705902357,0.179233883134209,0.157407197845545,0.12148928228447,0.187209987912727,0.147646314122469,0.151234491286002,0.132146326188414
"Agarabi",0.107316380273391,0.512121212121212,0.131636618738739,0.237387602517249,0.215471666670968,0.201390334433464,0.155950118050682,0.205871261483819,0.205268390004147,0.230757968816134,0.230440467013092,0.225778104048712,0.231379722377021,0.192388946686639,0.204476728008516,0.210767353102755,0.120348083920973,0.066874684617746,0.129356063199871,0.198763057518864,0.222041977222531,0.199973121744602,0.204531304419333,0.142192775205244,0.195938020012133,0.160084246031137,0.125400005544637,0.218300527153085,0.217274293242671,0.235662216143628,0.147492728380099,0.194992542200811,0.191923311486585,0.197940774908602,0.221391507780111,0.206946256685587,0.214386255197342,0.0929248881255875,0.171407651342029,0.187063594709889,0.218338965483439,0.175554244507019,0.155192595875666,0.129892906861728,0.185564811073887,0.148607973572893,0.240342937841905,0.186921928965838,0.163224787236741,0.250973246554221,0.248956535489502,0.216618180043662,0.161342133893419,0.218682607260814,0.228165768422599,0.191657116411666,0.143008640871168,0.111231077150967,0.150417903800773,0.173260925050723,0.22006144183505,0.151714918353278,0.0710437169819491,0.195777235695705,0.218271837614118,0.225726820905013,0.0583140085076751,0.123069821994066,0.232584298703896,0.135887832497754,0.135814894168985,0.163688100573953,0.123093833484116,0.222817873156591,0.164865776989256,0.13451544644669,0.209019786596268,0.199282810400432,0.218043508730083,0.148995220482635,0.220924659234264,0.219381100524541,0.169923837142962,0.170612036552216,0.223045438183462,0.175146745188815,0.203503250325075,0.135708646809441,0.237606873532896,0.219316810168204,0.139104959096515,0.211178335221402,0.23031217837147,0.236080219118844,0.219766297115301,0.212480720133837,0.0205765494806939,0.163353867094821,0.234576499478796,0.230254500576425,0.244817549068763,0.162721915281805,0.114625736954008,0.188413250340227,0.17770254197417,0.164461201800397,0.237212056246945,0.205637421298779,0.224946642253115,0.197070024839449
"Agta",0.10600177244866,0.131636618738739,0.393939393939394,0.138810550445254,0.140300903360565,0.164581812497768,0.076159083848422,0.147388990832574,0.130457074329,0.13751670655079,0.141021078698053,0.150272674279496,0.14616895564079,0.150673843944852,0.1587145776842,0.149435991452049,0.0741222582808174,0.110075779125435,0.0599590459500621,0.131950354272083,0.131518256078806,0.147177280681887,0.163066066746943,0.0882729392370254,0.131343461542777,0.105469632895057,0.0653176146516355,0.129249428566837,0.150447243221387,0.147479540454317,0.111208336506002,0.145797811710063,0.11699673320024,0.151301454990996,0.150094199684628,0.160442087176932,0.142062665732689,0.0474816633833567,0.155874131803251,0.0890944962684579,0.150072139675918,0.161740415629231,0.126609644248048,0.135146051962714,0.134565913040591,0.0818006421010463,0.128764997468097,0.14659418347207,0.105344715454274,0.147777671411782,0.121417130093302,0.12455908824489,0.127311688636641,0.153713714676209,0.154911812414441,0.131843100594915,0.0851810244895882,0.160128872424187,0.123350394944485,0.133599077767777,0.150861685194774,0.145783415440772,0.0930577761714936,0.113603446886934,0.15853083894775,0.168318404726315,0.0513462445242459,0.0726861170232364,0.153408204724178,0.0772764466860763,0.0789793838951579,0.118848907465551,0.0980181667490736,0.146507161605869,0.111752495166494,0.201501541872818,0.154385541428542,0.125473119524027,0.154047358130584,0.0958987205267422,0.131247810709046,0.151179168578899,0.131997736919602,0.125289652406137,0.128180631294217,0.103750329025384,0.173994735356545,0.0657009711403323,0.173763654236444,0.168546455072772,0.0971091594173822,0.14048416139674,0.155183127142406,0.164673605471123,0.126117829766525,0.124997818027751,0.0483242350078171,0.102012898900409,0.156580302981102,0.140493537338734,0.183225383019974,0.112581425539619,0.0918618737316479,0.145175211417688,0.131567752575233,0.106463870017505,0.161626040564156,0.138025576168568,0.131999442028511,0.146097304390667
"Aguacatec",0.117473791675591,0.237387602517249,0.138810550445254,0.639393939393939,0.334734244139758,0.236828060125619,0.248477246933114,0.260418959302558,0.267987771455581,0.259905665895782,0.280076104141184,0.296891182297832,0.256979801055382,0.202334740860668,0.263899208226439,0.332061642483433,0.238332945449695,0.0800292301552327,0.233382945555426,0.299995914508529,0.310451114141321,0.279331973369814,0.227557252302812,0.262142263286004,0.285893147691339,0.28991669346009,0.207134569519489,0.277031466601157,0.371298674012124,0.349977829746889,0.228358119118505,0.236722989129815,0.246867372199358,0.305238489435748,0.267037223449424,0.226697654973685,0.336913843578322,0.179481168858842,0.202756480759209,0.303472318991643,0.344115831327355,0.245414675066605,0.158747018405065,0.130792990534646,0.337721583114542,0.260661143949406,0.327435028046707,0.18824440891956,0.190061617336497,0.326991028146961,0.277423005159261,0.354887621994167,0.187011894522463,0.318489872026137,0.323656915961822,0.192931197241086,0.258503854311197,0.107044591359242,0.215352550472294,0.183535838411734,0.239016293284449,0.138311520518029,0.07050531524073,0.250588065748046,0.294840050505295,0.254437458608827,0.106594541432947,0.208162350899035,0.248935197062382,0.253935187509463,0.261735593346759,0.30049521199744,0.14214135675061,0.265284248046739,0.236862310790994,0.130659863133883,0.225947709321593,0.343827799092086,0.344788313915602,0.258287167488496,0.348735599247694,0.292709778618237,0.224614055769574,0.264603611143799,0.297493860055794,0.239856039140225,0.264623294269852,0.237392697213622,0.322462542034109,0.302685470440984,0.233161128233062,0.261606868809153,0.319388897827098,0.335117092270189,0.335551364842506,0.303400059026389,0.0295054763171239,0.282625448237773,0.296977924244126,0.313025536834754,0.328106943393764,0.198729808105312,0.123152930714628,0.219609082300319,0.192900731201239,0.277428618866015,0.28952778734552,0.350477188533708,0.308600226235763,0.337774239135972
"Amarakaeri",0.139939878286941,0.215471666670968,0.140300903360565,0.334734244139758,0.948484848484848,0.218896419057053,0.366654961328169,0.376522121369987,0.362436336911643,0.284669616234197,0.384253043676405,0.424482477067633,0.319073048801587,0.301003695136915,0.355167978065734,0.463001576041157,0.326034576344174,0.0707956154661185,0.376402364227874,0.423115192052216,0.431025075567911,0.369273621340155,0.381773363183006,0.439336147847394,0.505968908149092,0.478488828307347,0.28455380016789,0.285558153370346,0.493058883582778,0.439258960492742,0.312340600096287,0.308214356529452,0.481976244333271,0.314531094352521,0.376249732148053,0.327925721312078,0.435399324047303,0.28475804899996,0.199674495439067,0.418180210442334,0.500116658004685,0.283221004541086,0.237366407747035,0.154394942589604,0.58868685807219,0.430376744324035,0.423565549038249,0.253079605261466,0.261110067770765,0.449356048871578,0.302510760058144,0.375970301035001,0.250655554243292,0.344371690583813,0.326153298505035,0.254608230223877,0.391661590335908,0.113128072786149,0.283369725393874,0.263700198358639,0.308164813176811,0.192552542285047,0.114342244934858,0.303397894639141,0.372995654435444,0.415295344447107,0.162438502245872,0.360149882950649,0.368578508129449,0.410337351101502,0.445796010712364,0.394020113738327,0.188678754105051,0.395797626388803,0.431964128851759,0.129161221660384,0.32993492461315,0.52457664560665,0.546770038495415,0.405409614224341,0.503397917212351,0.436671807136008,0.290858722777939,0.3006857396688,0.422102674846856,0.370548725708944,0.408945336195768,0.334702288049764,0.476530064881634,0.386397028812767,0.312160957297114,0.366155228249754,0.497635671142377,0.414896099294185,0.350515201614409,0.463348408057682,0.0383484009255613,0.379684499192317,0.468972149344653,0.36373286644811,0.347712607556426,0.310834670922467,0.101837891224829,0.291157374348841,0.269879680393072,0.424535109425756,0.418007811439894,0.548086579148716,0.502926188597289,0.569126493537157
"Ampeeli",0.112997486079794,0.201390334433464,0.164581812497768,0.236828060125619,0.218896419057053,0.496969696969697,0.134008320570736,0.21125462332685,0.195417162508342,0.225617361705729,0.243182371054222,0.229656783475564,0.223606575455651,0.160133918835049,0.212934964861266,0.215858332002573,0.112695592137692,0.0737317624269745,0.111868044233956,0.209059393521382,0.234766102443415,0.251744770245891,0.189579035291741,0.142705194541316,0.226865171291502,0.170060117431734,0.112922109613,0.17971633868318,0.255098782941307,0.270562493521203,0.16737650836701,0.232612207386548,0.179243527047381,0.197890748395606,0.189578604683036,0.177566606438558,0.261421188982249,0.0966096160815853,0.185626923591504,0.179608650867892,0.25237377302277,0.218637451293518,0.15278995322013,0.117363601072792,0.199137362313728,0.142277511622555,0.253914180226132,0.173387959965819,0.164815343418113,0.264943677109277,0.232200201349135,0.245214667678031,0.162976853039543,0.261031237316044,0.244320032849726,0.167495713702731,0.132890879269023,0.139127041039388,0.185561865160048,0.157125353556472,0.215853276441931,0.14039633507675,0.0674429201946031,0.159355885538384,0.222142154161518,0.212257938774151,0.0674478194161515,0.120645752375969,0.221588554427431,0.136406726882891,0.144974133676169,0.174735178080027,0.128761640126619,0.197041311663831,0.170419608127803,0.140867791273364,0.180917789611453,0.194041778131221,0.254838014253229,0.162306614960659,0.22319885660059,0.250534858791227,0.178480626873031,0.199870215574099,0.223053063031888,0.186839722027614,0.227202493273587,0.131567516729973,0.265938513116873,0.252704574160599,0.143867243879431,0.220668554129808,0.225270440688894,0.269953158514638,0.205702776300152,0.222453389579318,0.046920685023309,0.167283312571648,0.241401797151528,0.221335268538809,0.235862194778763,0.166621127326665,0.133573239805689,0.189337299069876,0.160109342057985,0.164349124584802,0.241643114768175,0.235258024826627,0.192041835420008,0.206363374399923
"Amuzgo",0.0908735786288652,0.155950118050682,0.076159083848422,0.248477246933114,0.366654961328169,0.134008320570736,0.742424242424242,0.229631513931691,0.257233295483865,0.182167362704016,0.239995502989088,0.248939493273701,0.196250403915625,0.180889230380069,0.21562043527183,0.294494495662644,0.322744275030143,0.0446543979420491,0.300085316092054,0.280003456472419,0.278268295530337,0.233087514755537,0.230761519511373,0.382771188163696,0.340247610377463,0.345356139301297,0.23668293399273,0.197266734043671,0.291401307718621,0.258339348217831,0.212953793828439,0.170684593749248,0.30923174517094,0.211504966448194,0.249038952087057,0.201222401207197,0.26599815375914,0.223575804241391,0.123131883215243,0.319244571434344,0.312576732948036,0.184445616657528,0.158851829487038,0.104076127280035,0.358376205325225,0.350398224989139,0.273340263719656,0.147290670105084,0.15230377045495,0.261107816271072,0.193713922609523,0.249658467438069,0.166657669499978,0.216734157396257,0.198974021641325,0.163020625787603,0.344445047537323,0.0652934272244473,0.206349919781112,0.150321590432776,0.192275404119027,0.116017047399398,0.0644993910733427,0.179564761600118,0.229760660092109,0.256315928066457,0.154787175577967,0.283066746338125,0.204860901833538,0.355817554085739,0.325888883907954,0.285126689529823,0.124246190816535,0.239398744260389,0.270636164406785,0.0801404688356637,0.208566738619984,0.384388372666908,0.325100796195207,0.31691598345823,0.297377041476685,0.280555498338084,0.176583336609954,0.212315083205279,0.285312766491379,0.240306760159803,0.213655270862659,0.310688333562169,0.277578202340693,0.23846178945818,0.202922010159887,0.233170088571067,0.320277674455055,0.255295388317657,0.276770164963501,0.307543590224479,0.0234767619910386,0.23887283242162,0.291195863792621,0.239337424777978,0.213410546939889,0.171379848328062,0.0896827180181709,0.204196696771994,0.169252074341509,0.336528513897922,0.253503529672545,0.35643994084427,0.304534032726701,0.362723520499816
"Angaatiha",0.132816057522538,0.205871261483819,0.147388990832574,0.260418959302558,0.376522121369987,0.21125462332685,0.229631513931691,0.660606060606061,0.296553655420165,0.270154683527022,0.318390297834643,0.339038151969756,0.232103864311724,0.211202405281456,0.272698845424079,0.341567881766089,0.188402495242263,0.073881174500257,0.211501913529171,0.337666477192444,0.311877112032952,0.294231254802792,0.271152851576578,0.256810189082555,0.309285809062977,0.26704808949408,0.181199299337075,0.22770272407644,0.374249524742006,0.354937346344394,0.246033868502886,0.257374618630739,0.305773347201435,0.251060469118304,0.296612005368001,0.217397157709566,0.350581628404452,0.154269640604692,0.205825862591312,0.290648197466395,0.361041566726449,0.289024386827443,0.201582717753072,0.135793879736858,0.345394062707617,0.233925413657366,0.299032730512242,0.180315839532025,0.211811691120606,0.312270794782532,0.24853080784383,0.333940416763342,0.189525997796467,0.276972101894364,0.272006017202654,0.185804953018644,0.227511026577849,0.125527109759227,0.230829790428518,0.193100203415235,0.255677839839496,0.168026279489974,0.117687104187549,0.207673753872242,0.301267674474381,0.296872949187005,0.105212630641834,0.208452790574858,0.302836513361134,0.232961893271527,0.246354161649681,0.256107851953867,0.142496231771004,0.278765348053888,0.288714039782457,0.123577757459927,0.22126273768618,0.329666359500718,0.391344174798851,0.229232594545804,0.309767639119116,0.314869883560775,0.253258570514446,0.230885102994062,0.304479259433664,0.274721933762707,0.353549603427447,0.204654607678671,0.373029518964421,0.330512340506913,0.203361634281673,0.278252513096674,0.330108412239655,0.326182445745008,0.315219966467013,0.314902853198558,0.0367287482693755,0.226844239062809,0.318374646500564,0.267829187720913,0.311688396868517,0.234538739140172,0.10811278066554,0.211466154239772,0.182784715288385,0.25527920947298,0.332593644173717,0.334530604923713,0.331057872459613,0.352539954655584
"Apinayé",0.137276191506983,0.205268390004147,0.130457074329,0.267987771455581,0.362436336911643,0.195417162508342,0.257233295483865,0.296553655420165,0.790909090909091,0.317373966464336,0.314052352198993,0.399096992756353,0.267090458086278,0.261375101495569,0.32564737101178,0.403475164333376,0.218328884430658,0.0770895305053549,0.228100308678089,0.342396620381031,0.355916250816213,0.357742436554527,0.369299671861278,0.284817270210628,0.386831906497562,0.283628987828111,0.171635857866291,0.267576380194487,0.378024947891821,0.366939642113014,0.277380243269461,0.268506223218007,0.353619834698358,0.268306848874452,0.311139611419051,0.319518868400738,0.36004393732955,0.195797072276742,0.20823476774968,0.315039154014,0.43329845187189,0.282875493731146,0.220397221029214,0.150882735812823,0.354452671646919,0.260917478971244,0.345352412255311,0.201155852760798,0.240682029733366,0.403299455934173,0.282047961600383,0.323543171152156,0.266939577846684,0.291049927887828,0.300157823148926,0.237565307016865,0.27587135437708,0.128848914448767,0.280509809373514,0.230788508655724,0.308455998380564,0.176079000030812,0.102754487107609,0.241007276354802,0.312129915493907,0.411390448725781,0.118513398331652,0.230410069493598,0.331522582485706,0.284434620883158,0.298207699964255,0.305489950648561,0.19117376585863,0.388455813027981,0.338717928133166,0.130094874081731,0.330172632594544,0.344581372768174,0.381917249334642,0.307111241901716,0.331263515351107,0.366237653127601,0.286075047634687,0.239025850325117,0.370369428825209,0.32987459209684,0.360590943649398,0.249986786168416,0.407204759902367,0.380409357965918,0.23439095489207,0.337602672142382,0.407144286772328,0.361882982043928,0.319689415681498,0.39477670678266,0.0249520606575274,0.275723767478742,0.363062189249787,0.335305377938221,0.330238535757746,0.277556189462442,0.105240939688726,0.289585153864964,0.269264934626424,0.297892010302813,0.392121466664164,0.389712074763663,0.403798694706716,0.364967746766354
"Arabela",0.14580513469748,0.230757968816134,0.13751670655079,0.259905665895782,0.284669616234197,0.225617361705729,0.182167362704016,0.270154683527022,0.317373966464336,0.645454545454546,0.309510482129569,0.308870383132666,0.229869920801333,0.207505192216031,0.324022300503855,0.286935850212172,0.170841236307713,0.0714716740669738,0.174704196626768,0.320263954058076,0.359875242644545,0.310786280431005,0.290674560950044,0.213399018734641,0.32423177947261,0.234754987038323,0.182138217315353,0.199507891452792,0.312185916094019,0.317298230434893,0.254464483928535,0.305276550923611,0.266318217060594,0.260060377344071,0.247891771953753,0.258528713455837,0.332106537153005,0.15228646505828,0.204209820160054,0.280480674021136,0.360390767337048,0.290996378975327,0.206676609420941,0.170329081546307,0.283814796011796,0.214063259372415,0.347219010325768,0.182046874472839,0.24445749631713,0.377423080677835,0.320538705256159,0.305330443198836,0.227675375694637,0.257279667769766,0.290905952485941,0.214095238550398,0.207620495953275,0.109723257091059,0.276354227571451,0.201540859287015,0.299177725003495,0.16218006163333,0.0874807676602106,0.216117411178091,0.305342605285225,0.330745677450868,0.102300988396244,0.194152485992009,0.342077997904697,0.206073487469211,0.228454769504764,0.273392351393677,0.182161422090516,0.282879857984916,0.264244807578277,0.134221360107651,0.269785963084403,0.27917290471549,0.340631047067339,0.243962110604316,0.272483404320801,0.360485039396988,0.268510577549738,0.222387872146433,0.355183039589796,0.277347145245938,0.325352997797041,0.199755010292808,0.35318819228493,0.352698852708858,0.213755801510425,0.362952392202276,0.345019741862979,0.306547766133669,0.314509189080119,0.347841422119232,0.0237311842762696,0.265934447626143,0.363371019791972,0.27438638942786,0.325041236846403,0.281584329387827,0.140976007080607,0.260588197031476,0.211771400977673,0.235106577332145,0.343727053855048,0.313727822302437,0.31988665688027,0.2787961152526
