"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"RKK3.1",0.279727572280066,0.302486566177162,0.260502035508843,0.38090169931772,0.278449262307059,0.226081716096787,0.265427102713617,0.221353498294837,0.291879183266524,0.219716927720619,0.232931846115101,0.267775779762463,0.169607456358157,0.283098643725712,0.252054496045555,0.295461297292345
"RKK4.1",0.353939266776976,0.32254464168645,0.242164293368067,0.321032251480525,0.319850757606282,0.303564516416786,0.344975887064685,0.219879803376754,0.355719928180669,0.193462985470333,0.314889873045901,0.330796941063636,0.201325926011983,0.336194952932454,0.276749535219281,0.335108800413398
"RKK5.1",0.311475125066939,0.360484814059394,0.266077926439573,0.318324658309291,0.409302384195349,0.35966604667803,0.42160636571484,0.257917282741691,0.383492816766111,0.286861064375114,0.398154543022509,0.425226559103137,0.213429060194966,0.438260190053292,0.289818777575232,0.441097003585989
"RKK6.1",0.325628765838531,0.37184012141006,0.272952943561396,0.342424519680076,0.41999453901429,0.413213852502164,0.475552330247732,0.293249533888859,0.433074107822671,0.305616177616027,0.436409540602556,0.492167851268343,0.232670020528166,0.46778301903367,0.30146702612003,0.454569327491453
"CO3.1",0.163652163241779,0.207685246602397,0.199196591863034,0.195672178212216,0.203723244859256,0.176720028280367,0.164630779758907,0.193953929122149,0.215067113492036,0.180423148130814,0.168957698718897,0.192952309587852,0.123426090694152,0.192402920496571,0.166502139409563,0.187744326489992
"CO3.2",0.300116302199795,0.311389643586935,0.271160435510185,0.302388344034914,0.251919599187965,0.215633827613356,0.23614964212415,0.245327561411304,0.313653819713666,0.288321652343526,0.220724271981646,0.259287861027526,0.15783940058588,0.264421549715217,0.223543972289233,0.261195398128715
"CO3.3",0.171121734442478,0.286380402664923,0.230336310660385,0.310682464986963,0.2636603460965,0.212933134943081,0.231410688083144,0.229018637721378,0.256916844536049,0.211771374289779,0.230324797683025,0.246449427913741,0.126927538240846,0.301835643823618,0.184969918521513,0.266537230351254
"CO3.4",0.275064177020148,0.286320515958893,0.236209949077334,0.367962771337366,0.282811381391634,0.24252206203115,0.274262161253516,0.215518763091627,0.302783808845862,0.238655792494422,0.284054055000813,0.300716839080396,0.150260629050511,0.300368309105849,0.278450057337998,0.275760969424349
"CO3.5",0.286061329231834,0.293372115448952,0.235299130131983,0.364274876744516,0.290494820554419,0.239199720438536,0.280681126264875,0.211884206910028,0.325046042287339,0.241425365300044,0.292137497814232,0.310552305677199,0.167754380655537,0.300316771200069,0.271808060610309,0.294503396887662
"CO3.6",0.215445810187624,0.256683610847922,0.228177987336953,0.321912093557452,0.261384879032271,0.201732748507253,0.208127118626939,0.181990381894368,0.252935670276049,0.183101494938767,0.201181490146529,0.248332219060015,0.156710106356726,0.236595570278387,0.190112501448642,0.258286444657435
"CO3.7",0.200285364626314,0.298026810267378,0.246773170212015,0.326998789835323,0.276765237663647,0.215817274204141,0.239466277818008,0.213833019767373,0.261692839822749,0.225764177682001,0.234727668576606,0.266823398156297,0.123864550119241,0.290489541201724,0.18213916682007,0.258997633300767
"CO3.8",0.259171126502197,0.247674831370235,0.260581517326633,0.255445952471417,0.20257127106405,0.219441969526232,0.206684531503713,0.163148347231426,0.243315655086306,0.206602804983281,0.22347323013255,0.227973540724944,0.137656534567046,0.224501280370359,0.225480659179703,0.214856515005524
"CO3.9",0.288292413078881,0.287276675690979,0.242117697845392,0.385427498330368,0.285835410179806,0.229705881989221,0.279411467261233,0.208626331302391,0.321695537529308,0.233262322675365,0.283031647411532,0.299957075899365,0.154058054341559,0.296613273946394,0.271920616110402,0.286457228797259
"CO3.10",0.20753033893935,0.271755545113128,0.23281123219768,0.332964509418169,0.282307064487558,0.222309497293336,0.216618370493982,0.215905870802421,0.244989693860454,0.218840428934073,0.218518922974004,0.260556261585067,0.127439882983487,0.265583844997785,0.18892863251514,0.267167287861389
"CO4.1",0.278311533040179,0.310389902999452,0.24312989353833,0.312794503066523,0.341611765853095,0.308188419655159,0.315607024572822,0.254836899921395,0.303262826723154,0.248718614466486,0.334041956353038,0.368754626566101,0.14777425433879,0.364382856887673,0.238148147921999,0.347986358186151
"CO4.2",0.200918774802085,0.253478911913647,0.181230744313061,0.292783650866873,0.317459469609509,0.27373124205431,0.259953367048533,0.231006084292604,0.256692811227881,0.215884303676462,0.267138202230968,0.299498658756672,0.110622646255113,0.304917951132956,0.20542100744351,0.310895061689068
"CO4.3",0.326935890109141,0.290407584162815,0.212581387916909,0.376723909001818,0.375750678766178,0.309742322259998,0.335459141610598,0.238682744575163,0.359566132859596,0.247187596245031,0.353393899267114,0.377986169633453,0.164995514374829,0.351417478303602,0.307617721762523,0.347935889779409
"CO4.4",0.322030223413579,0.272797593768835,0.218317450605044,0.352769759291602,0.344983830734198,0.297967530421608,0.306031803393499,0.247555904161913,0.352449485939161,0.246576548602425,0.346728382104862,0.369062313953286,0.129596848890645,0.34012446636402,0.288248992321913,0.33969864599544
"CO4.5",0.301002456222665,0.371755898648073,0.279330666602035,0.324375592484832,0.337049024435439,0.291779967190737,0.338154923635652,0.322423534755394,0.409599133220173,0.30162624180583,0.302752914426117,0.358737021701196,0.157599318835308,0.376368565785081,0.258104153828596,0.360405791244373
"CO4.6",0.306333334411874,0.269334491438348,0.206158037478925,0.345784765156685,0.351326257143305,0.301354861899868,0.314172758785347,0.225765496546675,0.327360943111016,0.232631256633728,0.341112605180155,0.367670516579885,0.1545818884333,0.322859019974522,0.294990454917648,0.326493678422595
"CO4.7",0.307683000009189,0.265730807374777,0.207329848819932,0.359954781093987,0.360234489112261,0.300735908406049,0.320872434222385,0.222593407030296,0.33359186643858,0.226590335708489,0.346419151503578,0.364623821088362,0.146497554179463,0.327241655662642,0.285651470227806,0.332053320037619
"CO4.8",0.245980413832312,0.307952654173503,0.245108824246537,0.295234929097803,0.328933589035885,0.310694842128967,0.334442843431556,0.258051863006346,0.315337429308201,0.243131980068614,0.319492139236776,0.353572805767133,0.153719320574477,0.369881704793033,0.225967363698906,0.360880855111491
"CO4.9",0.260341566094635,0.319675928317543,0.254784570579859,0.297679295249328,0.321152881717269,0.296224632312811,0.316121621900131,0.249979818286005,0.314152581706273,0.237631336161276,0.305867227260007,0.355925829822522,0.146740280256467,0.358877623713213,0.225550405967113,0.333402670022267
"CO4.10",0.352484388156151,0.318219044436609,0.249533112130277,0.32231723903211,0.322552617024832,0.301870170965363,0.337161023949625,0.217221807811749,0.343908267148741,0.18782168300337,0.334403017395163,0.35049570163715,0.204519401352391,0.340633159546366,0.290169027675879,0.332120229035589
"CO5.1",0.240746004067759,0.290867664715299,0.203833247939377,0.287854040640431,0.372765510164993,0.365362746604853,0.350201351889302,0.213493898054216,0.324672462596725,0.243094734590225,0.371735252217621,0.399150212394064,0.133750074797367,0.383251042505326,0.254766427403478,0.358082814865547
"CO5.2",0.261510664733144,0.232445015752329,0.193067618915327,0.296807726396745,0.355628632288654,0.33399094135057,0.326027329845505,0.216202287333077,0.324302479718019,0.198415270179046,0.380940303947169,0.374064303502126,0.129926854611003,0.34932590883066,0.211287182405358,0.339305269277764
"CO5.3",0.284205767917551,0.259638013823623,0.205810824558829,0.305733898568795,0.357614684431471,0.353476535012242,0.350708208572806,0.218365814353213,0.35236096283586,0.180699116139046,0.396239373722103,0.388133511139268,0.161192680880239,0.358531377907554,0.247758735242683,0.348659580573185
"CO5.4",0.338020594631208,0.301735357585213,0.233256416545563,0.292087246322299,0.385411074288116,0.363177122313658,0.366112341890454,0.21129421002037,0.361920715142059,0.209521253010933,0.390486424215558,0.401537987516779,0.202296376369871,0.373721058139207,0.274433238875729,0.379417623219154
"CO5.5",0.304022167237667,0.298019936681545,0.224286730071282,0.299875850253438,0.379720212227865,0.361468209487727,0.3697335597355,0.233139509920757,0.365939495825901,0.267144167328078,0.373240662955642,0.399820809277941,0.14174882160978,0.383061095629729,0.266824709727001,0.372203072959972
"CO5.6",0.23435299160434,0.268813967740959,0.214044914871561,0.268841304216531,0.336397209675114,0.327100860515715,0.345904489197131,0.234748482772691,0.301136590118776,0.220869145131542,0.344621436429151,0.364653425478687,0.142165727073987,0.359488453953029,0.233208516949221,0.355953380357869
"CO5.7",0.357599901737987,0.336606690474899,0.249270560145179,0.305923004854542,0.388327133506992,0.353981496687237,0.394471096376442,0.248266198399301,0.394737053366509,0.206857788049499,0.392163607979458,0.417916316266566,0.204854131652633,0.406287810840592,0.261841664717319,0.419811882488182
"CO5.8",0.268875979237804,0.301293539911656,0.226149954564644,0.284102865893121,0.4008929649249,0.347183460370815,0.387593975909034,0.243708597932366,0.340926548432251,0.220927757416681,0.396484815051607,0.405608934974592,0.204155118796702,0.397749683501418,0.254785162492201,0.367757220445848
"CO5.9",0.339739098961882,0.297438373746628,0.226031973113836,0.309818947032232,0.396530348741552,0.364219407763731,0.373879373829833,0.219799574538753,0.371773195337011,0.203493646867138,0.398100690665127,0.416933445927457,0.190659526060435,0.380174574938245,0.284467020900417,0.384070010813699
"CO5.10",0.313969305180197,0.255091952919387,0.19192320585168,0.325225744063192,0.354907301662822,0.308588224415584,0.359423824855569,0.206300351755745,0.348292809827818,0.212426834416184,0.346537314954166,0.393902405861251,0.152308810942793,0.340360095350205,0.261293411475991,0.354353460060749
"CO6.1",0.246258893423442,0.233275882028727,0.18813247315653,0.284098057068994,0.345224811726883,0.35675571810295,0.337418711609724,0.205405993531112,0.311260781190901,0.180773632362006,0.387688920128377,0.400533896022647,0.120129801973795,0.331166793554432,0.20570357827861,0.34243511709746
"CO6.2",0.251629084368551,0.294122111906152,0.218890630456019,0.313096812693255,0.394141321380447,0.414742904679486,0.416291005933982,0.243169358578659,0.356224662292483,0.277795933002786,0.403554742592037,0.452955658033165,0.140577474493512,0.401644409056459,0.243497663059232,0.413576487181699
"CO6.3",0.331092900449504,0.236861984539921,0.182959367861079,0.304309545331909,0.380806541351476,0.387858983699855,0.387238376571265,0.25875882633772,0.355696815616796,0.231936419738014,0.371430512248781,0.405501037838022,0.129358158033652,0.356743399947389,0.28922789479024,0.362629987920534
"CO6.4",0.322704176917123,0.333584584658915,0.269072713435623,0.388995570449696,0.430574337891797,0.419712303993049,0.436553787551199,0.267982189751272,0.402184170231468,0.293398886112265,0.412584446473764,0.467547396901403,0.129342789659658,0.423450494343363,0.241831490329084,0.418570220287312
"CO6.5",0.211635720407029,0.21749111354588,0.172474457937093,0.263534718865415,0.347001100162051,0.354228704603887,0.339159423210724,0.208474511544179,0.283495120763016,0.181208919556788,0.38221089476369,0.389704276769198,0.129005199372847,0.364962802712475,0.212335488046449,0.320921855236335
"CO6.6",0.342900608915576,0.333540690559993,0.252897322351286,0.291452282893761,0.390162838311605,0.386887355754497,0.409716526921326,0.23835611130485,0.373097057267766,0.206164106603388,0.415052893030838,0.452949562287945,0.194808411410674,0.418598089206937,0.254146610251214,0.408576938498805
"CO6.7",0.260386979434479,0.260721468095506,0.193924314854561,0.276750835675201,0.368310155967202,0.363968653931408,0.367104085044894,0.220281581771638,0.331652799022187,0.195198697596754,0.397633377259579,0.430881549207671,0.127583282240179,0.375259493211655,0.209626285069175,0.364780362479209
"CO6.8",0.322227287003922,0.325844907925824,0.246556687191138,0.307765716436598,0.376642783857362,0.37357696363394,0.392314219970512,0.230320055506534,0.377613546458678,0.199978034174597,0.41824554751352,0.422497919391482,0.187211189107967,0.39571314751981,0.239432369986944,0.400072715875362
"CO6.9",0.26514435791062,0.266180704688196,0.201289117104557,0.252564728351096,0.350507778374288,0.37284528575758,0.383525575030578,0.20453427060268,0.316155853361836,0.201930361409297,0.408751756664408,0.407590066492525,0.193274092333451,0.367204602382283,0.25200864603321,0.352350672910897
"CO6.10",0.243980976122216,0.219661612976528,0.180333139787575,0.27786048108932,0.348822376596672,0.376806604391901,0.339407602565408,0.215119449112785,0.313561739548703,0.188053439715027,0.379557620707357,0.382399217654425,0.129662147159784,0.326497380288389,0.199980269038298,0.323330421400773
"CO7.1",0.293012315585009,0.292720829363815,0.231371960446544,0.362654300745525,0.411363781321622,0.411545743291878,0.396145224541928,0.251929325831823,0.345441774473753,0.270557949493533,0.428954847313584,0.45624257426089,0.15337457847882,0.392529142850316,0.236146084358806,0.398836953593317
"CO7.2",0.26249862904711,0.279486881928633,0.20335254613592,0.263533529477884,0.404097476278218,0.435228763472531,0.413055154765057,0.223249652464062,0.346914377402854,0.233708740644247,0.427484985931774,0.450928919190939,0.186182247532466,0.39248023180712,0.250905001297793,0.389564341904051
"CO7.3",0.342991740918681,0.299787595708705,0.244962767918506,0.321265952630629,0.404460333737906,0.429692624394123,0.421859423731686,0.24079027087849,0.372237650158412,0.212503133902187,0.407909578028218,0.445565011482531,0.168505054326073,0.402809471639521,0.272668035106727,0.399399914250835
"CO7.4",0.268524264500428,0.284673949538163,0.21727847272638,0.348918843327997,0.379709893849071,0.403411449889059,0.387383180884282,0.239673811240596,0.393014623775252,0.218749948991655,0.396772942479921,0.442974725787442,0.14583420964877,0.371883371683495,0.219509958718854,0.398464585562761
"CO7.5",0.289836657422386,0.279525270059496,0.183887919461803,0.272607419473524,0.376794414671943,0.43212155303134,0.422306234532091,0.219988776927665,0.348952983502415,0.204961558541355,0.430736741217104,0.432902808522012,0.172743106785263,0.397647926088676,0.285949428494828,0.376863914918282
"CO7.6",0.312342193725358,0.286014648252103,0.246682861138074,0.324912935021393,0.402826515945685,0.430058265529108,0.405760629929215,0.251907240725643,0.365507481038486,0.200113666812675,0.407242373802841,0.44361088517679,0.166129006613163,0.371158439553084,0.245360185716154,0.387473510838635
"CO7.7",0.307429220295917,0.288908763356195,0.236750561182033,0.302568578731998,0.386323822746188,0.428927167517183,0.404004249935395,0.22551868771446,0.360945768800392,0.204853673019156,0.399933986124778,0.432335349323771,0.164101888504842,0.371493732280707,0.251791511325466,0.385514100107738
"CO7.8",0.280534760996576,0.296631273356588,0.243376780064318,0.36781911161235,0.425392119362079,0.456392382024824,0.435530996188215,0.266294893813541,0.388645541207734,0.274017448898335,0.412165766489173,0.475554021228742,0.143602599526607,0.412499121007017,0.222605403907188,0.430512800264766
"CO7.9",0.270977078350449,0.288960712171456,0.22131452677212,0.348962458335555,0.406074625776088,0.400964676161279,0.419826672479557,0.250885162115632,0.400756803547167,0.237623338496748,0.360284805941157,0.421547928918524,0.137964562143303,0.376778031018399,0.230408213700782,0.41409379018315
"CO7.10",0.289585653501238,0.307627566842202,0.235552697400584,0.352289726623262,0.443983698298913,0.43373661355343,0.449061636352833,0.286532332084847,0.365279953470131,0.252167203694717,0.412137624015571,0.467831668789469,0.14613385797825,0.44469510783152,0.254375578259873,0.42583221706237
"CO8.1",0.32945743862737,0.321537520353083,0.243675221490231,0.334282445352221,0.437034386292764,0.445759620753622,0.442823707143532,0.292281239098407,0.37088894577401,0.247369879398695,0.437005271488273,0.468509662224067,0.173728746607167,0.44135418672018,0.289083593357989,0.436704276963874
"CO8.2",0.286480820871021,0.334531723383125,0.24533090443896,0.321378799955267,0.413775168386211,0.49074862355089,0.444367812458235,0.260578488903801,0.392016468866781,0.274764263632565,0.433047557357576,0.478252396422754,0.19364135488758,0.426299229367942,0.242429949427853,0.441008925945478
"CO8.3",0.271826442221658,0.238244231909476,0.202821809466741,0.312402580929752,0.365909418755795,0.418351298768222,0.362816345585853,0.216054263992088,0.336253047694967,0.205423096865124,0.369005243562865,0.398454983696884,0.121118411917006,0.337536639294901,0.193787528228945,0.349110231656467
"CO8.4",0.283561789771361,0.284578928828309,0.224401198403739,0.280083784303277,0.395952543498957,0.435342783539885,0.399420196554996,0.239346927659973,0.339558527091303,0.258977251291695,0.407678643630946,0.440910751159561,0.196626991743008,0.372771935287464,0.237851594242541,0.382698708531503
"CO8.5",0.265679502021384,0.29493287697782,0.221193157137964,0.29329755008448,0.430014226959172,0.498302250764751,0.437342385321004,0.244196539172316,0.350497480212093,0.221474578220577,0.438108943099118,0.474039869192467,0.182722373206854,0.408475053262302,0.235674468643624,0.409355044008735
"CO8.6",0.278282026838718,0.25800321110222,0.194648736876143,0.285537142619155,0.36204052727572,0.446042550122811,0.398108041656607,0.229714973134162,0.349166937675069,0.222851424517923,0.392511524905092,0.422091399887283,0.131322926747044,0.367866141068301,0.23477539442366,0.370707525697941
"CO8.7",0.318929488963494,0.30520837383502,0.221972433842828,0.316583161172606,0.410512805450955,0.429019742109666,0.404088880478627,0.265798485812492,0.349303639124525,0.268121809416093,0.422681902697904,0.459385635769452,0.158142760413114,0.409382839571105,0.249827401427177,0.403470076031117
"CO8.8",0.32745294428772,0.279088204063633,0.21320868802735,0.318417104063361,0.39956629351027,0.470942606454478,0.424252661350237,0.253121667689794,0.365526070189876,0.242475225581634,0.39902719808595,0.445169874746361,0.158779386881095,0.388529383065701,0.290803708000741,0.405870883168595
"CO8.9",0.333542962668691,0.305835794814332,0.244517679355142,0.358634730493784,0.415550609264059,0.427669479724882,0.435532208480351,0.257279173458133,0.385605148594461,0.261385642580647,0.405676981725535,0.471450641892293,0.164813787659974,0.39859385537277,0.272429249684213,0.432632469136086
"CO8.10",0.260676709190703,0.250333329202659,0.182717234498123,0.226616190471606,0.370573747299257,0.412803238857015,0.369726517468068,0.21900181232803,0.307131457396628,0.193536834256904,0.396590396272412,0.414182810136615,0.179042779576603,0.352413865408182,0.220829057885704,0.338212149437958
