"","Abidji","Agarabi","Agta","Aguacatec","Amarakaeri","Ampeeli","Amuzgo","Angaatiha","Apinayé","Arabela","Bahinemo","Bauzi","Berik","Bété","Bhili","Buglere","Cakchiquel","Campa","Camsa","Candoshi","Cavineña","Cayapa","Chácobo","Chavacano","Chayahuita","Chinantec","Chiquitano","Chumburu","Cofán","Colorado","Cree","Culina","Didinga","Djuka","Dyimini","Ejagam","Ese Ejja","Garífuna","Guahibo","Guambiano","Guarijío","Guaymí","Gunu","Halbi","Huastec","Huave","Iduna","Ifugao","Iwam","Jicaque","Kalam","Kamano-Kafe","Karajá","Kemtuik","Kokni","Konkomba","Kriol","Kuku-Yalanji","Kuna","Kwerba","Lele","Mampruli","Maring","Martu-Wangka","Mawchi","Mayoruna","Mazahua","Mazatec","Menye","Micmac","Mikasuki","Mixtec","Mundu","Múra Pirahá","Murle","Murrinh-Patha","Nafaanra","Nahuatl","Ocaina","Papago","Patep","Paya","Podopa","Saramaccan","Seri","Shipibo","Sirionó","Slave","Sursurunga","Tabla","Tacana","Tarahumara (Central)","Tarahumara (Western)","Tboli","Teribe","Ticuna","Tifal","Tlapanec","Tucano","Vagla","Vasavi","Waorani","Walpiri","Wobé","Yacouba","Yakan","Yaminahua","Yucuna","Yupik","Zapotec"
"Abidji",1,0.357721267577969,0.384402031956681,0.337098706547348,0.301831110030657,0.384424437178682,0.254137974131572,0.353462088568046,0.345810253414537,0.384925555601348,0.352005269675637,0.339994852553874,0.329457736926016,0.41395954369582,0.375644496397422,0.326562094932354,0.242773092694138,0.321020836320047,0.241625161835517,0.316431414665669,0.342766554891348,0.360458594774658,0.376188015781751,0.258658139453469,0.284772024274822,0.287928899019739,0.259892781033161,0.377767780822597,0.324522696637896,0.339639138691024,0.33074888877769,0.461467839841223,0.286399838174748,0.385009548681479,0.393409914960836,0.373397609249876,0.403955116172223,0.209675993666846,0.386601006702785,0.300077299957019,0.355309435084896,0.387643641328304,0.421006760720992,0.314983078438176,0.29843755644328,0.259729557826531,0.324138175748988,0.373284368877161,0.34213980387315,0.359597060012046,0.342321265270821,0.376395695579375,0.277706073659812,0.340284219204196,0.372204722283956,0.444274578298235,0.270476391233315,0.373839045268464,0.31347347780133,0.424224342567737,0.389963814072894,0.498611327799806,0.323869856898084,0.425042087591155,0.370391498574236,0.396213629572321,0.211504381020134,0.250967078987941,0.396633135507308,0.265502977688653,0.237861354455285,0.312436138644799,0.422159896533887,0.372182724594423,0.295424681365455,0.456904455408809,0.344838539290492,0.330383502379245,0.336880461713699,0.271579726384682,0.316336442130031,0.368530100595215,0.356744413369523,0.3121093253825,0.32698832488269,0.306565579479482,0.365567476398393,0.252638113018602,0.372593534886844,0.394405640837417,0.30818123567882,0.36739598026201,0.336320888312833,0.363722414944681,0.358885432886048,0.333683845618144,0.178407598631769,0.290326705297452,0.362310099681084,0.384707626396236,0.362164918579474,0.374832322756081,0.329377710597037,0.376733639708847,0.335125001864709,0.308395870414424,0.403786248439215,0.324821891069432,0.339506000846127,0.307100617198426
"Agarabi",0.357721267577969,1,0.467097679395524,0.529310194801974,0.430943333341936,0.540315531406855,0.352489992854281,0.492300842678699,0.439860835723172,0.528820345203642,0.49380100074234,0.457096775067944,0.515914245840656,0.412262028614226,0.496156766491253,0.454596251790257,0.330957230782674,0.315266370340803,0.34150000684766,0.41513803152674,0.469704182586123,0.46472626884309,0.432662374733205,0.342508144654968,0.389515340987975,0.374665256668619,0.369482159194021,0.493418999729575,0.453800739051148,0.474198361752422,0.342764791305865,0.431862677357501,0.386187151162031,0.491131246013825,0.483835745479713,0.408935716803854,0.47481519607465,0.266654026795164,0.509590314800626,0.425730939684574,0.447527072108912,0.459784926089813,0.478631370457662,0.441903703756393,0.385134513549577,0.355366893326483,0.501982085366004,0.527215697083133,0.441509670394462,0.492983162874363,0.547704378076905,0.492993099409715,0.324651854785539,0.490920138748767,0.522879885968456,0.445400340956688,0.36302193451912,0.412429836627182,0.397103266034041,0.429895528321344,0.465514588497222,0.451044351861095,0.32115652882251,0.464794876112106,0.510848981650064,0.448734041558158,0.287218250858698,0.324904330064334,0.518600125488416,0.313587305764047,0.317864645927412,0.409220251434881,0.372669404126221,0.440298791267515,0.397121944572661,0.457629869354719,0.410574580814097,0.405946465630509,0.438746084639802,0.32347646552151,0.461424921185488,0.441437580323772,0.412315193067482,0.454048161792188,0.457173879506474,0.401377957724367,0.466361615328298,0.35542740831044,0.493146341294689,0.479301638115943,0.389022343236018,0.470870612317991,0.452398921801102,0.496219568848526,0.496732041424995,0.449478446436962,0.1786910875955,0.405314106325496,0.469152998957593,0.474899907438877,0.54221336370934,0.378156563683068,0.420294368831364,0.370097456025447,0.361986659577014,0.387658547100936,0.480245267248416,0.413782616028031,0.458224641626716,0.419568439980763
"Agta",0.384402031956681,0.467097679395524,1,0.420252125201227,0.376417057796638,0.517257124992984,0.256454057856931,0.426652341883768,0.402344247930561,0.463066460834292,0.434924822152874,0.390472303245934,0.438506866922369,0.404246898388627,0.4761437330526,0.417914213382849,0.26587331774641,0.432440560849924,0.224846422312733,0.362863474248229,0.405617051458001,0.441531842045661,0.448431683554094,0.27742923760208,0.341286159914302,0.319311732618063,0.287397504467196,0.384255057901407,0.40363894522811,0.392485873789716,0.339803250435007,0.397630395572899,0.304007259496688,0.441853806610872,0.409347817321714,0.413639756003028,0.414873271608738,0.195861861456346,0.494600610529545,0.303104987305063,0.423280393957717,0.48084988430312,0.426338597978121,0.518583687763903,0.34965945908185,0.284149598877319,0.379396867539928,0.431929290587349,0.413854239284649,0.399726488244985,0.413068586915357,0.395235568469364,0.3443676823778,0.429877337653804,0.468999065107941,0.37186515552412,0.295891979805938,0.556237135789282,0.407056303316801,0.383371266637968,0.418355933733406,0.45817644852814,0.414987380224228,0.363972208472701,0.47559251684325,0.45158596389987,0.260680933738479,0.30362555212238,0.464446858339254,0.247584732101021,0.26326461298386,0.384511171212077,0.347806398141874,0.37771377601513,0.372508317221647,0.621453353439533,0.39802522399546,0.336635198722999,0.409964743412039,0.282558730123437,0.370186132769104,0.415742713591972,0.399626175995125,0.421893727490055,0.35545889350497,0.360395879772385,0.47453109642694,0.249210580187467,0.470016441787104,0.471358730288261,0.348326332692784,0.41026348018517,0.412987354491886,0.452852415045589,0.388961531055637,0.389144150463754,0.289945410046903,0.365915833012336,0.427037189948459,0.373894091304694,0.508104003332702,0.337744276618856,0.421033587936719,0.37137844781269,0.347338866798615,0.337818049094006,0.444471611551428,0.386003729962945,0.392430773598275,0.398447193792728
"Aguacatec",0.337098706547348,0.529310194801974,0.420252125201227,1,0.541481865520196,0.53898799890658,0.471249951080044,0.547377430381173,0.496831261687313,0.529437467565482,0.531178818198798,0.487433284369575,0.513959602110764,0.366870683978134,0.551181890599524,0.573719068165093,0.497783999989869,0.300109613082123,0.481352325208067,0.52104553572534,0.539204566666505,0.539061702994379,0.414883388176397,0.494325410767893,0.453580474702605,0.525673125504559,0.50260594074582,0.544168952252273,0.621972398091376,0.580365245308911,0.425752425475178,0.426877521381634,0.395467149639749,0.603165877328125,0.50937736264919,0.366716794810372,0.610887738356298,0.400194498131203,0.518679369384023,0.55329207329968,0.567791121690135,0.543535857530066,0.463597487377624,0.395978778682872,0.554468270785069,0.491532442876023,0.565725441127818,0.446911186643559,0.432554025662371,0.523820579070374,0.568631004363703,0.654262096413828,0.301043537523965,0.59045875150913,0.620969664345357,0.385862394482172,0.510815999537095,0.36045627702602,0.483444501060252,0.373869300468346,0.417330035893483,0.386803404838555,0.28374090279806,0.486435657040325,0.575723175542883,0.415665155153034,0.390846651920804,0.437538699341921,0.507090216238187,0.457915911902311,0.479848587802391,0.579903040696813,0.335047483769296,0.433385157700117,0.468051272820526,0.402969671347489,0.360206493121381,0.561698879704894,0.571759515538435,0.448604027743178,0.578305265084115,0.485398125346825,0.472118715948786,0.556173195397794,0.503451147786728,0.468357946250144,0.522908306042222,0.498978280767485,0.566024674847106,0.531309602369813,0.509557432562321,0.496150958086324,0.516658511190893,0.582045476048223,0.625604239536876,0.544141410210372,0.180311244160202,0.558481424661468,0.492475954776692,0.521709228057923,0.618715950399669,0.395065281173211,0.398435952312031,0.350101435551233,0.315134857903013,0.526157725435546,0.513678332387213,0.569741242443959,0.538825791840221,0.551809400568666
"Amarakaeri",0.301831110030657,0.430943333341936,0.376417057796638,0.541481865520196,1,0.454313322571241,0.514877179737429,0.580618224542504,0.47461901262239,0.456024142511092,0.553727093507483,0.478086066321907,0.494338526312318,0.370638878340231,0.537639599824276,0.587655846513777,0.47189214997183,0.235985384887062,0.524104557785647,0.522951360963413,0.521019322115057,0.514178460093887,0.464890073248679,0.538962560556283,0.542109544445456,0.612020594346606,0.494225021344229,0.453048993327952,0.58318792681834,0.532924474127224,0.409017452507042,0.398865637861644,0.523197896809143,0.496628043714507,0.515196728667458,0.355972000108506,0.584072263965895,0.431055762247645,0.422388355736488,0.539060427523321,0.58112146880826,0.481767688136899,0.430389640420449,0.366549144277478,0.665296791656927,0.544154504317746,0.552476803093368,0.421799342102443,0.432996594795741,0.504379238529323,0.484604615627123,0.551423108184668,0.27209320032989,0.523698884297964,0.525027261008105,0.351551112861421,0.514933564983464,0.327476000170431,0.46523387751233,0.355188022278983,0.380877858982575,0.380493047629135,0.306771876654497,0.435310022743116,0.564626449374755,0.466147835603895,0.3941522480966,0.530577952561224,0.533468893345256,0.492404821321803,0.542851230756753,0.567801910627283,0.30671915691954,0.439775140432004,0.559012402043453,0.327870793445589,0.354653176294265,0.594880732131253,0.635331382758756,0.490055577633819,0.60628216306597,0.502096502978685,0.448520460358505,0.51680361505575,0.497478152498081,0.509504497849799,0.555357863969561,0.49308819221617,0.586772094816938,0.500043213757699,0.492885722048075,0.50983639376548,0.554796525260083,0.547662851068325,0.509559544197158,0.599627351604059,0.16873296407247,0.549543354094143,0.537363921124081,0.43807243039371,0.533698420900561,0.420391153296779,0.305513673674486,0.311954329659473,0.299866311547858,0.540913459886098,0.512797686896524,0.621541481508853,0.603511426316746,0.663645734513293
"Ampeeli",0.384424437178682,0.540315531406855,0.517257124992984,0.53898799890658,0.454313322571241,1,0.337578212124754,0.501539753222017,0.450962682711559,0.572720995099158,0.535001216319288,0.482718079916791,0.530864531657301,0.380174051910548,0.548972956282952,0.484579928985369,0.332049512548556,0.328803805417589,0.332580672046896,0.463017448738631,0.541767928715574,0.569012151925644,0.443695614512586,0.362251647681802,0.46213275633454,0.409633859507096,0.372642961722901,0.43607641004007,0.529450304217807,0.547764557435564,0.403169691686958,0.505013344983953,0.372014867456828,0.502338053619616,0.446863853895728,0.37562166746618,0.563849623295048,0.287217777539848,0.514763737690724,0.44902162716973,0.533867596778936,0.542483901705722,0.489521209346046,0.430333203933569,0.426722919243704,0.369697471145221,0.544101814770284,0.510875239185002,0.48561663685694,0.546446334037884,0.559314353614704,0.554252331053084,0.342562812121333,0.559352651391523,0.571812842839785,0.428477407146521,0.368520925704014,0.473318799412352,0.47469314343268,0.40508880213778,0.478064303529108,0.437082929955921,0.309113384225264,0.41736065260053,0.535086940681029,0.443323543009302,0.327320300107794,0.349237704246227,0.549806187677084,0.341016817207229,0.368011262408736,0.468801697287877,0.379386975373074,0.411541980057368,0.419690079717724,0.469559304244545,0.373142941073623,0.410472992200661,0.525603404397285,0.371952659284844,0.478283264144121,0.529977585904519,0.439541842299256,0.527657369115622,0.487466958943861,0.446790639631252,0.506600153920837,0.364851096814212,0.562562239285693,0.555950063153318,0.412836438958368,0.523889373113932,0.473498378518057,0.55677838943644,0.506581464022762,0.509789017785938,0.271646071187579,0.452487648759377,0.524096006973712,0.483712838528523,0.544297372566376,0.416552818316663,0.463991254061867,0.388082662689808,0.338692838968814,0.414009245137289,0.521191031852926,0.494491389762974,0.443173466353865,0.442207230856977
"Amuzgo",0.254137974131572,0.352489992854281,0.256454057856931,0.471249951080044,0.514877179737429,0.337578212124754,1,0.448392897026378,0.406157834974524,0.343515598241858,0.414651916159158,0.358733767599656,0.36383501849526,0.277643935001966,0.399745750784853,0.456259077787195,0.566519206169932,0.18653102937818,0.523958488414698,0.420005184708628,0.411787163789288,0.392443264639424,0.34614227926706,0.582094433612994,0.46206465606816,0.537582669667114,0.485126510668328,0.392156760448262,0.435124124647715,0.396520860055276,0.360383343401974,0.287377122128835,0.430575847706372,0.417943945676072,0.423622959735715,0.27439418346436,0.443330256265234,0.434000090586229,0.330353833016505,0.492293030716511,0.448479660316747,0.385234515803698,0.356606147828045,0.2886144706085,0.514191946770975,0.55326035524601,0.435759840712496,0.321893517448197,0.31610216509518,0.371403359351094,0.37166043291362,0.442942442228832,0.231079961911734,0.406376545117982,0.395550765913478,0.281658672826748,0.559935298952299,0.242099224540086,0.405330199570041,0.261084867593768,0.296499454949901,0.287861846930836,0.239155045552844,0.334781758915475,0.428367332375118,0.361471180606542,0.429241747401086,0.499529552361397,0.373503301685457,0.541105036167253,0.491065441505137,0.490061497629384,0.271531410393753,0.337613613700548,0.446549671271196,0.26446354715769,0.283238780841954,0.553922109083318,0.47261349226616,0.481945965627723,0.458572073305169,0.400793569054405,0.344807698705827,0.435179984209578,0.42411357181151,0.39849864750118,0.381114807484743,0.542471693521247,0.430050736020792,0.383865319615607,0.403399176823872,0.398684607401306,0.44595625557033,0.425492313862761,0.473233960818421,0.472043650111991,0.146176065227221,0.426097484860187,0.415994091132316,0.365654398966355,0.397884070565895,0.294559114313857,0.311529441536804,0.27845004105272,0.238688822789308,0.533915430703434,0.385512280147188,0.498411781689021,0.454734076017246,0.520429398977996
"Angaatiha",0.353462088568046,0.492300842678699,0.426652341883768,0.547377430381173,0.580618224542504,0.501539753222017,0.448392897026378,1,0.504446939632239,0.524417915081867,0.56488601228727,0.527748066745375,0.475740839893596,0.368766104459686,0.523201273197361,0.569279802943482,0.403719632661991,0.29024747125101,0.423003827058341,0.557149687367533,0.541681299846707,0.539423967138451,0.45653286234832,0.453194451322157,0.479175197139824,0.48958816407248,0.449592246475448,0.466719869225,0.588106396023152,0.563121751411779,0.438871224897039,0.435557046913558,0.471519647553615,0.505182651274637,0.52064873282681,0.338401236057344,0.596350192646748,0.341671016104351,0.488651328454194,0.526999478922584,0.589820381285782,0.567726474125335,0.468466879285309,0.379762545026806,0.540189766319969,0.43861015060756,0.511299487404351,0.41904385243358,0.450953923030967,0.490711248943979,0.509410972599155,0.6054963600654,0.300690284965549,0.5345075650593,0.540734853475156,0.352388704000876,0.433980570928845,0.398307175197547,0.467324115591478,0.37048294841295,0.43491591312904,0.413796061430533,0.362960227868143,0.407930587963333,0.561685494782745,0.464303664605269,0.350708768806113,0.432637867230838,0.558301952006559,0.411109223420341,0.446686117276894,0.500092255294534,0.315595681103566,0.438059832656109,0.512234586710811,0.374134495062163,0.33804029368722,0.523028358823255,0.617911854945554,0.39814082210587,0.521547555659737,0.504403211529398,0.483094383062237,0.507947226586936,0.492539978495633,0.509315944616254,0.595262087403355,0.419478388409698,0.594684740378063,0.559328576242468,0.435774930603584,0.512979493418449,0.526259787628436,0.563561293695563,0.574710436100079,0.55869861051357,0.192388681411014,0.467866243067043,0.520116996758347,0.448647877908128,0.574621066852574,0.429987688423648,0.356772176196283,0.321584474189515,0.288607445192187,0.462868896297162,0.548779512886634,0.533309660023311,0.569005718289959,0.570285220766385
"Apinayé",0.345810253414537,0.439860835723172,0.402344247930561,0.496831261687313,0.47461901262239,0.450962682711559,0.406157834974524,0.504446939632239,1,0.542660149913113,0.493510839169846,0.533206508540876,0.476431627937685,0.385061533453293,0.542745618352966,0.576393091904823,0.37330845524413,0.299288765491378,0.378256793285273,0.480812275428681,0.504087393859873,0.556863226712236,0.523042453709106,0.419596871292442,0.498650504469513,0.42934663295081,0.363075853178692,0.47729840791449,0.52636385149494,0.513093567361417,0.4338174420802,0.404598418547682,0.454064379184662,0.481202500698745,0.473161621052013,0.413495006165661,0.550067126475701,0.345524245194251,0.477204676093017,0.472558731021,0.581254020803755,0.518605071840434,0.451745856767954,0.39205750250576,0.481355480014334,0.398623926206068,0.511059623516828,0.420135641842173,0.461773661697737,0.534493254852518,0.505846887652862,0.520825592586397,0.348182058060892,0.502861131952792,0.532538073328739,0.38618990795845,0.429422391247341,0.408847517000895,0.495017310659142,0.380801039281945,0.44449991033007,0.403514375070611,0.326047891783759,0.412084980295775,0.530942639757677,0.536596237468409,0.355540194994955,0.406606004988703,0.547012261101415,0.406335172690225,0.435436022071699,0.506591375447363,0.362570935249126,0.510718798004915,0.50807689219975,0.379923083601515,0.420683277050964,0.471833414993766,0.527333440503899,0.4445031132788,0.465178553471768,0.493299696049422,0.491691488122118,0.46673686749875,0.513537443329072,0.499351446752097,0.550902830575469,0.408394254631571,0.571819450075664,0.55793372501668,0.420375082143387,0.530518484795172,0.537430458539472,0.555448298020913,0.517144643014188,0.561535832923611,0.139562373169221,0.473900225354088,0.4831069453727,0.470854360508991,0.558865214359263,0.432045011899084,0.354382756094691,0.370399615408675,0.35542971370688,0.44887837168917,0.550638655315634,0.518568486580681,0.564633768022104,0.501830651803736
"Arabela",0.384925555601348,0.528820345203642,0.463066460834292,0.529437467565482,0.456024142511092,0.572720995099158,0.343515598241858,0.524417915081867,0.542660149913113,1,0.540415127527819,0.490034742470095,0.492578401717141,0.372156051257012,0.597359548414928,0.49317099255217,0.359093044468441,0.310337532132913,0.353695612802659,0.51807404332924,0.593794150363499,0.557388437729519,0.497008316650334,0.391231534346842,0.509507082028386,0.418752139041332,0.395431656013595,0.411485026121384,0.515106761555131,0.531514802251343,0.446666381363918,0.513986029616283,0.418500055380933,0.498953049555485,0.442185322944533,0.408203231772375,0.564923491033462,0.320092569867722,0.552370825023097,0.484600117418717,0.574536005899641,0.564875323893282,0.487166293635076,0.464533858762656,0.468294413419463,0.39028108062374,0.561677810821096,0.441731386588506,0.50419358615408,0.587498191621158,0.581196553486442,0.544643493273599,0.362960743861015,0.520872947018545,0.554907308210176,0.406042693802479,0.393763009566555,0.402318609333882,0.539626598216443,0.40308171857403,0.496123865583686,0.431608228540313,0.324366891324376,0.414643870283547,0.569282823413132,0.517279969472921,0.35914176777405,0.393069450167871,0.610193185451621,0.363659095533903,0.409728662698762,0.509714553445839,0.385341469806861,0.457599770269717,0.48715523184822,0.425894700341584,0.41994984819742,0.445058253894259,0.543035002571119,0.408667494920935,0.468330851176376,0.569186904311034,0.518178307552126,0.482815775054756,0.571758063729916,0.492067515758922,0.571098347196933,0.392375913075159,0.571333840460916,0.581953106969615,0.432757144162211,0.61422712526539,0.544768013467862,0.535242131344501,0.540562668731454,0.576822458790686,0.170245452416716,0.498627089299018,0.576502098708417,0.45963202289946,0.592616619664713,0.502285560529638,0.469920023602022,0.405632570850883,0.340900304012839,0.423962680435015,0.553316720839833,0.50257369592138,0.530465310404468,0.469401622619174
