a,b,L
49.063656,-26.050394,5.500000
49.095477,-26.405843,5.500000
49.127495,-26.760230,5.500000
49.159703,-27.113502,5.500000
49.192094,-27.465610,5.500000
49.224658,-27.816504,5.500000
49.257390,-28.166138,5.500000
49.290282,-28.514470,5.500000
49.323326,-28.861456,5.500000
49.356514,-29.207059,5.500000
49.389841,-29.551241,5.500000
49.423298,-29.893970,5.500000
49.456878,-30.235213,5.500000
49.490576,-30.574942,5.500000
49.524383,-30.913130,5.500000
49.558294,-31.249751,5.500000
49.592302,-31.584783,5.500000
49.626400,-31.918205,5.500000
49.660583,-32.249995,5.500000
49.694843,-32.580135,5.500000
49.729175,-32.908607,5.500000
49.763573,-33.235394,5.500000
49.798030,-33.560481,5.500000
49.832540,-33.883853,5.500000
49.867097,-34.205496,5.500000
49.901696,-34.525397,5.500000
49.936331,-34.843544,5.500000
49.970995,-35.159927,5.500000
50.005684,-35.474535,5.500000
50.040391,-35.787359,5.500000
50.075112,-36.098390,5.500000
50.109839,-36.407619,5.500000
50.144570,-36.715040,5.500000
50.179297,-37.020645,5.500000
50.214015,-37.324429,5.500000
50.248721,-37.626384,5.500000
50.283407,-37.926507,5.500000
50.318070,-38.224791,5.500000
50.352705,-38.521233,5.500000
50.387305,-38.815828,5.500000
50.421868,-39.108572,5.500000
50.456387,-39.399461,5.500000
50.490858,-39.688493,5.500000
50.525276,-39.975662,5.500000
50.559637,-40.260968,5.500000
50.593935,-40.544407,5.500000
50.628167,-40.825975,5.500000
50.662328,-41.105670,5.500000
50.696412,-41.383489,5.500000
50.730416,-41.659430,5.500000
50.764334,-41.933491,5.500000
50.798164,-42.205668,5.500000
50.831899,-42.475961,5.500000
50.865536,-42.744368,5.500000
50.899071,-43.010887,5.500000
50.932499,-43.275518,5.500000
50.965816,-43.538260,5.500000
50.999018,-43.799111,5.500000
51.032102,-44.058073,5.500000
51.065063,-44.315145,5.500000
51.097897,-44.570328,5.500000
51.130602,-44.823621,5.500000
51.163172,-45.075026,5.500000
51.195605,-45.324544,5.500000
51.227898,-45.572177,5.500000
51.260046,-45.817925,5.500000
51.292047,-46.061792,5.500000
51.323897,-46.303778,5.500000
51.355595,-46.543887,5.500000
51.387135,-46.782121,5.500000
51.418517,-47.018484,5.500000
51.449737,-47.252978,5.500000
51.480792,-47.485607,5.500000
51.511680,-47.716375,5.500000
51.542398,-47.945286,5.500000
51.572945,-48.172344,5.500000
51.603318,-48.397554,5.500000
51.633515,-48.620920,5.500000
51.663533,-48.842450,5.500000
51.693372,-49.062147,5.500000
51.723029,-49.280018,5.500000
51.752504,-49.496069,5.500000
51.781793,-49.710308,5.500000
51.810897,-49.922741,5.500000
51.839814,-50.133376,5.500000
51.868543,-50.342221,5.500000
51.897082,-50.549284,5.500000
51.925432,-50.754572,5.500000
51.953592,-50.958095,5.500000
51.981560,-51.159861,5.500000
52.009337,-51.359880,5.500000
52.036922,-51.558158,5.500000
52.064315,-51.754708,5.500000
52.091515,-51.949536,5.500000
52.118523,-52.142653,5.500000
52.145338,-52.334067,5.500000
52.171960,-52.523788,5.500000
52.198390,-52.711823,5.500000
52.224626,-52.898182,5.500000
52.250669,-53.082873,5.500000
52.276519,-53.265905,5.500000
52.302176,-53.447286,5.500000
52.327640,-53.627025,5.500000
52.352912,-53.805131,5.500000
52.377990,-53.981612,5.500000
52.402876,-54.156479,5.500000
52.427569,-54.329740,5.500000
52.452071,-54.501405,5.500000
52.476381,-54.671483,5.500000
52.500500,-54.839984,5.500000
52.524427,-55.006917,5.500000
52.548164,-55.172292,5.500000
52.571711,-55.336119,5.500000
52.595068,-55.498407,5.500000
52.618236,-55.659166,5.500000
52.641215,-55.818406,5.500000
52.664005,-55.976137,5.500000
52.686608,-56.132369,5.500000
52.709023,-56.287111,5.500000
52.731251,-56.440375,5.500000
52.753293,-56.592169,5.500000
52.775148,-56.742505,5.500000
52.796818,-56.891392,5.500000
52.818303,-57.038841,5.500000
52.839604,-57.184863,5.500000
52.860720,-57.329467,5.500000
52.881653,-57.472665,5.500000
52.902404,-57.614469,5.500000
52.922972,-57.754888,5.500000
52.943359,-57.893934,5.500000
52.963565,-58.031618,5.500000
52.983591,-58.167951,5.500000
53.003437,-58.302946,5.500000
53.023106,-58.436613,5.500000
53.042597,-58.568963,5.500000
53.061913,-58.700010,5.500000
53.081053,-58.829763,5.500000
53.100020,-58.958235,5.500000
53.118813,-59.085438,5.500000
53.137434,-59.211381,5.500000
53.155885,-59.336079,5.500000
53.174166,-59.459541,5.500000
53.192278,-59.581779,5.500000
53.210224,-59.702804,5.500000
53.228003,-59.822629,5.500000
53.245617,-59.941264,5.500000
53.263068,-60.058722,5.500000
53.280356,-60.175013,5.500000
53.297483,-60.290148,5.500000
53.314451,-60.404140,5.500000
53.331260,-60.516999,5.500000
53.347912,-60.628737,5.500000
53.364408,-60.739364,5.500000
53.380749,-60.848892,5.500000
53.396937,-60.957331,5.500000
53.412973,-61.064693,5.500000
53.428859,-61.170989,5.500000
53.444596,-61.276230,5.500000
53.460185,-61.380426,5.500000
53.475627,-61.483590,5.500000
53.490924,-61.585732,5.500000
53.506078,-61.686864,5.500000
53.521089,-61.786997,5.500000
53.535959,-61.886143,5.500000
53.550690,-61.984312,5.500000
53.565282,-62.081514,5.500000
53.579737,-62.177763,5.500000
53.594057,-62.273068,5.500000
53.608242,-62.367440,5.500000
53.622294,-62.460889,5.500000
53.636215,-62.553426,5.500000
53.650005,-62.645061,5.500000
53.663666,-62.735802,5.500000
53.677199,-62.825660,5.500000
53.690606,-62.914644,5.500000
53.703887,-63.002763,5.500000
53.717045,-63.090025,5.500000
53.730079,-63.176439,5.500000
53.742992,-63.262013,5.500000
53.755784,-63.346755,5.500000
53.768456,-63.430673,5.500000
53.781011,-63.513774,5.500000
53.793450,-63.596066,5.500000
53.805774,-63.677555,5.500000
53.817985,-63.758248,5.500000
53.830084,-63.838152,5.500000
53.842073,-63.917273,5.500000
