a,b,L
144.671586,-103.019456,5.500000
145.169809,-103.425047,5.500000
145.662150,-103.826580,5.500000
146.148646,-104.224087,5.500000
146.629333,-104.617597,5.500000
147.104248,-105.007141,5.500000
147.573429,-105.392749,5.500000
148.036916,-105.774454,5.500000
148.494748,-106.152285,5.500000
148.946968,-106.526276,5.500000
149.393616,-106.896458,5.500000
149.834735,-107.262864,5.500000
150.270372,-107.625527,5.500000
150.700569,-107.984478,5.500000
151.125374,-108.339754,5.500000
151.544833,-108.691386,5.500000
151.958994,-109.039409,5.500000
152.367906,-109.383857,5.500000
152.771617,-109.724764,5.500000
153.170179,-110.062167,5.500000
153.563640,-110.396098,5.500000
153.952054,-110.726596,5.500000
154.335470,-111.053693,5.500000
154.713943,-111.377426,5.500000
155.087522,-111.697830,5.500000
155.456262,-112.014941,5.500000
155.820214,-112.328793,5.500000
156.179432,-112.639422,5.500000
156.533969,-112.946864,5.500000
156.883876,-113.251152,5.500000
157.229209,-113.552323,5.500000
157.570017,-113.850409,5.500000
157.906356,-114.145447,5.500000
158.238276,-114.437469,5.500000
158.565831,-114.726510,5.500000
158.889073,-115.012604,5.500000
159.208053,-115.295783,5.500000
159.522823,-115.576082,5.500000
159.833436,-115.853533,5.500000
160.139942,-116.128168,5.500000
160.442392,-116.400021,5.500000
160.740839,-116.669123,5.500000
161.035331,-116.935506,5.500000
161.325920,-117.199202,5.500000
161.612656,-117.460241,5.500000
161.895585,-117.718654,5.500000
162.174756,-117.974471,5.500000
162.450217,-118.227719,5.500000
162.722011,-118.478428,5.500000
162.990185,-118.726624,5.500000
163.254784,-118.972335,5.500000
163.515849,-119.215586,5.500000
163.773425,-119.456405,5.500000
164.027552,-119.694816,5.500000
164.278273,-119.930843,5.500000
164.525627,-120.164511,5.500000
164.769655,-120.395844,5.500000
165.010396,-120.624864,5.500000
165.247887,-120.851595,5.500000
165.482168,-121.076059,5.500000
165.713275,-121.298278,5.500000
165.941245,-121.518272,5.500000
166.166114,-121.736064,5.500000
166.387918,-121.951674,5.500000
166.606692,-122.165122,5.500000
166.822470,-122.376429,5.500000
167.035288,-122.585613,5.500000
167.245178,-122.792696,5.500000
167.452175,-122.997695,5.500000
167.656310,-123.200629,5.500000
167.857617,-123.401517,5.500000
168.056127,-123.600377,5.500000
168.251873,-123.797228,5.500000
168.444885,-123.992086,5.500000
168.635194,-124.184969,5.500000
168.822832,-124.375895,5.500000
169.007828,-124.564881,5.500000
169.190213,-124.751943,5.500000
169.370015,-124.937097,5.500000
169.547264,-125.120361,5.500000
169.721990,-125.301751,5.500000
169.894220,-125.481281,5.500000
170.063983,-125.658969,5.500000
170.231308,-125.834830,5.500000
170.396221,-126.008879,5.500000
170.558751,-126.181132,5.500000
170.718925,-126.351604,5.500000
170.876770,-126.520309,5.500000
171.032313,-126.687262,5.500000
171.185580,-126.852480,5.500000
171.336598,-127.015975,5.500000
171.485393,-127.177763,5.500000
171.631993,-127.337859,5.500000
171.776423,-127.496277,5.500000
171.918709,-127.653031,5.500000
172.058877,-127.808136,5.500000
172.196953,-127.961605,5.500000
172.332963,-128.113454,5.500000
172.466932,-128.263696,5.500000
172.598885,-128.412346,5.500000
172.728847,-128.559416,5.500000
172.856843,-128.704921,5.500000
172.982898,-128.848874,5.500000
173.107037,-128.991290,5.500000
173.229284,-129.132182,5.500000
173.349662,-129.271562,5.500000
173.468197,-129.409445,5.500000
173.584911,-129.545843,5.500000
173.699828,-129.680770,5.500000
173.812972,-129.814238,5.500000
173.924364,-129.946260,5.500000
174.034030,-130.076850,5.500000
174.141990,-130.206019,5.500000
174.248267,-130.333779,5.500000
174.352884,-130.460144,5.500000
174.455863,-130.585126,5.500000
174.557225,-130.708737,5.500000
174.656992,-130.830989,5.500000
174.755185,-130.951894,5.500000
174.851827,-131.071464,5.500000
174.946937,-131.189710,5.500000
175.040537,-131.306646,5.500000
175.132647,-131.422281,5.500000
175.223289,-131.536629,5.500000
175.312481,-131.649701,5.500000
175.400245,-131.761508,5.500000
175.486601,-131.872061,5.500000
175.571568,-131.981373,5.500000
175.655165,-132.089455,5.500000
175.737414,-132.196318,5.500000
175.818331,-132.301973,5.500000
175.897937,-132.406432,5.500000
175.976252,-132.509706,5.500000
176.053292,-132.611807,5.500000
176.129077,-132.712744,5.500000
176.203626,-132.812530,5.500000
176.276956,-132.911175,5.500000
176.349086,-133.008691,5.500000
176.420033,-133.105089,5.500000
176.489816,-133.200380,5.500000
176.558452,-133.294574,5.500000
176.625958,-133.387683,5.500000
176.692351,-133.479717,5.500000
176.757650,-133.570689,5.500000
