a,b,L
60.366545,-50.504728,5.500000
60.547437,-50.789755,5.500000
60.727517,-51.072519,5.500000
60.906772,-51.353027,5.500000
61.085188,-51.631290,5.500000
61.262756,-51.907316,5.500000
61.439462,-52.181114,5.500000
61.615296,-52.452694,5.500000
61.790248,-52.722067,5.500000
61.964308,-52.989241,5.500000
62.137466,-53.254229,5.500000
62.309713,-53.517039,5.500000
62.481040,-53.777683,5.500000
62.651439,-54.036171,5.500000
62.820903,-54.292516,5.500000
62.989425,-54.546728,5.500000
63.156997,-54.798819,5.500000
63.323613,-55.048802,5.500000
63.489268,-55.296689,5.500000
63.653957,-55.542491,5.500000
63.817673,-55.786222,5.500000
63.980413,-56.027894,5.500000
64.142173,-56.267521,5.500000
64.302948,-56.505115,5.500000
64.462734,-56.740689,5.500000
64.621530,-56.974256,5.500000
64.779331,-57.205830,5.500000
64.936136,-57.435424,5.500000
65.091941,-57.663050,5.500000
65.246745,-57.888722,5.500000
65.400546,-58.112453,5.500000
65.553341,-58.334255,5.500000
65.705128,-58.554141,5.500000
65.855906,-58.772122,5.500000
66.005673,-58.988211,5.500000
66.154428,-59.202419,5.500000
66.302168,-59.414758,5.500000
66.448892,-59.625239,5.500000
66.594598,-59.833872,5.500000
66.739287,-60.040670,5.500000
66.882955,-60.245642,5.500000
67.025601,-60.448798,5.500000
67.167225,-60.650150,5.500000
67.307824,-60.849705,5.500000
67.447398,-61.047475,5.500000
67.585945,-61.243467,5.500000
67.723463,-61.437691,5.500000
67.859952,-61.630155,5.500000
67.995408,-61.820868,5.500000
68.129832,-62.009837,5.500000
68.263220,-62.197068,5.500000
68.395570,-62.382570,5.500000
68.526882,-62.566348,5.500000
68.657152,-62.748409,5.500000
68.786377,-62.928758,5.500000
68.914556,-63.107400,5.500000
69.041684,-63.284340,5.500000
69.167760,-63.459582,5.500000
69.292781,-63.633131,5.500000
69.416743,-63.804991,5.500000
69.539644,-63.975167,5.500000
69.661483,-64.143664,5.500000
69.782257,-64.310487,5.500000
69.901965,-64.475641,5.500000
70.020605,-64.639131,5.500000
70.138177,-64.800964,5.500000
70.254679,-64.961145,5.500000
70.370111,-65.119679,5.500000
70.484473,-65.276575,5.500000
70.597764,-65.431837,5.500000
70.709986,-65.585474,5.500000
70.821139,-65.737492,5.500000
70.931223,-65.887898,5.500000
71.040241,-66.036700,5.500000
71.148194,-66.183905,5.500000
71.255083,-66.329523,5.500000
71.360911,-66.473562,5.500000
71.465680,-66.616030,5.500000
71.569394,-66.756936,5.500000
71.672056,-66.896290,5.500000
71.773669,-67.034102,5.500000
71.874237,-67.170382,5.500000
71.973766,-67.305141,5.500000
72.072261,-67.438391,5.500000
72.169726,-67.570143,5.500000
72.266168,-67.700408,5.500000
72.361592,-67.829199,5.500000
72.456004,-67.956529,5.500000
72.549412,-68.082408,5.500000
72.641821,-68.206851,5.500000
72.733238,-68.329869,5.500000
72.823670,-68.451475,5.500000
72.913124,-68.571681,5.500000
73.001606,-68.690500,5.500000
73.089123,-68.807943,5.500000
73.175680,-68.924022,5.500000
73.261285,-69.038748,5.500000
73.345944,-69.152132,5.500000
73.429662,-69.264185,5.500000
73.512447,-69.374920,5.500000
73.594304,-69.484348,5.500000
73.675242,-69.592480,5.500000
73.755266,-69.699327,5.500000
73.834383,-69.804903,5.500000
73.912601,-69.909218,5.500000
73.989927,-70.012285,5.500000
74.066368,-70.114115,5.500000
74.141931,-70.214720,5.500000
74.216623,-70.314112,5.500000
74.290451,-70.412303,5.500000
74.363423,-70.509304,5.500000
74.435547,-70.605127,5.500000
74.506829,-70.699785,5.500000
74.577277,-70.793288,5.500000
74.646899,-70.885649,5.500000
74.715702,-70.976880,5.500000
74.783694,-71.066993,5.500000
74.850882,-71.155999,5.500000
74.917274,-71.243911,5.500000
74.982878,-71.330741,5.500000
75.047703,-71.416501,5.500000
75.111755,-71.501203,5.500000
75.175044,-71.584860,5.500000
75.237578,-71.667484,5.500000
75.299364,-71.749087,5.500000
75.360411,-71.829681,5.500000
75.420727,-71.909280,5.500000
75.480320,-71.987894,5.500000
75.539199,-72.065537,5.500000
75.597373,-72.142219,5.500000
75.654848,-72.217954,5.500000
75.711634,-72.292753,5.500000
75.767738,-72.366628,5.500000
75.823168,-72.439590,5.500000
75.877933,-72.511652,5.500000
75.932040,-72.582824,5.500000
75.985498,-72.653118,5.500000
76.038314,-72.722546,5.500000
76.090496,-72.791119,5.500000
76.142052,-72.858847,5.500000
76.192990,-72.925743,5.500000
76.243318,-72.991817,5.500000
76.293042,-73.057079,5.500000
76.342171,-73.121541,5.500000
76.390712,-73.185212,5.500000
76.438673,-73.248104,5.500000
76.486060,-73.310226,5.500000
76.532882,-73.371590,5.500000
76.579146,-73.432206,5.500000
76.624859,-73.492084,5.500000
76.670029,-73.551235,5.500000
76.714663,-73.609669,5.500000
76.758769,-73.667397,5.500000
76.802354,-73.724428,5.500000
76.845425,-73.780773,5.500000
76.887990,-73.836441,5.500000
76.930055,-73.891443,5.500000
76.971627,-73.945787,5.500000
77.012713,-73.999484,5.500000
77.053319,-74.052541,5.500000
77.093452,-74.104967,5.500000
77.133117,-74.156772,5.500000
77.172321,-74.207963,5.500000
77.211069,-74.258547,5.500000
77.249368,-74.308534,5.500000
77.287221,-74.357929,5.500000
77.324636,-74.406741,5.500000
77.361616,-74.454977,5.500000
77.398167,-74.502642,5.500000
77.434293,-74.549745,5.500000
77.469999,-74.596290,5.500000
77.505290,-74.642283,5.500000
77.540170,-74.687731,5.500000
77.574642,-74.732639,5.500000
77.608710,-74.777012,5.500000
77.642378,-74.820854,5.500000
77.653053,-74.836198,5.500000
77.650055,-74.834640,5.500000
77.646994,-74.833049,5.500000
77.643872,-74.831425,5.500000
77.640688,-74.829768,5.500000
77.637442,-74.828079,5.500000
77.634133,-74.826356,5.500000
77.630762,-74.824599,5.500000
77.627326,-74.822809,5.500000
77.623826,-74.820984,5.500000
77.620260,-74.819123,5.500000
77.616627,-74.817227,5.500000
77.612924,-74.815293,5.500000
77.609151,-74.813322,5.500000
77.605305,-74.811312,5.500000
77.601383,-74.809261,5.500000
77.597384,-74.807169,5.500000
77.593305,-74.805034,5.500000
77.589143,-74.802854,5.500000
77.584895,-74.800628,5.500000
77.580557,-74.798354,5.500000
77.576126,-74.796030,5.500000
77.571599,-74.793653,5.500000
77.566971,-74.791223,5.500000
77.562238,-74.788737,5.500000
77.557397,-74.786192,5.500000
77.552442,-74.783586,5.500000
77.547371,-74.780917,5.500000
77.542177,-74.778182,5.500000
77.536858,-74.775380,5.500000
77.531409,-74.772508,5.500000
77.525825,-74.769564,5.500000
77.520104,-74.766545,5.500000
77.514241,-74.763450,5.500000
77.508232,-74.760276,5.500000
77.502074,-74.757021,5.500000
77.495761,-74.753684,5.500000
77.489292,-74.750261,5.500000
77.482661,-74.746751,5.500000
77.475865,-74.743152,5.500000
77.468900,-74.739461,5.500000
77.461762,-74.735677,5.500000
77.454448,-74.731797,5.500000
77.446953,-74.727819,5.500000
77.439274,-74.723741,5.500000
77.431408,-74.719561,5.500000
77.423351,-74.715277,5.500000
77.415098,-74.710886,5.500000
77.406647,-74.706387,5.500000
77.397992,-74.701778,5.500000
77.389132,-74.697055,5.500000
77.380063,-74.692219,5.500000
77.370781,-74.687266,5.500000
77.361282,-74.682194,5.500000
77.351565,-74.677002,5.500000
77.341625,-74.671688,5.500000
77.331460,-74.666250,5.500000
77.321066,-74.660687,5.500000
77.310440,-74.654995,5.500000
77.299579,-74.649174,5.500000
77.288480,-74.643222,5.500000
77.277138,-74.637136,5.500000
77.265551,-74.630914,5.500000
77.253714,-74.624555,5.500000
77.241624,-74.618056,5.500000
77.229277,-74.611414,5.500000
77.216669,-74.604628,5.500000
77.203796,-74.597695,5.500000
77.190653,-74.590612,5.500000
77.177236,-74.583378,5.500000
77.163541,-74.575990,5.500000
77.149563,-74.568445,5.500000
77.135298,-74.560740,5.500000
77.120741,-74.552873,5.500000
77.105887,-74.544842,5.500000
77.090731,-74.536642,5.500000
77.075268,-74.528272,5.500000
77.059494,-74.519729,5.500000
77.043402,-74.511009,5.500000
77.026989,-74.502111,5.500000
77.010248,-74.493030,5.500000
76.993175,-74.483764,5.500000
76.975766,-74.474312,5.500000
76.958015,-74.464669,5.500000
76.939919,-74.454833,5.500000
76.921472,-74.444803,5.500000
76.902671,-74.434575,5.500000
76.883513,-74.424149,5.500000
76.863995,-74.413521,5.500000
