a,b,L
164.355060,-115.766078,5.500000
164.803537,-116.148522,5.500000
165.245119,-116.526511,5.500000
165.679915,-116.900118,5.500000
166.108033,-117.269414,5.500000
166.529582,-117.634471,5.500000
166.944668,-117.995358,5.500000
167.353394,-118.352144,5.500000
167.755862,-118.704894,5.500000
168.152169,-119.053671,5.500000
168.542409,-119.398536,5.500000
168.926675,-119.739549,5.500000
169.305056,-120.076766,5.500000
169.677638,-120.410242,5.500000
170.044505,-120.740031,5.500000
170.405739,-121.066183,5.500000
170.761417,-121.388748,5.500000
171.111619,-121.707774,5.500000
171.456416,-122.023308,5.500000
171.795883,-122.335394,5.500000
172.130090,-122.644077,5.500000
172.459107,-122.949398,5.500000
172.783000,-123.251398,5.500000
173.101835,-123.550119,5.500000
173.415677,-123.845598,5.500000
173.724589,-124.137874,5.500000
174.028631,-124.426983,5.500000
174.327865,-124.712962,5.500000
174.622349,-124.995845,5.500000
174.912140,-125.275667,5.500000
175.197296,-125.552462,5.500000
175.477872,-125.826261,5.500000
175.753922,-126.097098,5.500000
176.025500,-126.365003,5.500000
176.292658,-126.630007,5.500000
176.555449,-126.892140,5.500000
176.813923,-127.151433,5.500000
177.068131,-127.407914,5.500000
177.318124,-127.661612,5.500000
177.563951,-127.912556,5.500000
177.805662,-128.160776,5.500000
178.043309,-128.406300,5.500000
178.276940,-128.649157,5.500000
178.506607,-128.889375,5.500000
178.732359,-129.126982,5.500000
178.954244,-129.362008,5.500000
179.172313,-129.594479,5.500000
179.386614,-129.824423,5.500000
179.597196,-130.051869,5.500000
179.804108,-130.276842,5.500000
180.007398,-130.499370,5.500000
180.207112,-130.719479,5.500000
180.403300,-130.937197,5.500000
180.596006,-131.152548,5.500000
180.785279,-131.365560,5.500000
180.971165,-131.576257,5.500000
181.153710,-131.784666,5.500000
181.332959,-131.990811,5.500000
181.508957,-132.194718,5.500000
181.681749,-132.396411,5.500000
181.851380,-132.595915,5.500000
182.017893,-132.793253,5.500000
182.181332,-132.988449,5.500000
182.341739,-133.181528,5.500000
182.499157,-133.372511,5.500000
182.653628,-133.561422,5.500000
182.805194,-133.748284,5.500000
182.953895,-133.933119,5.500000
183.099772,-134.115948,5.500000
183.242866,-134.296795,5.500000
183.383216,-134.475681,5.500000
183.520863,-134.652627,5.500000
183.655847,-134.827655,5.500000
183.788206,-135.000787,5.500000
183.917980,-135.172044,5.500000
184.045207,-135.341448,5.500000
184.169925,-135.509017,5.500000
184.292172,-135.674774,5.500000
184.411984,-135.838739,5.500000
184.529397,-136.000929,5.500000
184.644447,-136.161366,5.500000
184.757169,-136.320069,5.500000
184.867597,-136.477054,5.500000
184.975764,-136.632342,5.500000
185.081704,-136.785949,5.500000
185.185450,-136.937894,5.500000
185.287033,-137.088194,5.500000
185.386484,-137.236866,5.500000
185.483835,-137.383926,5.500000
185.579116,-137.529391,5.500000
185.672357,-137.673276,5.500000
185.763586,-137.815598,5.500000
185.852833,-137.956371,5.500000
185.940126,-138.095611,5.500000
186.025492,-138.233332,5.500000
186.108960,-138.369550,5.500000
186.190556,-138.504278,5.500000
186.270307,-138.637531,5.500000
186.348240,-138.769322,5.500000
186.424380,-138.899665,5.500000
186.498752,-139.028574,5.500000
186.571383,-139.156063,5.500000
186.642298,-139.282144,5.500000
186.711520,-139.406830,5.500000
186.779075,-139.530135,5.500000
186.844987,-139.652071,5.500000
186.909279,-139.772651,5.500000
186.971975,-139.891886,5.500000
187.033098,-140.009790,5.500000
187.092672,-140.126374,5.500000
187.150720,-140.241651,5.500000
187.207263,-140.355633,5.500000
187.262325,-140.468331,5.500000
187.315927,-140.579756,5.500000
187.368092,-140.689921,5.500000
187.418841,-140.798837,5.500000
187.468196,-140.906515,5.500000
187.516177,-141.012966,5.500000
187.562807,-141.118203,5.500000
187.608106,-141.222234,5.500000
187.652095,-141.325072,5.500000
187.694794,-141.426728,5.500000
187.736223,-141.527211,5.500000
