a,b,L
50.980533,-9.215158,5.500000
50.742642,-9.519871,5.500000
50.502110,-9.824997,5.500000
50.258935,-10.130518,5.500000
50.013121,-10.436419,5.500000
49.764670,-10.742681,5.500000
49.513585,-11.049290,5.500000
49.259870,-11.356229,5.500000
49.003529,-11.663486,5.500000
48.744564,-11.971048,5.500000
48.482979,-12.278903,5.500000
48.218776,-12.587042,5.500000
47.951958,-12.895452,5.500000
47.682531,-13.204125,5.500000
47.410503,-13.513046,5.500000
47.135885,-13.822197,5.500000
46.858692,-14.131560,5.500000
46.578942,-14.441112,5.500000
46.296654,-14.750830,5.500000
46.011852,-15.060687,5.500000
45.724561,-15.370657,5.500000
45.434810,-15.680710,5.500000
45.142629,-15.990815,5.500000
44.848051,-16.300939,5.500000
44.551110,-16.611050,5.500000
44.251844,-16.921111,5.500000
43.950289,-17.231089,5.500000
43.646486,-17.540947,5.500000
43.340472,-17.850651,5.500000
43.032290,-18.160165,5.500000
42.721979,-18.469452,5.500000
42.409582,-18.778478,5.500000
42.095140,-19.087206,5.500000
41.778696,-19.395601,5.500000
41.460291,-19.703627,5.500000
41.139970,-20.011248,5.500000
40.817774,-20.318429,5.500000
40.493747,-20.625133,5.500000
40.167932,-20.931325,5.500000
39.840372,-21.236968,5.500000
39.511110,-21.542027,5.500000
39.180188,-21.846467,5.500000
38.847647,-22.150253,5.500000
38.513528,-22.453352,5.500000
38.177869,-22.755729,5.500000
37.840711,-23.057351,5.500000
37.502090,-23.358185,5.500000
37.162045,-23.658199,5.500000
36.820612,-23.957360,5.500000
36.477826,-24.255637,5.500000
36.133720,-24.552999,5.500000
35.788326,-24.849418,5.500000
35.441676,-25.144863,5.500000
35.093799,-25.439305,5.500000
34.744726,-25.732716,5.500000
34.394484,-26.025066,5.500000
34.043102,-26.316328,5.500000
33.690608,-26.606472,5.500000
33.337032,-26.895468,5.500000
32.982401,-27.183287,5.500000
32.626744,-27.469898,5.500000
32.270090,-27.755270,5.500000
31.912468,-28.039373,5.500000
31.553909,-28.322176,5.500000
31.194441,-28.603646,5.500000
30.834095,-28.883751,5.500000
30.472902,-29.162460,5.500000
30.110894,-29.439740,5.500000
29.748102,-29.715559,5.500000
29.384559,-29.989883,5.500000
29.020298,-30.262681,5.500000
28.655354,-30.533918,5.500000
28.289761,-30.803562,5.500000
27.923554,-31.071581,5.500000
27.556770,-31.337942,5.500000
27.189446,-31.602611,5.500000
26.821618,-31.865558,5.500000
26.453327,-32.126749,5.500000
26.084610,-32.386153,5.500000
25.715508,-32.643740,5.500000
25.346062,-32.899478,5.500000
24.976313,-33.153337,5.500000
24.606303,-33.405288,5.500000
24.236077,-33.655301,5.500000
23.865676,-33.903348,5.500000
23.495148,-34.149402,5.500000
23.124536,-34.393435,5.500000
22.753886,-34.635422,5.500000
22.383246,-34.875337,5.500000
22.012662,-35.113157,5.500000
21.642182,-35.348858,5.500000
21.271855,-35.582418,5.500000
20.901727,-35.813816,5.500000
20.531849,-36.043034,5.500000
20.162268,-36.270051,5.500000
19.793034,-36.494852,5.500000
19.424197,-36.717419,5.500000
19.055804,-36.937738,5.500000
18.687906,-37.155797,5.500000
18.320552,-37.371582,5.500000
17.953790,-37.585083,5.500000
17.587668,-37.796290,5.500000
17.222236,-38.005197,5.500000
16.857542,-38.211795,5.500000
16.493632,-38.416079,5.500000
16.130554,-38.618046,5.500000
15.768355,-38.817693,5.500000
15.407079,-39.015019,5.500000
15.046773,-39.210023,5.500000
14.687482,-39.402707,5.500000
14.329247,-39.593074,5.500000
13.972114,-39.781127,5.500000
13.616123,-39.966871,5.500000
13.261317,-40.150312,5.500000
12.907734,-40.331458,5.500000
12.555416,-40.510317,5.500000
12.204399,-40.686899,5.500000
11.854722,-40.861213,5.500000
11.506421,-41.033272,5.500000
11.159531,-41.203088,5.500000
10.814088,-41.370674,5.500000
10.470123,-41.536044,5.500000
10.127669,-41.699213,5.500000
9.786758,-41.860198,5.500000
9.447419,-42.019014,5.500000
9.109682,-42.175679,5.500000
8.773573,-42.330211,5.500000
8.439120,-42.482628,5.500000
8.106348,-42.632950,5.500000
7.775283,-42.781195,5.500000
7.445946,-42.927385,5.500000
7.118361,-43.071539,5.500000
6.792550,-43.213678,5.500000
6.468531,-43.353824,5.500000
6.146326,-43.491998,5.500000
5.825951,-43.628222,5.500000
5.507423,-43.762519,5.500000
5.190759,-43.894911,5.500000
4.875973,-44.025421,5.500000
4.563081,-44.154071,5.500000
4.252094,-44.280884,5.500000
3.943024,-44.405885,5.500000
3.635884,-44.529095,5.500000
3.330682,-44.650539,5.500000
3.027429,-44.770239,5.500000
2.726132,-44.888220,5.500000
2.426800,-45.004504,5.500000
2.129439,-45.119114,5.500000
1.834055,-45.232075,5.500000
1.540653,-45.343409,5.500000
1.249239,-45.453139,5.500000
0.959814,-45.561289,5.500000
0.672383,-45.667881,5.500000
0.386946,-45.772939,5.500000
0.103505,-45.876486,5.500000
-0.177940,-45.978544,5.500000
-0.457389,-46.079135,5.500000
-0.734846,-46.178284,5.500000
-1.010310,-46.276010,5.500000
-1.283785,-46.372338,5.500000
-1.555274,-46.467289,5.500000
-1.824782,-46.560884,5.500000
-2.092312,-46.653146,5.500000
-2.357870,-46.744095,5.500000
-2.621461,-46.833753,5.500000
-2.883092,-46.922140,5.500000
-3.142768,-47.009278,5.500000
-3.400497,-47.095185,5.500000
-3.656285,-47.179883,5.500000
-3.910140,-47.263391,5.500000
-4.162068,-47.345729,5.500000
-4.412078,-47.426915,5.500000
-4.660177,-47.506967,5.500000
-4.906372,-47.585905,5.500000
-5.150672,-47.663747,5.500000
-5.393084,-47.740509,5.500000
-5.633616,-47.816211,5.500000
-5.872277,-47.890868,5.500000
-6.109075,-47.964497,5.500000
-6.344019,-48.037115,5.500000
-6.577115,-48.108739,5.500000
-6.808374,-48.179384,5.500000
-7.037802,-48.249065,5.500000
-7.265408,-48.317798,5.500000
-7.491199,-48.385597,5.500000
-7.715184,-48.452478,5.500000
-7.937369,-48.518454,5.500000
-8.157762,-48.583540,5.500000
-8.376370,-48.647748,5.500000
-8.593200,-48.711093,5.500000
-8.808259,-48.773587,5.500000
-9.021554,-48.835244,5.500000
-9.233091,-48.896074,5.500000
-9.442878,-48.956091,5.500000
-9.598752,-49.000456,5.500000
-9.598973,-49.000398,5.500000
-9.599200,-49.000338,5.500000
-9.599432,-49.000277,5.500000
-9.599670,-49.000214,5.500000
-9.599913,-49.000149,5.500000
-9.600162,-49.000083,5.500000
-9.600416,-49.000016,5.500000
-9.600676,-48.999946,5.500000
-9.600942,-48.999875,5.500000
-9.601215,-48.999802,5.500000
-9.601493,-48.999728,5.500000
-9.601778,-48.999652,5.500000
-9.602069,-48.999573,5.500000
-9.602367,-48.999493,5.500000
-9.602672,-48.999411,5.500000
-9.602984,-48.999327,5.500000
-9.603303,-48.999241,5.500000
-9.603630,-48.999152,5.500000
-9.603966,-48.999061,5.500000
-9.604309,-48.998968,5.500000
-9.604661,-48.998872,5.500000
-9.605022,-48.998773,5.500000
-9.605393,-48.998672,5.500000
-9.605773,-48.998568,5.500000
-9.606164,-48.998460,5.500000
-9.606565,-48.998350,5.500000
-9.606978,-48.998236,5.500000
-9.607402,-48.998119,5.500000
-9.607837,-48.997999,5.500000
-9.608286,-48.997875,5.500000
-9.608747,-48.997746,5.500000
-9.609221,-48.997614,5.500000
-9.609710,-48.997478,5.500000
-9.610212,-48.997338,5.500000
-9.610729,-48.997194,5.500000
-9.611261,-48.997044,5.500000
-9.611808,-48.996891,5.500000
-9.612371,-48.996732,5.500000
-9.612951,-48.996569,5.500000
-9.613547,-48.996400,5.500000
-9.614160,-48.996227,5.500000
-9.614791,-48.996048,5.500000
-9.615440,-48.995863,5.500000
-9.616107,-48.995673,5.500000
-9.616793,-48.995477,5.500000
-9.617499,-48.995275,5.500000
-9.618224,-48.995067,5.500000
-9.618969,-48.994853,5.500000
-9.619735,-48.994632,5.500000
-9.620521,-48.994405,5.500000
-9.621329,-48.994172,5.500000
-9.622158,-48.993931,5.500000
-9.623010,-48.993683,5.500000
-9.623884,-48.993429,5.500000
-9.624781,-48.993167,5.500000
-9.625701,-48.992897,5.500000
-9.626645,-48.992620,5.500000
-9.627613,-48.992336,5.500000
-9.628606,-48.992043,5.500000
-9.629623,-48.991742,5.500000
-9.630666,-48.991433,5.500000
-9.631735,-48.991116,5.500000
-9.632831,-48.990790,5.500000
-9.633953,-48.990455,5.500000
-9.635103,-48.990111,5.500000
-9.636281,-48.989758,5.500000
-9.637488,-48.989395,5.500000
-9.638724,-48.989023,5.500000
-9.639990,-48.988641,5.500000
-9.641286,-48.988249,5.500000
-9.642612,-48.987847,5.500000
-9.643971,-48.987434,5.500000
-9.645362,-48.987010,5.500000
-9.646786,-48.986576,5.500000
-9.648243,-48.986130,5.500000
-9.649734,-48.985673,5.500000
-9.651261,-48.985204,5.500000
-9.652823,-48.984723,5.500000
-9.654421,-48.984230,5.500000
-9.656056,-48.983725,5.500000
-9.657729,-48.983207,5.500000
-9.659440,-48.982676,5.500000
-9.661190,-48.982132,5.500000
-9.662979,-48.981574,5.500000
-9.664808,-48.981004,5.500000
