a,b,L
48.945093,-46.873087,5.500000
48.842066,-47.079573,5.500000
48.737817,-47.284207,5.500000
48.632332,-47.487021,5.500000
48.525598,-47.688043,5.500000
48.417604,-47.887303,5.500000
48.308341,-48.084827,5.500000
48.197797,-48.280643,5.500000
48.085963,-48.474776,5.500000
47.972831,-48.667250,5.500000
47.858394,-48.858090,5.500000
47.742645,-49.047318,5.500000
47.625578,-49.234957,5.500000
47.507188,-49.421027,5.500000
47.387470,-49.605549,5.500000
47.266421,-49.788543,5.500000
47.144038,-49.970029,5.500000
47.020319,-50.150024,5.500000
46.895264,-50.328547,5.500000
46.768871,-50.505613,5.500000
46.641142,-50.681241,5.500000
46.512077,-50.855445,5.500000
46.381679,-51.028241,5.500000
46.249951,-51.199643,5.500000
46.116897,-51.369667,5.500000
45.982521,-51.538326,5.500000
45.846829,-51.705634,5.500000
45.709828,-51.871602,5.500000
45.571524,-52.036245,5.500000
45.431925,-52.199574,5.500000
45.291038,-52.361600,5.500000
45.148872,-52.522334,5.500000
45.005437,-52.681789,5.500000
44.860741,-52.839973,5.500000
44.714796,-52.996897,5.500000
44.567611,-53.152571,5.500000
44.419199,-53.307005,5.500000
44.269569,-53.460208,5.500000
44.118736,-53.612190,5.500000
43.966712,-53.762960,5.500000
43.813509,-53.912526,5.500000
43.659142,-54.060898,5.500000
43.503624,-54.208085,5.500000
43.346971,-54.354095,5.500000
43.189199,-54.498937,5.500000
43.030322,-54.642619,5.500000
42.870357,-54.785151,5.500000
42.709323,-54.926540,5.500000
42.547235,-55.066795,5.500000
42.384112,-55.205925,5.500000
42.219973,-55.343937,5.500000
42.054836,-55.480839,5.500000
41.888720,-55.616640,5.500000
41.721644,-55.751347,5.500000
41.553628,-55.884970,5.500000
41.384692,-56.017514,5.500000
41.214856,-56.148989,5.500000
41.044140,-56.279401,5.500000
40.872564,-56.408759,5.500000
40.700151,-56.537070,5.500000
40.526919,-56.664342,5.500000
40.352892,-56.790582,5.500000
40.178089,-56.915797,5.500000
40.002532,-57.039995,5.500000
39.826243,-57.163184,5.500000
39.649243,-57.285369,5.500000
39.471553,-57.406559,5.500000
39.293197,-57.526761,5.500000
39.114195,-57.645981,5.500000
38.934569,-57.764226,5.500000
38.754341,-57.881503,5.500000
38.573534,-57.997818,5.500000
38.392169,-58.113179,5.500000
38.210267,-58.227591,5.500000
38.027851,-58.341063,5.500000
37.844940,-58.453599,5.500000
37.661557,-58.565206,5.500000
37.477720,-58.675892,5.500000
37.293451,-58.785662,5.500000
37.108769,-58.894524,5.500000
36.923694,-59.002483,5.500000
36.738245,-59.109546,5.500000
36.552441,-59.215720,5.500000
36.366301,-59.321010,5.500000
36.179843,-59.425423,5.500000
35.993086,-59.528966,5.500000
35.806047,-59.631645,5.500000
35.618744,-59.733465,5.500000
35.431195,-59.834434,5.500000
35.243417,-59.934557,5.500000
35.055427,-60.033841,5.500000
34.867242,-60.132291,5.500000
34.678878,-60.229913,5.500000
34.490352,-60.326714,5.500000
34.301681,-60.422700,5.500000
34.112880,-60.517875,5.500000
33.923965,-60.612247,5.500000
33.734953,-60.705820,5.500000
33.545859,-60.798600,5.500000
33.356700,-60.890592,5.500000
33.167490,-60.981802,5.500000
32.978245,-61.072236,5.500000
32.788981,-61.161898,5.500000
32.599714,-61.250793,5.500000
