"a","b","L"
-14,-15,5.5
-14,-25,5.5
-14,-35,5.5
-14,-45,5.5
-14,5,5.5
-14,-5,5.5
-14,-55,5.5
-14,-65,5.5
-14,-75,5.5
16,-105,5.5
16,-115,5.5
16,-125,5.5
16,-15,5.5
16,-25,5.5
16,-35,5.5
16,-45,5.5
16,5,5.5
16,-5,5.5
16,-55,5.5
16,-65,5.5
16,-75,5.5
16,-85,5.5
16,-95,5.5
-24,-15,5.5
-24,-25,5.5
26,-105,5.5
26,-115,5.5
26,-125,5.5
26,-135,5.5
26,-15,5.5
26,-25,5.5
26,-35,5.5
26,-45,5.5
26,-55,5.5
26,-65,5.5
26,-75,5.5
26,-85,5.5
26,-95,5.5
36,-105,5.5
36,-115,5.5
36,-125,5.5
36,-135,5.5
36,-85,5.5
36,-95,5.5
-4,-15,5.5
-4,-25,5.5
-4,-35,5.5
-4,-45,5.5
-4,5,5.5
-4,-5,5.5
-4,-55,5.5
-4,-65,5.5
-4,-75,5.5
-4,-85,5.5
-4,-95,5.5
6,-105,5.5
6,-115,5.5
6,-15,5.5
6,-25,5.5
6,-35,5.5
6,-45,5.5
6,5,5.5
6,-5,5.5
6,-55,5.5
6,-65,5.5
6,-75,5.5
6,-85,5.5
6,-95,5.5
14,-108,15.5
14,-118,15.5
14,12,15.5
14,-128,15.5
14,-18,15.5
14,2,15.5
14,22,15.5
14,-28,15.5
14,-38,15.5
14,-48,15.5
14,-58,15.5
14,-68,15.5
14,-78,15.5
14,-8,15.5
14,-88,15.5
14,-98,15.5
-16,-108,15.5
-16,-118,15.5
-16,12,15.5
-16,-128,15.5
-16,-18,15.5
-16,2,15.5
-16,22,15.5
-16,-28,15.5
-16,-38,15.5
-16,-48,15.5
-16,-58,15.5
-16,-68,15.5
-16,-78,15.5
-16,-8,15.5
-16,-88,15.5
-16,-98,15.5
24,-108,15.5
24,-118,15.5
24,12,15.5
24,-128,15.5
24,-18,15.5
24,2,15.5
24,22,15.5
24,-28,15.5
24,-38,15.5
24,-48,15.5
24,-58,15.5
24,-68,15.5
24,-78,15.5
24,-8,15.5
24,-88,15.5
24,-98,15.5
-26,-108,15.5
-26,-118,15.5
-26,12,15.5
-26,-18,15.5
-26,2,15.5
-26,22,15.5
-26,-28,15.5
-26,-38,15.5
-26,-48,15.5
-26,-58,15.5
-26,-68,15.5
-26,-78,15.5
-26,-8,15.5
-26,-88,15.5
-26,-98,15.5
34,-108,15.5
34,-118,15.5
34,12,15.5
34,-128,15.5
34,-18,15.5
34,2,15.5
34,22,15.5
34,-28,15.5
34,-38,15.5
34,-48,15.5
34,-58,15.5
34,-68,15.5
