a,b,L
67.898632,-66.433782,5.500000
68.278693,-66.945641,5.500000
68.658047,-67.454712,5.500000
69.036638,-67.960980,5.500000
69.414411,-68.464435,5.500000
69.791313,-68.965067,5.500000
70.167293,-69.462866,5.500000
70.542300,-69.957823,5.500000
70.916288,-70.449932,5.500000
71.289208,-70.939186,5.500000
71.661017,-71.425580,5.500000
72.031669,-71.909109,5.500000
72.401124,-72.389771,5.500000
72.769340,-72.867562,5.500000
73.136276,-73.342481,5.500000
73.501895,-73.814525,5.500000
73.866157,-74.283691,5.500000
74.229026,-74.749981,5.500000
74.590466,-75.213392,5.500000
74.950439,-75.673924,5.500000
75.308913,-76.131577,5.500000
75.665854,-76.586351,5.500000
76.021230,-77.038248,5.500000
76.375011,-77.487270,5.500000
76.727166,-77.933419,5.500000
77.077667,-78.376699,5.500000
77.426486,-78.817112,5.500000
77.773598,-79.254664,5.500000
78.118979,-79.689360,5.500000
78.462604,-80.121205,5.500000
78.804453,-80.550208,5.500000
79.144504,-80.976374,5.500000
79.482739,-81.399712,5.500000
79.819139,-81.820230,5.500000
80.153687,-82.237938,5.500000
80.486366,-82.652844,5.500000
80.817161,-83.064958,5.500000
81.146058,-83.474290,5.500000
81.473044,-83.880850,5.500000
81.798106,-84.284651,5.500000
82.121232,-84.685702,5.500000
82.442413,-85.084016,5.500000
82.761639,-85.479604,5.500000
83.078900,-85.872479,5.500000
83.394189,-86.262653,5.500000
83.707499,-86.650140,5.500000
84.018823,-87.034952,5.500000
84.328155,-87.417102,5.500000
84.635489,-87.796604,5.500000
84.940822,-88.173470,5.500000
85.244148,-88.547714,5.500000
85.545465,-88.919350,5.500000
85.844768,-89.288390,5.500000
86.142054,-89.654849,5.500000
86.437321,-90.018738,5.500000
86.730567,-90.380072,5.500000
87.021789,-90.738864,5.500000
87.310985,-91.095127,5.500000
87.598154,-91.448873,5.500000
87.883293,-91.800116,5.500000
88.166404,-92.148871,5.500000
88.447484,-92.495148,5.500000
88.726534,-92.838963,5.500000
89.003554,-93.180328,5.500000
89.278545,-93.519257,5.500000
89.551506,-93.855763,5.500000
89.822440,-94.189861,5.500000
90.091348,-94.521562,5.500000
90.358231,-94.850882,5.500000
90.623091,-95.177832,5.500000
90.885931,-95.502427,5.500000
91.146752,-95.824680,5.500000
91.405558,-96.144605,5.500000
91.662351,-96.462214,5.500000
91.917135,-96.777520,5.500000
92.169914,-97.090539,5.500000
92.420690,-97.401282,5.500000
92.669469,-97.709763,5.500000
92.916253,-98.015995,5.500000
93.161048,-98.319992,5.500000
93.403859,-98.621767,5.500000
93.644690,-98.921334,5.500000
93.883546,-99.218704,5.500000
94.120432,-99.513891,5.500000
94.355353,-99.806908,5.500000
94.588316,-100.097768,5.500000
94.819325,-100.386482,5.500000
95.048387,-100.673064,5.500000
95.275507,-100.957526,5.500000
95.500691,-101.239880,5.500000
95.723946,-101.520139,5.500000
95.945278,-101.798315,5.500000
96.164694,-102.074420,5.500000
96.382202,-102.348466,5.500000
96.597807,-102.620465,5.500000
96.811518,-102.890430,5.500000
97.023343,-103.158373,5.500000
97.233288,-103.424305,5.500000
97.441362,-103.688239,5.500000
97.647573,-103.950186,5.500000
97.851930,-104.210160,5.500000
98.054441,-104.468173,5.500000
98.255114,-104.724235,5.500000
98.453960,-104.978360,5.500000
98.650987,-105.230559,5.500000
98.846204,-105.480845,5.500000
99.039621,-105.729230,5.500000
99.231247,-105.975725,5.500000
99.421092,-106.220343,5.500000
99.609165,-106.463095,5.500000
99.795478,-106.703993,5.500000
99.980038,-106.943050,5.500000
100.162858,-107.180276,5.500000
100.343946,-107.415684,5.500000
100.523314,-107.649285,5.500000
100.700972,-107.881092,5.500000
100.876930,-108.111116,5.500000
101.051200,-108.339368,5.500000
101.223791,-108.565861,5.500000
101.394716,-108.790606,5.500000
101.563985,-109.013615,5.500000
101.731609,-109.234899,5.500000
101.897599,-109.454470,5.500000
102.061966,-109.672340,5.500000
102.224722,-109.888519,5.500000
102.385880,-110.103022,5.500000
102.545449,-110.315858,5.500000
102.703442,-110.527038,5.500000
102.859870,-110.736575,5.500000
103.014746,-110.944481,5.500000
103.168080,-111.150765,5.500000
103.319884,-111.355440,5.500000
103.470170,-111.558517,5.500000
103.618950,-111.760007,5.500000
103.766235,-111.959920,5.500000
103.912035,-112.158267,5.500000
104.056363,-112.355057,5.500000
104.199229,-112.550303,5.500000
104.340644,-112.744012,5.500000
104.480619,-112.936196,5.500000
104.619165,-113.126863,5.500000
104.756291,-113.316023,5.500000
104.892009,-113.503685,5.500000
105.026328,-113.689858,5.500000
105.159260,-113.874552,5.500000
105.290813,-114.057773,5.500000
105.420998,-114.239532,5.500000
105.549824,-114.419835,5.500000
105.677302,-114.598692,5.500000
105.803440,-114.776110,5.500000
105.928249,-114.952097,5.500000
106.051737,-115.126660,5.500000
106.173914,-115.299807,5.500000
106.294789,-115.471546,5.500000
106.414371,-115.641882,5.500000
106.532668,-115.810823,5.500000
106.649690,-115.978375,5.500000
106.765445,-116.144546,5.500000
106.879942,-116.309341,5.500000
106.993189,-116.472766,5.500000
107.105195,-116.634828,5.500000
107.215967,-116.795531,5.500000
107.325514,-116.954882,5.500000
107.433843,-117.112886,5.500000
107.540963,-117.269547,5.500000
107.646880,-117.424871,5.500000
107.751603,-117.578862,5.500000
107.855139,-117.731524,5.500000
107.957495,-117.882863,5.500000
108.058678,-118.032881,5.500000
108.158694,-118.181582,5.500000
108.257552,-118.328970,5.500000
108.355258,-118.475050,5.500000
108.451820,-118.619824,5.500000
108.547243,-118.763296,5.500000
108.641536,-118.905471,5.500000
108.734705,-119.046352,5.500000
108.826759,-119.185943,5.500000
108.917703,-119.324249,5.500000
109.007545,-119.461272,5.500000
109.096294,-119.597018,5.500000
109.183955,-119.731491,5.500000
109.270538,-119.864695,5.500000
109.356048,-119.996633,5.500000
109.440495,-120.127312,5.500000
109.523885,-120.256735,5.500000
109.606226,-120.384908,5.500000
109.687527,-120.511834,5.500000
109.767795,-120.637519,5.500000
109.847038,-120.761969,5.500000
109.925265,-120.885187,5.500000
110.002484,-121.007180,5.500000
110.078703,-121.127954,5.500000
110.153930,-121.247513,5.500000
110.228175,-121.365864,5.500000
110.301446,-121.483012,5.500000
110.373751,-121.598965,5.500000
110.445099,-121.713728,5.500000
110.515501,-121.827309,5.500000
110.584963,-121.939713,5.500000
110.653498,-122.050949,5.500000
110.721112,-122.161024,5.500000
110.787817,-122.269945,5.500000
110.853621,-122.377720,5.500000
110.918534,-122.484357,5.500000
110.982566,-122.589864,5.500000
111.045727,-122.694248,5.500000
111.108025,-122.797519,5.500000
111.169471,-122.899683,5.500000
111.230074,-123.000750,5.500000
111.289844,-123.100727,5.500000
111.348791,-123.199624,5.500000
111.406923,-123.297446,5.500000
111.464250,-123.394203,5.500000
111.520782,-123.489902,5.500000
111.576526,-123.584551,5.500000
111.631492,-123.678158,5.500000
