a,b,L
120.570572,-82.003943,5.500000
120.965283,-82.307753,5.500000
121.356992,-82.609205,5.500000
121.745696,-82.908302,5.500000
122.131390,-83.205049,5.500000
122.514074,-83.499450,5.500000
122.893744,-83.791509,5.500000
123.270400,-84.081231,5.500000
123.644042,-84.368620,5.500000
124.014669,-84.653682,5.500000
124.382282,-84.936422,5.500000
124.746883,-85.216845,5.500000
125.108473,-85.494957,5.500000
125.467056,-85.770766,5.500000
125.822634,-86.044276,5.500000
126.175212,-86.315494,5.500000
126.524794,-86.584428,5.500000
126.871385,-86.851084,5.500000
127.214989,-87.115469,5.500000
127.555614,-87.377592,5.500000
127.893266,-87.637459,5.500000
128.227951,-87.895079,5.500000
128.559677,-88.150460,5.500000
128.888453,-88.403610,5.500000
129.214286,-88.654537,5.500000
129.537186,-88.903251,5.500000
129.857162,-89.149761,5.500000
130.174223,-89.394075,5.500000
130.488380,-89.636204,5.500000
130.799644,-89.876156,5.500000
131.108024,-90.113940,5.500000
131.413538,-90.349571,5.500000
131.716190,-90.583054,5.500000
132.015996,-90.814401,5.500000
132.312969,-91.043623,5.500000
132.607120,-91.270730,5.500000
132.898465,-91.495733,5.500000
133.187016,-91.718644,5.500000
133.472788,-91.939475,5.500000
133.755796,-92.158235,5.500000
134.036054,-92.374938,5.500000
134.313577,-92.589595,5.500000
134.588381,-92.802217,5.500000
134.860482,-93.012818,5.500000
135.129896,-93.221409,5.500000
135.396640,-93.428003,5.500000
135.660729,-93.632613,5.500000
135.922181,-93.835251,5.500000
136.181014,-94.035931,5.500000
136.437245,-94.234665,5.500000
136.690891,-94.431468,5.500000
136.941970,-94.626351,5.500000
137.190501,-94.819329,5.500000
137.436502,-95.010415,5.500000
137.679991,-95.199624,5.500000
137.920986,-95.386967,5.500000
138.159506,-95.572458,5.500000
138.395569,-95.756113,5.500000
138.629193,-95.937942,5.500000
138.860396,-96.117961,5.500000
139.089198,-96.296182,5.500000
139.315615,-96.472619,5.500000
139.539666,-96.647284,5.500000
139.761370,-96.820192,5.500000
139.980745,-96.991356,5.500000
140.197809,-97.160789,5.500000
140.412580,-97.328505,5.500000
140.625078,-97.494515,5.500000
140.835318,-97.658835,5.500000
141.043322,-97.821476,5.500000
141.249105,-97.982452,5.500000
141.452687,-98.141776,5.500000
141.654085,-98.299462,5.500000
141.853318,-98.455521,5.500000
142.050402,-98.609967,5.500000
142.245357,-98.762812,5.500000
142.438200,-98.914070,5.500000
142.628948,-99.063753,5.500000
142.817619,-99.211874,5.500000
143.004230,-99.358444,5.500000
143.188798,-99.503476,5.500000
143.371340,-99.646982,5.500000
143.551873,-99.788974,5.500000
143.730414,-99.929464,5.500000
143.906979,-100.068465,5.500000
144.081587,-100.205988,5.500000
144.254252,-100.342045,5.500000
144.424995,-100.476649,5.500000
144.593829,-100.609811,5.500000
144.760774,-100.741545,5.500000
144.925845,-100.871862,5.500000
145.089061,-101.000775,5.500000
145.250438,-101.128295,5.500000
145.409992,-101.254434,5.500000
145.567741,-101.379205,5.500000
145.723701,-101.502619,5.500000
145.877888,-101.624688,5.500000
146.030319,-101.745424,5.500000
146.181008,-101.864837,5.500000
146.329973,-101.982939,5.500000
146.477226,-102.099739,5.500000
146.622783,-102.215249,5.500000
146.766657,-102.329477,5.500000
146.908864,-102.442434,5.500000
147.049414,-102.554129,5.500000
147.188323,-102.664570,5.500000
147.325601,-102.773767,5.500000
147.461262,-102.881728,5.500000
147.595317,-102.988461,5.500000
147.727778,-103.093974,5.500000
147.858655,-103.198275,5.500000
147.987960,-103.301370,5.500000
148.115702,-103.403267,5.500000
148.241891,-103.503971,5.500000
148.366536,-103.603490,5.500000
148.489647,-103.701828,5.500000
148.611231,-103.798992,5.500000
148.731297,-103.894986,5.500000
148.849851,-103.989815,5.500000
148.966901,-104.083483,5.500000
149.082453,-104.175995,5.500000
149.196514,-104.267353,5.500000
149.309089,-104.357562,5.500000
149.420184,-104.446625,5.500000
149.529808,-104.534547,5.500000
149.637966,-104.621332,5.500000
149.744665,-104.706984,5.500000
149.849915,-104.791510,5.500000
149.953723,-104.874914,5.500000
150.056098,-104.957202,5.500000
150.157048,-105.038379,5.500000
150.256583,-105.118453,5.500000
150.354712,-105.197430,5.500000
150.451447,-105.275317,5.500000
150.546796,-105.352121,5.500000
150.640771,-105.427849,5.500000
150.733383,-105.502510,5.500000
150.824644,-105.576112,5.500000
150.914565,-105.648663,5.500000
151.003160,-105.720172,5.500000
151.090439,-105.790648,5.500000
151.176417,-105.860101,5.500000
151.261108,-105.928540,5.500000
151.344526,-105.995977,5.500000
151.426684,-106.062421,5.500000
151.507598,-106.127885,5.500000
151.587283,-106.192378,5.500000
151.665755,-106.255914,5.500000
151.743029,-106.318502,5.500000
151.819121,-106.380156,5.500000
151.894046,-106.440887,5.500000
151.967821,-106.500706,5.500000
152.040462,-106.559627,5.500000
152.111984,-106.617661,5.500000
152.182403,-106.674819,5.500000
152.251733,-106.731113,5.500000
152.319991,-106.786555,5.500000
152.387190,-106.841155,5.500000
152.453345,-106.894925,5.500000
152.518472,-106.947876,5.500000
152.582585,-107.000019,5.500000
152.645699,-107.051367,5.500000
152.707830,-107.101930,5.500000
152.768992,-107.151721,5.500000
152.829201,-107.200750,5.500000
152.888470,-107.249029,5.500000
152.946816,-107.296570,5.500000
153.004254,-107.343385,5.500000
153.060797,-107.389483,5.500000
153.116461,-107.434878,5.500000
153.171260,-107.479581,5.500000
153.225209,-107.523602,5.500000
153.278322,-107.566953,5.500000
153.330614,-107.609646,5.500000
153.382100,-107.651692,5.500000
153.432793,-107.693101,5.500000
153.482708,-107.733886,5.500000
153.531860,-107.774057,5.500000
153.580263,-107.813627,5.500000
153.627930,-107.852605,5.500000
153.674876,-107.891003,5.500000
153.721115,-107.928832,5.500000
153.766661,-107.966103,5.500000
153.811527,-108.002827,5.500000
153.855726,-108.039013,5.500000
153.899272,-108.074674,5.500000
153.942178,-108.109817,5.500000
153.984455,-108.144455,5.500000
154.026117,-108.178596,5.500000
154.067176,-108.212251,5.500000
154.107644,-108.245428,5.500000
154.147532,-108.278137,5.500000
154.186852,-108.310387,5.500000
154.225615,-108.342188,5.500000
154.263832,-108.373548,5.500000
154.301515,-108.404475,5.500000
154.338674,-108.434979,5.500000
154.375319,-108.465067,5.500000
154.411461,-108.494748,5.500000
154.447110,-108.524030,5.500000
154.482274,-108.552920,5.500000
154.516965,-108.581426,5.500000
154.551191,-108.609557,5.500000
154.584963,-108.637318,5.500000
154.618288,-108.664718,5.500000
154.651176,-108.691764,5.500000
154.683637,-108.718462,5.500000
154.715678,-108.744821,5.500000
154.747309,-108.770847,5.500000
154.778537,-108.796547,5.500000
154.809372,-108.821927,5.500000
154.839822,-108.846994,5.500000
154.869894,-108.871755,5.500000
154.899596,-108.896216,5.500000
154.928936,-108.920382,5.500000
154.957921,-108.944260,5.500000
154.986557,-108.967854,5.500000
155.014852,-108.991171,5.500000
155.042812,-109.014216,5.500000
155.070443,-109.036993,5.500000
155.097751,-109.059508,5.500000
155.124741,-109.081765,5.500000
155.151421,-109.103768,5.500000
155.177795,-109.125522,5.500000
155.203867,-109.147032,5.500000
155.229644,-109.168300,5.500000
155.255129,-109.189331,5.500000
155.280327,-109.210129,5.500000
155.305243,-109.230695,5.500000
155.329879,-109.251035,5.500000
155.354241,-109.271150,5.500000
155.377344,-109.290348,5.500000
155.364568,-109.284230,5.500000
155.346094,-109.274155,5.500000
155.327190,-109.263844,5.500000
155.307858,-109.253299,5.500000
155.288099,-109.242519,5.500000
155.267911,-109.231505,5.500000
155.247294,-109.220255,5.500000
155.226242,-109.208767,5.500000
155.204753,-109.197039,5.500000
155.182820,-109.185066,5.500000
155.160436,-109.172847,5.500000
155.137591,-109.160374,5.500000
155.114275,-109.147642,5.500000
155.090476,-109.134646,5.500000
155.066182,-109.121377,5.500000
155.041378,-109.107828,5.500000
155.016048,-109.093990,5.500000
154.990174,-109.079853,5.500000
154.963738,-109.065407,5.500000
154.936719,-109.050640,5.500000
154.909095,-109.035540,5.500000
154.880843,-109.020095,5.500000
154.851937,-109.004291,5.500000
154.822353,-108.988113,5.500000
154.792063,-108.971547,5.500000
154.761038,-108.954577,5.500000
154.729251,-108.937188,5.500000
154.696673,-108.919363,5.500000
154.663272,-108.901085,5.500000
154.629024,-108.882342,5.500000
154.593901,-108.863116,5.500000
154.557874,-108.843394,5.500000
154.520919,-108.823160,5.500000
154.483008,-108.802401,5.500000
154.444115,-108.781101,5.500000
154.404215,-108.759246,5.500000
154.363281,-108.736822,5.500000
154.321287,-108.713815,5.500000
154.278209,-108.690210,5.500000
154.234021,-108.665993,5.500000
154.188698,-108.641151,5.500000
154.142216,-108.615670,5.500000
154.094550,-108.589537,5.500000
154.045675,-108.562737,5.500000
153.995567,-108.535257,5.500000
153.944203,-108.507085,5.500000
153.891557,-108.478205,5.500000
153.837606,-108.448605,5.500000
153.782326,-108.418271,5.500000
153.725693,-108.387191,5.500000
153.667685,-108.355351,5.500000
153.608280,-108.322740,5.500000
153.547454,-108.289344,5.500000
153.485184,-108.255150,5.500000
153.421448,-108.220146,5.500000
153.356220,-108.184318,5.500000
153.289477,-108.147651,5.500000
153.221191,-108.110132,5.500000
153.151338,-108.071747,5.500000
153.079889,-108.032478,5.500000
153.006816,-107.992312,5.500000
152.932090,-107.951232,5.500000
152.855681,-107.909220,5.500000
152.777558,-107.866260,5.500000
152.697689,-107.822334,5.500000
152.616043,-107.777425,5.500000
152.532586,-107.731513,5.500000
152.447285,-107.684582,5.500000
152.360106,-107.636611,5.500000
152.271014,-107.587581,5.500000
152.179972,-107.537472,5.500000
152.086945,-107.486264,5.500000
151.991892,-107.433936,5.500000
151.894777,-107.380465,5.500000
151.795562,-107.325833,5.500000
151.694209,-107.270018,5.500000
151.590683,-107.212999,5.500000
151.484949,-107.154759,5.500000
151.376973,-107.095278,5.500000
151.266721,-107.034539,5.500000
151.154165,-106.972524,5.500000
151.039275,-106.909219,5.500000
150.922025,-106.844608,5.500000
150.802390,-106.778677,5.500000
150.680346,-106.711414,5.500000
150.555870,-106.642806,5.500000
150.428938,-106.572840,5.500000
150.299529,-106.501504,5.500000
150.167619,-106.428785,5.500000
150.033188,-106.354672,5.500000
149.896214,-106.279153,5.500000
149.756678,-106.202216,5.500000
149.614559,-106.123852,5.500000
149.469841,-106.044051,5.500000
149.322504,-105.962801,5.500000
149.172534,-105.880095,5.500000
149.019915,-105.795924,5.500000
148.864632,-105.710281,5.500000
148.706674,-105.623157,5.500000
148.546028,-105.534548,5.500000
148.382683,-105.444446,5.500000
148.216630,-105.352846,5.500000
148.047856,-105.259741,5.500000
147.876350,-105.165126,5.500000
147.702099,-105.068993,5.500000
147.525093,-104.971336,5.500000
147.345323,-104.872149,5.500000
147.162780,-104.771430,5.500000
146.977461,-104.669176,5.500000
146.789365,-104.565385,5.500000
146.598492,-104.460059,5.500000
146.404846,-104.353201,5.500000
146.208436,-104.244814,5.500000
146.009270,-104.134905,5.500000
145.807366,-104.023482,5.500000
145.602739,-103.910556,5.500000
145.395412,-103.796138,5.500000
145.185408,-103.680242,5.500000
144.972752,-103.562883,5.500000
144.757474,-103.444077,5.500000
144.539605,-103.323842,5.500000
144.319176,-103.202196,5.500000
144.096223,-103.079158,5.500000
143.870783,-102.954751,5.500000
143.642895,-102.828996,5.500000
143.412599,-102.701917,5.500000
143.179941,-102.573538,5.500000
142.944965,-102.443885,5.500000
142.707719,-102.312985,5.500000
142.468250,-102.180865,5.500000
142.226607,-102.047553,5.500000
141.982836,-101.913074,5.500000
141.736987,-101.777457,5.500000
141.489108,-101.640729,5.500000
141.239247,-101.502917,5.500000
140.987448,-101.364047,5.500000
140.733756,-101.224144,5.500000
140.478212,-101.083230,5.500000
140.220853,-100.941329,5.500000
139.961717,-100.798461,5.500000
139.700839,-100.654644,5.500000
139.438251,-100.509900,5.500000
139.173985,-100.364245,5.500000
138.908075,-100.217699,5.500000
138.640550,-100.070278,5.500000
138.371441,-99.922000,5.500000
138.100777,-99.772882,5.500000
137.828585,-99.622939,5.500000
137.554894,-99.472187,5.500000
137.279727,-99.320641,5.500000
137.003110,-99.168314,5.500000
136.725067,-99.015220,5.500000
136.445619,-98.861371,5.500000
136.164789,-98.706781,5.500000
135.882595,-98.551460,5.500000
135.599058,-98.395420,5.500000
135.314195,-98.238671,5.500000
135.028023,-98.081221,5.500000
134.740559,-97.923082,5.500000
134.451818,-97.764262,5.500000
134.161814,-97.604769,5.500000
133.870562,-97.444612,5.500000
133.578075,-97.283798,5.500000
133.284365,-97.122334,5.500000
132.989445,-96.960227,5.500000
132.693326,-96.797484,5.500000
132.396021,-96.634112,5.500000
132.097541,-96.470118,5.500000
131.797900,-96.305509,5.500000
131.497109,-96.140293,5.500000
131.195181,-95.974476,5.500000
130.892129,-95.808066,5.500000
130.587966,-95.641071,5.500000
130.282705,-95.473498,5.500000
129.976358,-95.305354,5.500000
129.668939,-95.136649,5.500000
129.360460,-94.967388,5.500000
129.050934,-94.797581,5.500000
128.740375,-94.627234,5.500000
128.428795,-94.456357,5.500000
128.116208,-94.284956,5.500000
127.802629,-94.113041,5.500000
127.488069,-93.940620,5.500000
127.172545,-93.767702,5.500000
126.856069,-93.594295,5.500000
126.538657,-93.420408,5.500000
126.220322,-93.246051,5.500000
125.901080,-93.071232,5.500000
125.580944,-92.895959,5.500000
125.259930,-92.720243,5.500000
124.938050,-92.544092,5.500000
124.615321,-92.367517,5.500000
124.291757,-92.190525,5.500000
123.967376,-92.013128,5.500000
123.642193,-91.835335,5.500000
123.316226,-91.657159,5.500000
122.989493,-91.478610,5.500000
122.662012,-91.299700,5.500000
122.333803,-91.120440,5.500000
122.004885,-90.940843,5.500000
121.675276,-90.760919,5.500000
121.344994,-90.580682,5.500000
121.014062,-90.400142,5.500000
120.682493,-90.219310,5.500000
120.350312,-90.038199,5.500000
120.017533,-89.856820,5.500000
119.684176,-89.675184,5.500000
119.350258,-89.493301,5.500000
119.015796,-89.311180,5.500000
118.680806,-89.128834,5.500000
118.345303,-88.946270,5.500000
118.009305,-88.763498,5.500000
117.672824,-88.580526,5.500000
117.335874,-88.397364,5.500000
116.998471,-88.214019,5.500000
116.660627,-88.030500,5.500000
116.322356,-87.846814,5.500000
115.983671,-87.662970,5.500000
115.644583,-87.478973,5.500000
115.305106,-87.294832,5.500000
114.965251,-87.110554,5.500000
114.625029,-86.926144,5.500000
114.284451,-86.741609,5.500000
113.943527,-86.556955,5.500000
113.602269,-86.372188,5.500000
113.260684,-86.187313,5.500000
112.918782,-86.002335,5.500000
112.576573,-85.817260,5.500000
112.234065,-85.632092,5.500000
111.891267,-85.446836,5.500000
111.548188,-85.261497,5.500000
111.204836,-85.076078,5.500000
110.861218,-84.890585,5.500000
110.517344,-84.705022,5.500000
110.173220,-84.519393,5.500000
109.828856,-84.333703,5.500000
109.484260,-84.147956,5.500000
109.139441,-83.962157,5.500000
108.794406,-83.776310,5.500000
108.449167,-83.590421,5.500000
108.103731,-83.404495,5.500000
107.758108,-83.218536,5.500000
107.412308,-83.032550,5.500000
107.066339,-82.846542,5.500000
106.720211,-82.660517,5.500000
106.373933,-82.474480,5.500000
106.027516,-82.288435,5.500000
105.680966,-82.102389,5.500000
105.334296,-81.916346,5.500000
104.987513,-81.730311,5.500000
104.640625,-81.544288,5.500000
104.293644,-81.358283,5.500000
103.946578,-81.172301,5.500000
103.599436,-80.986347,5.500000
103.252226,-80.800425,5.500000
102.904958,-80.614541,5.500000
102.557642,-80.428698,5.500000
102.210285,-80.242902,5.500000
101.862896,-80.057158,5.500000
101.515484,-79.871469,5.500000
101.168058,-79.685841,5.500000
100.820625,-79.500277,5.500000
100.473194,-79.314782,5.500000
100.125773,-79.129361,5.500000
