"a","b","L"
101,-81,5.5
101,-86,5.5
101,-91,5.5
106,-86,5.5
106,-91,5.5
1,-1,5.5
1,-11,5.5
11,-1,5.5
11,-11,5.5
11,-16,5.5
111,-91,5.5
111,-96,5.5
11,-21,5.5
11,-26,5.5
11,-31,5.5
11,-36,5.5
11,4,5.5
1,-16,5.5
11,-6,5.5
116,-101,5.5
116,-96,5.5
1,-21,5.5
121,-101,5.5
1,-26,5.5
126,-106,5.5
1,-31,5.5
1,4,5.5
-14,-1,5.5
-14,-11,5.5
141,-116,5.5
-14,-16,5.5
-14,4,5.5
-14,-6,5.5
1,-6,5.5
16,-1,5.5
16,-11,5.5
16,-16,5.5
16,-21,5.5
16,-26,5.5
16,-31,5.5
16,-36,5.5
16,4,5.5
16,-41,5.5
16,-6,5.5
-19,-1,5.5
-19,-11,5.5
-19,4,5.5
-19,-6,5.5
21,-1,5.5
21,-11,5.5
21,-16,5.5
21,-21,5.5
21,-26,5.5
21,-31,5.5
21,-36,5.5
21,4,5.5
21,-41,5.5
21,-6,5.5
-24,4,5.5
26,-1,5.5
26,-11,5.5
26,-16,5.5
26,-21,5.5
26,-26,5.5
26,-31,5.5
26,-36,5.5
26,4,5.5
26,-41,5.5
26,-46,5.5
26,-6,5.5
31,-1,5.5
31,-11,5.5
31,-16,5.5
31,-21,5.5
31,-26,5.5
31,-31,5.5
31,-36,5.5
31,4,5.5
31,-41,5.5
31,-46,5.5
31,-51,5.5
31,-6,5.5
36,-1,5.5
36,-11,5.5
36,-16,5.5
36,-21,5.5
36,-26,5.5
36,-31,5.5
36,-36,5.5
36,4,5.5
36,-41,5.5
36,-46,5.5
36,-51,5.5
36,-6,5.5
-4,-1,5.5
-4,-11,5.5
41,-11,5.5
41,-16,5.5
41,-21,5.5
41,-26,5.5
41,-31,5.5
41,-36,5.5
41,-41,5.5
41,-46,5.5
41,-51,5.5
41,-56,5.5
-4,-16,5.5
41,-6,5.5
-4,-21,5.5
-4,-26,5.5
-4,4,5.5
-4,-6,5.5
46,-16,5.5
46,-21,5.5
46,-26,5.5
46,-31,5.5
46,-36,5.5
46,-41,5.5
46,-46,5.5
46,-51,5.5
46,-56,5.5
51,-26,5.5
51,-31,5.5
51,-36,5.5
51,-41,5.5
51,-46,5.5
51,-51,5.5
51,-56,5.5
51,-61,5.5
56,-36,5.5
56,-41,5.5
56,-46,5.5
