a,b,L
89.109379,-67.269034,5.500000
89.671971,-67.775467,5.500000
90.232894,-68.279076,5.500000
90.792084,-68.779850,5.500000
91.349479,-69.277780,5.500000
91.905022,-69.772858,5.500000
92.458654,-70.265074,5.500000
93.010320,-70.754424,5.500000
93.559969,-71.240902,5.500000
94.107549,-71.724503,5.500000
94.653012,-72.205223,5.500000
95.196312,-72.683061,5.500000
95.737403,-73.158012,5.500000
96.276242,-73.630076,5.500000
96.812787,-74.099252,5.500000
97.346996,-74.565536,5.500000
97.878829,-75.028930,5.500000
98.408248,-75.489431,5.500000
98.935215,-75.947041,5.500000
99.459696,-76.401760,5.500000
99.981654,-76.853589,5.500000
100.501059,-77.302529,5.500000
101.017878,-77.748584,5.500000
101.532082,-78.191756,5.500000
102.043645,-78.632048,5.500000
102.552537,-79.069466,5.500000
103.058736,-79.504013,5.500000
103.562219,-79.935697,5.500000
104.062964,-80.364524,5.500000
104.560953,-80.790500,5.500000
105.056166,-81.213634,5.500000
105.548589,-81.633934,5.500000
106.038204,-82.051409,5.500000
106.524999,-82.466068,5.500000
107.008960,-82.877921,5.500000
107.490077,-83.286977,5.500000
107.968337,-83.693247,5.500000
108.443732,-84.096743,5.500000
108.916255,-84.497474,5.500000
109.385896,-84.895453,5.500000
109.852652,-85.290692,5.500000
110.316516,-85.683203,5.500000
110.777485,-86.072999,5.500000
111.235555,-86.460092,5.500000
111.690725,-86.844496,5.500000
112.142991,-87.226222,5.500000
112.592355,-87.605286,5.500000
113.038814,-87.981700,5.500000
113.482370,-88.355477,5.500000
113.923023,-88.726631,5.500000
114.360774,-89.095175,5.500000
114.795625,-89.461122,5.500000
115.227578,-89.824487,5.500000
115.656636,-90.185282,5.500000
116.082800,-90.543520,5.500000
116.506074,-90.899216,5.500000
116.926461,-91.252382,5.500000
117.343965,-91.603032,5.500000
117.758590,-91.951178,5.500000
118.170339,-92.296834,5.500000
118.579218,-92.640014,5.500000
118.985232,-92.980731,5.500000
119.388387,-93.319000,5.500000
119.788687,-93.654832,5.500000
120.186140,-93.988241,5.500000
120.580752,-94.319243,5.500000
120.972529,-94.647849,5.500000
121.361479,-94.974073,5.500000
121.747609,-95.297930,5.500000
122.130926,-95.619432,5.500000
122.511438,-95.938593,5.500000
122.889153,-96.255425,5.500000
123.264079,-96.569944,5.500000
123.636226,-96.882162,5.500000
124.005601,-97.192092,5.500000
124.372213,-97.499748,5.500000
124.736073,-97.805144,5.500000
125.097188,-98.108292,5.500000
125.455570,-98.409206,5.500000
125.811227,-98.707900,5.500000
126.164170,-99.004387,5.500000
126.514409,-99.298678,5.500000
126.861954,-99.590789,5.500000
127.206815,-99.880731,5.500000
127.549002,-100.168517,5.500000
127.888525,-100.454159,5.500000
128.225397,-100.737671,5.500000
128.559625,-101.019065,5.500000
128.891223,-101.298352,5.500000
129.220200,-101.575547,5.500000
129.546568,-101.850660,5.500000
129.870338,-102.123704,5.500000
