a,b,L
98.912247,-76.363124,5.500000
99.331994,-76.747620,5.500000
99.749705,-77.129917,5.500000
100.165350,-77.510006,5.500000
100.578897,-77.887877,5.500000
100.990318,-78.263519,5.500000
101.399583,-78.636922,5.500000
101.806663,-79.008076,5.500000
102.211531,-79.376973,5.500000
102.614160,-79.743604,5.500000
103.014525,-80.107958,5.500000
103.412599,-80.470030,5.500000
103.808362,-80.829810,5.500000
104.201787,-81.187292,5.500000
104.592855,-81.542470,5.500000
104.981545,-81.895336,5.500000
105.367836,-82.245885,5.500000
105.751710,-82.594112,5.500000
106.133148,-82.940012,5.500000
106.512133,-83.283580,5.500000
106.888648,-83.624811,5.500000
107.262679,-83.963703,5.500000
107.634210,-84.300252,5.500000
108.003228,-84.634456,5.500000
108.369719,-84.966312,5.500000
108.733673,-85.295817,5.500000
109.095077,-85.622972,5.500000
109.453922,-85.947774,5.500000
109.810198,-86.270224,5.500000
110.163897,-86.590321,5.500000
110.515011,-86.908065,5.500000
110.863533,-87.223459,5.500000
111.209457,-87.536502,5.500000
111.552778,-87.847196,5.500000
111.893491,-88.155544,5.500000
112.231592,-88.461547,5.500000
112.567077,-88.765209,5.500000
112.899944,-89.066531,5.500000
113.230191,-89.365519,5.500000
113.557816,-89.662174,5.500000
113.882820,-89.956503,5.500000
114.205202,-90.248508,5.500000
114.524962,-90.538194,5.500000
114.842101,-90.825568,5.500000
115.156622,-91.110634,5.500000
115.468527,-91.393398,5.500000
115.777818,-91.673866,5.500000
116.084500,-91.952046,5.500000
116.388575,-92.227944,5.500000
116.690048,-92.501566,5.500000
116.988925,-92.772922,5.500000
117.285211,-93.042017,5.500000
117.578912,-93.308862,5.500000
117.870034,-93.573463,5.500000
118.158585,-93.835829,5.500000
118.444572,-94.095970,5.500000
118.728002,-94.353895,5.500000
119.008885,-94.609612,5.500000
119.287228,-94.863133,5.500000
119.563041,-95.114466,5.500000
119.836334,-95.363621,5.500000
120.107117,-95.610610,5.500000
120.375399,-95.855442,5.500000
120.641192,-96.098129,5.500000
120.904505,-96.338680,5.500000
121.165351,-96.577107,5.500000
121.423741,-96.813421,5.500000
121.679687,-97.047633,5.500000
121.933199,-97.279755,5.500000
122.184292,-97.509797,5.500000
122.432975,-97.737771,5.500000
122.679263,-97.963689,5.500000
122.923168,-98.187562,5.500000
123.164703,-98.409402,5.500000
123.403880,-98.629220,5.500000
123.640714,-98.847028,5.500000
123.875217,-99.062839,5.500000
124.107402,-99.276663,5.500000
124.337285,-99.488512,5.500000
124.564877,-99.698399,5.500000
124.790194,-99.906336,5.500000
125.013250,-100.112335,5.500000
125.234058,-100.316407,5.500000
125.452632,-100.518565,5.500000
125.668988,-100.718821,5.500000
125.883139,-100.917186,5.500000
126.095100,-101.113673,5.500000
126.304886,-101.308295,5.500000
126.512511,-101.501062,5.500000
126.717989,-101.691987,5.500000
126.921336,-101.881082,5.500000
127.122567,-102.068359,5.500000
127.321695,-102.253830,5.500000
127.518736,-102.437507,5.500000
127.713703,-102.619401,5.500000
127.906613,-102.799524,5.500000
128.097479,-102.977889,5.500000
128.286317,-103.154506,5.500000
128.473140,-103.329388,5.500000
128.657964,-103.502545,5.500000
128.840804,-103.673991,5.500000
129.021674,-103.843735,5.500000
129.200589,-104.011791,5.500000
129.377565,-104.178170,5.500000
129.552617,-104.342885,5.500000
129.725760,-104.505946,5.500000
129.897009,-104.667367,5.500000
130.066381,-104.827159,5.500000
130.233889,-104.985335,5.500000
130.399551,-105.141905,5.500000
130.563380,-105.296884,5.500000
130.725392,-105.450282,5.500000
130.885604,-105.602111,5.500000
131.044029,-105.752383,5.500000
131.200684,-105.901111,5.500000
131.355583,-106.048305,5.500000
131.508740,-106.193977,5.500000
131.660171,-106.338138,5.500000
131.809889,-106.480799,5.500000
131.957909,-106.621971,5.500000
132.104244,-106.761664,5.500000
132.248908,-106.899887,5.500000
132.391913,-107.036652,5.500000
132.533273,-107.171967,5.500000
132.673000,-107.305842,5.500000
132.811107,-107.438286,5.500000
132.947607,-107.569309,5.500000
133.082510,-107.698918,5.500000
