"a","b","L"
100,-80,5.5
10,-20,5.5
10,-35,5.5
10,-5,5.5
115,-95,5.5
-20,-5,5.5
25,-20,5.5
25,-35,5.5
25,-5,5.5
40,-20,5.5
40,-35,5.5
40,-5,5.5
40,-50,5.5
-5,-20,5.5
-5,-5,5.5
55,-35,5.5
55,-50,5.5
55,-65,5.5
70,-50,5.5
70,-65,5.5
85,-65,5.5
85,-80,5.5
100,-110,20.5
100,-65,20.5
100,-80,20.5
100,-95,20.5
10,10,20.5
10,-20,20.5
10,25,20.5
10,-35,20.5
10,-5,20.5
10,-50,20.5
115,-110,20.5
115,-95,20.5
130,-110,20.5
-20,10,20.5
-20,-20,20.5
-20,25,20.5
-20,-35,20.5
-20,-5,20.5
25,10,20.5
25,-20,20.5
25,25,20.5
25,-35,20.5
25,-5,20.5
25,-50,20.5
25,-65,20.5
-35,10,20.5
-35,-20,20.5
-35,25,20.5
-35,-35,20.5
-35,-5,20.5
40,10,20.5
40,-20,20.5
40,25,20.5
40,-35,20.5
40,-5,20.5
40,-50,20.5
40,-65,20.5
-50,10,20.5
-50,-20,20.5
-50,25,20.5
-50,-5,20.5
-5,10,20.5
-5,-20,20.5
-5,25,20.5
-5,-35,20.5
-5,-5,20.5
-5,-50,20.5
55,10,20.5
55,-20,20.5
55,25,20.5
55,-35,20.5
55,-5,20.5
55,-50,20.5
55,-65,20.5
55,-80,20.5
-65,10,20.5
-65,25,20.5
-65,-5,20.5
70,-20,20.5
70,-35,20.5
70,-5,20.5
70,-50,20.5
70,-65,20.5
70,-80,20.5
70,-95,20.5
-80,10,20.5
-80,25,20.5
-80,-5,20.5
85,-50,20.5
85,-65,20.5
85,-80,20.5
85,-95,20.5
100,-35,35.5
100,-50,35.5
100,-65,35.5
100,-80,35.5
100,-95,35.5
10,10,35.5
10,-20,35.5
10,25,35.5
10,-35,35.5
10,40,35.5
10,-5,35.5
10,-50,35.5
10,55,35.5
10,-65,35.5
-110,10,35.5
-110,25,35.5
-110,40,35.5
-110,-5,35.5
115,-65,35.5
115,-80,35.5
115,-95,35.5
-125,10,35.5
-125,25,35.5
-125,40,35.5
-125,-5,35.5
-140,10,35.5
-140,25,35.5
-20,10,35.5
-20,-20,35.5
-20,25,35.5
-20,-35,35.5
-20,40,35.5
-20,-5,35.5
-20,-50,35.5
-20,55,35.5
25,10,35.5
25,-20,35.5
25,25,35.5
25,-35,35.5
25,40,35.5
25,-5,35.5
25,-50,35.5
25,55,35.5
25,-65,35.5
25,-80,35.5
-35,10,35.5
-35,-20,35.5
-35,25,35.5
-35,-35,35.5
-35,40,35.5
-35,-5,35.5
-35,-50,35.5
-35,55,35.5
40,10,35.5
40,-20,35.5
40,25,35.5
40,-35,35.5
40,40,35.5
40,-5,35.5
40,-50,35.5
40,55,35.5
40,-65,35.5
40,-80,35.5
40,-95,35.5
-50,10,35.5
-50,-20,35.5
-50,25,35.5
-50,-35,35.5
-50,40,35.5
-50,-5,35.5
-50,55,35.5
-5,10,35.5
-5,-20,35.5
-5,25,35.5
-5,-35,35.5
-5,40,35.5
-5,-5,35.5
-5,-50,35.5
55,10,35.5
55,-20,35.5
55,25,35.5
55,-35,35.5
55,40,35.5
-5,55,35.5
55,-5,35.5
55,-50,35.5
55,55,35.5
55,-65,35.5
55,-80,35.5
55,-95,35.5
-5,-65,35.5
-65,10,35.5
-65,-20,35.5
-65,25,35.5
-65,-35,35.5
-65,40,35.5
-65,-5,35.5
-65,55,35.5
70,10,35.5
70,-20,35.5
70,25,35.5
70,-35,35.5
70,40,35.5
70,-5,35.5
70,-50,35.5
70,55,35.5
70,-65,35.5
70,-80,35.5
70,-95,35.5
-80,10,35.5
-80,-20,35.5
-80,25,35.5
-80,40,35.5
-80,-5,35.5
-80,55,35.5
85,10,35.5
85,-20,35.5
85,-35,35.5
85,-5,35.5
85,-50,35.5
85,-65,35.5
85,-80,35.5
85,-95,35.5
-95,10,35.5
-95,-20,35.5
-95,25,35.5
-95,40,35.5
-95,-5,35.5
100,-20,50.5
100,-35,50.5
100,-50,50.5
100,-65,50.5
100,-80,50.5
10,10,50.5
10,-20,50.5
10,25,50.5
10,-35,50.5
10,40,50.5
10,-5,50.5
10,-50,50.5
10,55,50.5
10,-65,50.5
10,70,50.5
10,-80,50.5
10,85,50.5
-110,10,50.5
-110,-20,50.5
-110,25,50.5
-110,40,50.5
-110,-5,50.5
-110,55,50.5
-110,70,50.5
115,-50,50.5
115,-65,50.5
-125,10,50.5
-125,25,50.5
-125,40,50.5
-125,-5,50.5
-125,55,50.5
-140,10,50.5
-140,25,50.5
-140,40,50.5
-140,55,50.5
-155,25,50.5
-155,40,50.5
-20,10,50.5
-20,-20,50.5
-20,25,50.5
-20,-35,50.5
-20,40,50.5
-20,-5,50.5
-20,-50,50.5
-20,55,50.5
-20,-65,50.5
-20,70,50.5
-20,85,50.5
25,10,50.5
25,-20,50.5
25,25,50.5
25,-35,50.5
25,40,50.5
25,-5,50.5
25,-50,50.5
25,55,50.5
25,-65,50.5
25,70,50.5
25,-80,50.5
25,85,50.5
-35,10,50.5
-35,-20,50.5
-35,25,50.5
-35,-35,50.5
-35,40,50.5
-35,-5,50.5
-35,-50,50.5
-35,55,50.5
-35,70,50.5
-35,85,50.5
40,10,50.5
40,-20,50.5
40,25,50.5
40,-35,50.5
40,40,50.5
40,-5,50.5
40,-50,50.5
40,55,50.5
40,-65,50.5
40,70,50.5
40,-80,50.5
40,85,50.5
-50,10,50.5
-50,-20,50.5
-50,25,50.5
-50,-35,50.5
-50,40,50.5
-50,-5,50.5
-50,-50,50.5
-50,55,50.5
-50,70,50.5
-5,10,50.5
-5,-20,50.5
-5,25,50.5
-5,-35,50.5
-5,40,50.5
-5,-5,50.5
-5,-50,50.5
55,10,50.5
55,-20,50.5
55,25,50.5
55,-35,50.5
55,40,50.5
-5,55,50.5
55,-5,50.5
55,-50,50.5
55,55,50.5
55,-65,50.5
55,70,50.5
55,-80,50.5
55,85,50.5
-5,-65,50.5
-5,70,50.5
-5,-80,50.5
-5,85,50.5
-65,10,50.5
-65,-20,50.5
-65,25,50.5
-65,-35,50.5
-65,40,50.5
-65,-5,50.5
-65,55,50.5
-65,70,50.5
70,10,50.5
70,-20,50.5
70,25,50.5
70,-35,50.5
70,40,50.5
70,-5,50.5
70,-50,50.5
70,55,50.5
70,-65,50.5
70,70,50.5
70,-80,50.5
70,85,50.5
-80,10,50.5
-80,-20,50.5
-80,25,50.5
-80,-35,50.5
-80,40,50.5
-80,-5,50.5
-80,55,50.5
-80,70,50.5
85,10,50.5
85,-20,50.5
85,25,50.5
85,-35,50.5
85,40,50.5
85,-5,50.5
85,-50,50.5
85,55,50.5
85,-65,50.5
85,70,50.5
85,-80,50.5
-95,10,50.5
-95,-20,50.5
-95,25,50.5
-95,40,50.5
-95,-5,50.5
-95,55,50.5
-95,70,50.5
100,-50,65.5
10,10,65.5
10,100,65.5
10,-20,65.5
10,25,65.5
10,-35,65.5
10,40,65.5
10,-5,65.5
10,-50,65.5
10,55,65.5
10,70,65.5
10,85,65.5
-110,10,65.5
-110,25,65.5
-110,40,65.5
-110,-5,65.5
-110,55,65.5
-110,70,65.5
-110,85,65.5
-125,10,65.5
-125,25,65.5
-125,40,65.5
-125,55,65.5
-125,70,65.5
-125,85,65.5
-140,10,65.5
-140,25,65.5
-140,40,65.5
-140,55,65.5
-140,70,65.5
-155,40,65.5
-155,55,65.5
-20,10,65.5
-20,100,65.5
-20,-20,65.5
-20,25,65.5
-20,-35,65.5
-20,40,65.5
-20,-5,65.5
-20,-50,65.5
-20,55,65.5
-20,70,65.5
-20,85,65.5
25,10,65.5
25,100,65.5
25,-20,65.5
25,25,65.5
25,-35,65.5
25,40,65.5
25,-5,65.5
25,-50,65.5
25,55,65.5
25,70,65.5
25,85,65.5
-35,10,65.5
-35,100,65.5
-35,-20,65.5
-35,25,65.5
-35,-35,65.5
-35,40,65.5
-35,-5,65.5
-35,-50,65.5
-35,55,65.5
-35,70,65.5
-35,85,65.5
40,10,65.5
40,100,65.5
40,-20,65.5
40,25,65.5
40,-35,65.5
40,40,65.5
40,-5,65.5
40,-50,65.5
40,55,65.5
40,70,65.5
40,85,65.5
-50,10,65.5
-50,100,65.5
-50,-20,65.5
-50,25,65.5
-50,-35,65.5
-50,40,65.5
-50,-5,65.5
-50,-50,65.5
-50,55,65.5
-50,70,65.5
-50,85,65.5
-5,10,65.5
-5,100,65.5
-5,-20,65.5
-5,25,65.5
-5,-35,65.5
-5,40,65.5
-5,-5,65.5
-5,-50,65.5
55,10,65.5
55,100,65.5
55,-20,65.5
55,25,65.5
55,-35,65.5
55,40,65.5
-5,55,65.5
55,-5,65.5
55,-50,65.5
55,55,65.5
55,70,65.5
55,85,65.5
-5,70,65.5
-5,85,65.5
-65,10,65.5
-65,100,65.5
-65,-20,65.5
-65,25,65.5
-65,-35,65.5
-65,40,65.5
-65,-5,65.5
-65,55,65.5
-65,70,65.5
-65,85,65.5
70,10,65.5
70,100,65.5
70,-20,65.5
70,25,65.5
70,-35,65.5
70,40,65.5
70,-5,65.5
70,-50,65.5
70,55,65.5
70,70,65.5
70,85,65.5
-80,10,65.5
-80,100,65.5
-80,-20,65.5
-80,25,65.5
-80,-35,65.5
-80,40,65.5
-80,-5,65.5
-80,55,65.5
-80,70,65.5
-80,85,65.5
85,-20,65.5
85,-35,65.5
85,-5,65.5
85,-50,65.5
-95,10,65.5
-95,100,65.5
-95,-20,65.5
-95,25,65.5
-95,40,65.5
-95,-5,65.5
-95,55,65.5
-95,70,65.5
-95,85,65.5
10,10,80.5
10,100,80.5
10,115,80.5
10,130,80.5
10,-20,80.5
10,25,80.5
10,40,80.5
10,-5,80.5
10,55,80.5
10,70,80.5
10,85,80.5
-110,10,80.5
-110,100,80.5
-110,25,80.5
-110,40,80.5
-110,55,80.5
-110,70,80.5
-110,85,80.5
-125,40,80.5
-125,55,80.5
-125,70,80.5
-125,85,80.5
-20,10,80.5
-20,100,80.5
-20,115,80.5
-20,130,80.5
-20,-20,80.5
-20,25,80.5
-20,40,80.5
-20,-5,80.5
-20,55,80.5
-20,70,80.5
-20,85,80.5
25,10,80.5
25,100,80.5
25,115,80.5
25,130,80.5
25,-20,80.5
25,25,80.5
25,40,80.5
25,-5,80.5
25,55,80.5
25,70,80.5
25,85,80.5
-35,10,80.5
-35,100,80.5
-35,115,80.5
-35,130,80.5
-35,-20,80.5
-35,25,80.5
-35,40,80.5
-35,-5,80.5
-35,55,80.5
-35,70,80.5
-35,85,80.5
40,10,80.5
40,-20,80.5
40,25,80.5
40,40,80.5
40,-5,80.5
40,55,80.5
40,70,80.5
-50,10,80.5
-50,100,80.5
-50,115,80.5
-50,-20,80.5
-50,25,80.5
-50,40,80.5
-50,-5,80.5
-50,55,80.5
-50,70,80.5
-50,85,80.5
-5,10,80.5
-5,100,80.5
-5,115,80.5
-5,130,80.5
-5,-20,80.5
-5,25,80.5
-5,40,80.5
-5,-5,80.5
55,10,80.5
55,-20,80.5
-5,55,80.5
55,-5,80.5
-5,70,80.5
-5,85,80.5
-65,10,80.5
-65,100,80.5
-65,115,80.5
-65,-20,80.5
-65,25,80.5
-65,40,80.5
-65,-5,80.5
-65,55,80.5
-65,70,80.5
-65,85,80.5
-80,10,80.5
-80,100,80.5
-80,115,80.5
-80,-20,80.5
-80,25,80.5
-80,40,80.5
-80,-5,80.5
-80,55,80.5
-80,70,80.5
-80,85,80.5
-95,10,80.5
-95,100,80.5
-95,25,80.5
-95,40,80.5
-95,-5,80.5
-95,55,80.5
-95,70,80.5
-95,85,80.5
10,10,95.5
10,-5,95.5
-20,10,95.5
-20,100,95.5
-20,115,95.5
-20,130,95.5
-20,25,95.5
-20,40,95.5
-20,-5,95.5
-20,55,95.5
-20,70,95.5
-20,85,95.5
-35,10,95.5
-35,100,95.5
-35,115,95.5
-35,25,95.5
-35,40,95.5
-35,55,95.5
-35,70,95.5
-35,85,95.5
-50,100,95.5
-50,25,95.5
-50,40,95.5
-50,55,95.5
-50,70,95.5
-50,85,95.5
-5,10,95.5
-5,25,95.5
-5,40,95.5
-5,-5,95.5
-5,55,95.5
