"L","a","b","prior.uniform","prior.distance.from.munsel.center","prior.McGill.no.blur","prior.McGill.30.blur","prior.McGill.20.blur","prior.McGill.10.blur","prior.McGill.2.blur"
5.5,0,0,0.00087719298245614,0.00108692612785413,0.0221673232289511,0.0506635327081298,0.0925206925721463,0.255502380570639,0.746467152358644
5.5,0,-20,0.00087719298245614,0.00105087365131646,3.33845229351673e-05,0.0188527665256421,0.0512898907852531,0.194447673445148,0.706623329795675
5.5,100,-80,0.00087719298245614,0.000404682492451367,0,3.72311762698894e-06,0.000108386075362518,0.00768033849362372,0.362572708018213
5.5,120,-100,0.00087719298245614,0.000199374798230825,0,1.81640069981306e-07,1.05573761272085e-05,0.00203945854926655,0.27315780951966
5.5,-20,0,0.00087719298245614,0.00105788458159682,0.0037724510916739,0.0276679708245337,0.0678037156325866,0.22573917683086,0.729743378324473
5.5,20,0,0.00087719298245614,0.00105765934287075,0.000133538091740669,0.0257511126688344,0.0664985230065294,0.226813741126633,0.731726803907701
5.5,20,-20,0.00087719298245614,0.00102389924196941,0,0.0120853246854514,0.0402197045763445,0.176067552896717,0.694099409027331
5.5,20,-40,0.00087719298245614,0.000945857467482791,0,0.00330367473578735,0.0175067357611545,0.116921258211432,0.638086721047878
5.5,40,-20,0.00087719298245614,0.000951301308478538,0,0.00460903197174971,0.0221851996028849,0.133563215623078,0.65800606816687
5.5,40,-40,0.00087719298245614,0.000882622821839099,0,0.00150755532240765,0.0105239907454666,0.0912655173660555,0.607599384340717
5.5,60,-40,0.00087719298245614,0.000789981797925289,0,0.000549570256373614,0.00502237453979796,0.0620859800630834,0.561961584558276
5.5,60,-60,0.00087719298245614,0.000704594448955692,0,0.000144405656683714,0.00200056173254782,0.0384992831413547,0.508225908632903
5.5,80,-60,0.00087719298245614,0.000603438193947729,0,5.2679983484752e-05,0.000847824800513861,0.0238814484557668,0.460432439904685
5.5,80,-80,0.00087719298245614,0.000509777385332023,0,1.11024499766709e-05,0.000287034111948048,0.0135517332298922,0.408471810870618
10.5,0,0,0.00087719298245614,0.00112556278946452,0.0337851372103893,0.0721686597890752,0.121478871780373,0.297200007595887,0.770507989063079
10.5,0,-20,0.00087719298245614,0.00108598642481606,0,0.0255192330079469,0.0652695417087895,0.223221691354984,0.727594356817927
10.5,0,-40,0.00087719298245614,0.000997852951962098,0,0.00589975976897376,0.0261424060238698,0.143972239248234,0.665734988101191
10.5,100,-80,0.00087719298245614,0.000418268240442975,0,4.91756304188558e-06,0.000129799390747946,0.0084468884304704,0.369960379978438
10.5,120,-100,0.00087719298245614,0.000210766304523857,0,2.33469286967616e-07,1.25050762819151e-05,0.00223641741522116,0.278640592589831
10.5,140,-120,0.00087719298245614,0,0,7.42963472933915e-09,9.20754407262308e-07,0.000475058862753742,0.198782691054074
10.5,-20,0,0.00087719298245614,0.00109362901833393,0.000267076183481338,0.0376858960519132,0.0870045330382367,0.260465281960921,0.752298560144573
10.5,20,0,0.00087719298245614,0.00109338311696882,0.000200307137611004,0.0357419978828708,0.085692949693104,0.261782214151144,0.754375199146109
10.5,-20,-20,0.00087719298245614,0.00105700893180113,0,0.0162957423995667,0.0503034939908055,0.198978191724437,0.711935519964796
10.5,20,-20,0.00087719298245614,0.00105678415578368,3.33845229351673e-05,0.0162957575623547,0.0508917243554491,0.201342484551051,0.714166138069914
10.5,20,-40,0.00087719298245614,0.000973678705162107,0,0.0043663646123172,0.0217686937013787,0.132263069461547,0.654956480473074
10.5,-40,0,0.00087719298245614,0.00101040352363577,0,0.0117556807656813,0.0425992440976614,0.187857741676608,0.70671302367225
10.5,40,0,0.00087719298245614,0.00100999836790086,0,0.0121855197630163,0.0438394221517876,0.192089156990853,0.710908213458759
10.5,40,-20,0.00087719298245614,0.000979423192552362,0,0.00621944008890387,0.0277944010219174,0.151494636193776,0.675845830516187
10.5,40,-40,0.00087719298245614,0.000907379795241161,0,0.00200336344936465,0.0130157177695282,0.102699473832982,0.622946706767259
10.5,40,-60,0.00087719298245614,0.000806998127628624,0,0.000460347754665984,0.0048028571512634,0.0615256579793626,0.559667015315703
10.5,60,-40,0.00087719298245614,0.000811315661943061,0,0.000744382394532391,0.00618185026140291,0.0694244430944122,0.575341179559439
10.5,60,-60,0.00087719298245614,0.00072352606805064,0,0.000192764747206681,0.00243635012579343,0.0428024342320595,0.519676824983469
