"L","a","b","prior.uniform","prior.distance.from.munsel.center"
5.5,0,0,0.00353356890459364,0.0045049258123492
5.5,40,-40,0.00353356890459364,0.00354609903234826
5.5,80,-80,0.00353356890459364,0.00179627815917145
10.5,0,0,0.00353356890459364,0.00468625359683035
10.5,0,-40,0.00353356890459364,0.00408689172327417
10.5,-40,0,0.00353356890459364,0.00414579348291654
10.5,40,0,0.00353356890459364,0.00414389202485265
10.5,40,-40,0.00353356890459364,0.00366228730924243
10.5,80,-80,0.00353356890459364,0.0018670260172508
15.5,0,0,0.00353356890459364,0.00486752454257341
15.5,0,-40,0.00353356890459364,0.00421694729250579
15.5,-40,0,0.00353356890459364,0.00427952096555874
15.5,40,0,0.00353356890459364,0.0042774976320234
15.5,40,-40,0.00353356890459364,0.00377095781216009
15.5,80,-80,0.00353356890459364,0.00193146147926969
20.5,0,0,0.00353356890459364,0.00504871514773786
20.5,0,-40,0.00353356890459364,0.00433906065776971
20.5,120,-120,0.00353356890459364,0
20.5,-40,0,0.00353356890459364,0.0044055321572713
20.5,40,0,0.00353356890459364,0.00440337877283765
20.5,40,-40,0.00353356890459364,0.00387112716337533
20.5,-80,0,0.00353356890459364,0.00317639903585307
20.5,80,-40,0.00353356890459364,0.00282167992078249
20.5,80,-80,0.00353356890459364,0.00198930560332286
25.5,0,0,0.00353356890459364,0.00522978690597385
25.5,0,40,0.00353356890459364,0.00459320187087865
25.5,0,-40,0.00353356890459364,0.00445170965660887
25.5,-40,0,0.00353356890459364,0.00452224249152049
25.5,40,0,0.00353356890459364,0.00451995280830617
25.5,-40,40,0.00353356890459364,0.00407460488246408
25.5,-40,-40,0.00353356890459364,0.00396348881597983
25.5,40,40,0.00353356890459364,0.00407276250368599
25.5,40,-40,0.00353356890459364,0.00396173165683523
25.5,40,-80,0.00353356890459364,0.00284819945586567
25.5,-80,0,0.00353356890459364,0.00324674462770863
25.5,80,-40,0.00353356890459364,0.00288484583070154
25.5,80,-80,0.00353356890459364,0.00204029383288471
30.5,0,0,0.00353356890459364,0.00541067208962106
30.5,0,40,0.00353356890459364,0.00470323781187613
30.5,0,-40,0.00353356890459364,0.004553127106048
30.5,120,-80,0.00353356890459364,0.000990921814343371
30.5,-40,0,0.00353356890459364,0.00462777524376458
30.5,40,0,0.00353356890459364,0.00462534657005366
30.5,-40,40,0.00353356890459364,0.00415861141553848
30.5,-40,-40,0.00353356890459364,0.00404346917011158
30.5,40,40,0.00353356890459364,0.00415669891520095
30.5,40,-40,0.00353356890459364,0.00404165149273407
30.5,40,-80,0.00353356890459364,0.00290231448524244
30.5,-80,0,0.00353356890459364,0.00330790884113852
30.5,80,0,0.00353356890459364,0.00330514865384177
30.5,-80,40,0.00353356890459364,0.00301901428311479
30.5,80,-40,0.00353356890459364,0.00293953992770247
30.5,80,-80,0.00353356890459364,0.00208418112077463
35.5,0,0,0.00353356890459364,0.00559123965699218
35.5,0,40,0.00353356890459364,0.00479988118960097
35.5,0,-40,0.00353356890459364,0.0046413281016727
35.5,-120,0,0.00353356890459364,0.00193988831859189
35.5,-120,40,0.00353356890459364,0.00173561062792452
35.5,120,-80,0.00353356890459364,0.00102000190963846
35.5,-40,0,0.00353356890459364,0.0047199763822882
35.5,40,0,0.00353356890459364,0.00471741170276015
35.5,-40,40,0.00353356890459364,0.00423043982675441
35.5,-40,-40,0.00353356890459364,0.00411162257391685
35.5,40,40,0.00353356890459364,0.0042284629966526
35.5,40,-40,0.00353356890459364,0.00410974993972887
35.5,40,-80,0.00353356890459364,0.00294762609613815
35.5,-80,0,0.00353356890459364,0.00335933091115058
35.5,80,0,0.00353356890459364,0.00335652352844603
35.5,-80,40,0.00353356890459364,0.0030659288573883
35.5,80,40,0.00353356890459364,0.00306337102675568
35.5,80,-40,0.00353356890459364,0.00298535074884841
35.5,80,-80,0.00353356890459364,0.00212074712578598
40.5,0,0,0.00353356890459364,0.00577119926299037
40.5,0,40,0.00353356890459364,0.00488051214482032
40.5,0,-40,0.00353356890459364,0.00471419147820359
40.5,-120,0,0.00353356890459364,0.00196774700658018
40.5,-120,40,0.00353356890459364,0.00176223245139419
40.5,120,-80,0.00353356890459364,0.00104304214442671
40.5,-40,0,0.00353356890459364,0.00479649152615097
40.5,40,0,0.00353356890459364,0.00479380186004508
40.5,-40,40,0.00353356890459364,0.00428882511563135
40.5,-40,-40,0.00353356890459364,0.00416684813556838
40.5,40,40,0.00353356890459364,0.00428679271891924
40.5,40,-40,0.00353356890459364,0.00416492847162819
40.5,40,-80,0.00353356890459364,0.00298378023478175
40.5,-80,0,0.00353356890459364,0.00340050365003732
40.5,80,0,0.00353356890459364,0.00339765729974539
40.5,-80,40,0.00353356890459364,0.00310339452220747
40.5,80,40,0.00353356890459364,0.00310080732359255
40.5,80,-40,0.00353356890459364,0.00302191297041193
40.5,80,-80,0.00353356890459364,0.00214980126313076
45.5,0,0,0.00353356890459364,0.00594975765799826
45.5,0,40,0.00353356890459364,0.00494240331630654
45.5,0,-40,0.00353356890459364,0.00476961296700799
45.5,0,-80,0.00353356890459364,0.00334206753886208
45.5,-120,0,0.00353356890459364,0.0019882432315277
45.5,-120,40,0.00353356890459364,0.00178180929910806
45.5,120,-80,0.00353356890459364,0.0010599638072892
45.5,-40,0,0.00353356890459364,0.00485493266211147
45.5,40,0,0.00353356890459364,0.00485213901813606
45.5,-40,40,0.00353356890459364,0.00433260778279949
45.5,-40,-40,0.00353356890459364,0.00420815208930576
45.5,40,40,0.00353356890459364,0.00433053162446367
45.5,40,-40,0.00353356890459364,0.00420619567826661
45.5,40,-80,0.00353356890459364,0.00301048070281879
45.5,-80,0,0.00353356890459364,0.00343099538321096
45.5,80,0,0.00353356890459364,0.00342811947015847
45.5,-80,40,0.00353356890459364,0.0031310827486567
45.5,80,40,0.00353356890459364,0.0031284734093519
45.5,80,-40,0.00353356890459364,0.00304892056140143
45.5,80,-80,0.00353356890459364,0.00217118736651352
50.5,0,0,0.00353356890459364,0.00612376882789003
50.5,0,40,0.00353356890459364,0.0049830326714683
50.5,0,-40,0.00353356890459364,0.0048057303518481
50.5,0,80,0.00353356890459364,0.00353982383923741
50.5,0,-80,0.00353356890459364,0.00336096610394314
50.5,-120,0,0.00353356890459364,0.00200127322324121
50.5,-120,40,0.00353356890459364,0.00179425062651327
50.5,-160,40,0.00353356890459364,0.000393503278745956
50.5,-40,0,0.00353356890459364,0.00489314371463749
50.5,40,0,0.00353356890459364,0.00489027763100002
50.5,-40,40,0.00353356890459364,0.00436083006965245
50.5,-40,-40,0.00353356890459364,0.00423472409420638
50.5,40,40,0.00353356890459364,0.00435872469015158
50.5,40,-40,0.00353356890459364,0.00423274329012775
50.5,-40,80,0.00353356890459364,0.00318885422695226
50.5,40,80,0.00353356890459364,0.00318752556031689
50.5,40,-80,0.00353356890459364,0.00302750052748826
50.5,-80,0,0.00353356890459364,0.00345047073471194
50.5,80,0,0.00353356890459364,0.00344757561629476
50.5,-80,40,0.00353356890459364,0.00314874092567792
50.5,80,40,0.00353356890459364,0.00314611726723242
50.5,80,-40,0.00353356890459364,0.00306613876747843
50.5,-80,80,0.00353356890459364,0.00231348114194927
50.5,80,80,0.00353356890459364,0.00231139820511783
50.5,80,-80,0.00353356890459364,0.00218478771433304
55.5,0,0,0.00353356890459364,0.00626520895691385
55.5,0,40,0.00353356890459364,0.00500049811649607
55.5,0,-40,0.00353356890459364,0.00482118724035234
55.5,0,80,0.00353356890459364,0.00354832265510611
55.5,-120,0,0.00353356890459364,0.00200676999834612
55.5,-120,40,0.00353356890459364,0.00179949808508261
55.5,-160,40,0.00353356890459364,0.000397518652346769
55.5,-40,0,0.00353356890459364,0.00490952930845688
55.5,40,0,0.00353356890459364,0.00490663099870709
55.5,-40,40,0.00353356890459364,0.00437283019662447
55.5,-40,-40,0.00353356890459364,0.00424600958392079
55.5,40,40,0.00353356890459364,0.00437071214167374
55.5,40,-40,0.00353356890459364,0.00424401823486282
55.5,-40,80,0.00353356890459364,0.00319641121037668
55.5,40,80,0.00353356890459364,0.00319507937517145
55.5,-80,0,0.00353356890459364,0.00345870814872098
55.5,80,0,0.00353356890459364,0.00345580482971355
55.5,-80,40,0.00353356890459364,0.00315620340595717
55.5,80,40,0.00353356890459364,0.00315357364880145
55.5,80,-40,0.00353356890459364,0.00307341391088687
55.5,-80,80,0.00353356890459364,0.00231940220583184
55.5,80,80,0.00353356890459364,0.00231731622121406
60.5,0,0,0.00353356890459364,0.00619736178485632
60.5,0,40,0.00353356890459364,0.00499391345854385
60.5,0,-40,0.00353356890459364,0.00481536484425644
60.5,0,80,0.00353356890459364,0.00354512821080679
60.5,-120,0,0.00353356890459364,0.00200470505965066
60.5,-120,40,0.00353356890459364,0.00179752687434365
60.5,-120,80,0.00353356890459364,0.00117541078738097
60.5,-160,40,0.00353356890459364,0.000396010499269255
60.5,-40,0,0.00353356890459364,0.00490335470497371
60.5,40,0,0.00353356890459364,0.00490046862367712
60.5,-40,40,0.00353356890459364,0.00436831549823087
60.5,-40,-40,0.00353356890459364,0.00424176466709593
60.5,40,40,0.00353356890459364,0.00436620222990814
60.5,40,-40,0.00353356890459364,0.00423977729756027
60.5,-40,80,0.00353356890459364,0.00319357133148924
60.5,40,80,0.00353356890459364,0.00319224068878824
60.5,-80,0,0.00353356890459364,0.00345561213380988
60.5,80,0,0.00353356890459364,0.00345271190241784
60.5,-80,40,0.00353356890459364,0.00315339909276079
60.5,80,40,0.00353356890459364,0.00315077163075049
60.5,80,-40,0.00353356890459364,0.00307068009503192
60.5,-80,80,0.00353356890459364,0.00231717773687107
65.5,0,0,0.00353356890459364,0.00602975306384781
65.5,0,40,0.00353356890459364,0.00496361792799851
