"","wcs.index","wcs.value","wcs.hue","chroma","hue","value","L.","a.","b.","sphere.lat","sphere.long","sphere.radius","sphere.x","sphere.y","sphere.z"
"1",141,"A",0,0,"10.00RP",9.5,96,-0.06,0.06,-1.5707963267949,0,128.57143,0,0,-128.57143
"2",274,"B",0,0,"10.00RP",9,91.08,-0.05,0.06,-1.5707963267949,0,100.000001428571,0,0,-100.000001428571
"3",129,"B",1,2,"2.50R",9,91.08,5.53,2.22,-1.22173047639603,0,100,34.2020143325669,0,-93.9692620785908
"4",230,"B",2,2,"5.00R",9,91.08,5.51,3.28,-1.22173047639603,0.15707963267949,100,33.7809307811441,5.35037381541341,-93.9692620785908
"5",302,"B",3,2,"7.50R",9,91.08,5.54,4.46,-1.22173047639603,0.314159265358979,100,32.528048601408,10.5690036706187,-93.9692620785908
"6",324,"B",4,2,"10.00R",9,91.08,5.43,5.64,-1.22173047639603,0.471238898038469,100,30.4742179107012,15.5273895789412,-93.9692620785908
"7",27,"B",5,2,"2.50YR",9,91.08,5.21,7.67,-1.22173047639603,0.628318530717959,100,27.6700108369021,20.1034396233786,-93.9692620785908
"8",290,"B",6,2,"5.00YR",9,91.08,4.3,10.08,-1.22173047639603,0.785398163397448,100,24.1844762647975,24.1844762647975,-93.9692620785908
"9",92,"B",7,2,"7.50YR",9,91.08,3.14,12.37,-1.22173047639603,0.942477796076938,100,20.1034396233786,27.6700108369021,-93.9692620785908
"10",66,"B",8,2,"10.00YR",9,91.08,1.28,14.41,-1.22173047639603,1.09955742875643,100,15.5273895789412,30.4742179107012,-93.9692620785908
"11",83,"B",9,4,"2.50Y",9,91.08,-0.46,29.79,-1.22173047639603,1.25663706143592,100,10.5690036706187,32.528048601408,-93.9692620785908
"12",22,"B",10,6,"5.00Y",9,91.08,-5.25,45.24,-1.22173047639603,1.41371669411541,100,5.35037381541341,33.7809307811441,-93.9692620785908
"13",242,"B",11,6,"7.50Y",9,91.08,-9.03,45.94,-1.22173047639603,1.5707963267949,100,2.0942693688385e-15,34.2020143325669,-93.9692620785908
"14",106,"B",12,6,"10.00Y",9,91.08,-12.17,45.9,-1.22173047639603,1.72787595947439,100,-5.35037381541341,33.7809307811441,-93.9692620785908
"15",177,"B",13,6,"2.50GY",9,91.08,-16.65,44.66,-1.22173047639603,1.88495559215388,100,-10.5690036706187,32.528048601408,-93.9692620785908
"16",260,"B",14,4,"5.00GY",9,91.08,-14.67,29.61,-1.22173047639603,2.04203522483337,100,-15.5273895789412,30.4742179107012,-93.9692620785908
"17",206,"B",15,2,"7.50GY",9,91.08,-10.76,13.38,-1.22173047639603,2.19911485751286,100,-20.1034396233786,27.6700108369021,-93.9692620785908
"18",52,"B",16,2,"10.00GY",9,91.08,-12.29,10.56,-1.22173047639603,2.35619449019234,100,-24.1844762647975,24.1844762647975,-93.9692620785908
"19",199,"B",17,2,"2.50G",9,91.08,-13.13,7.63,-1.22173047639603,2.51327412287183,100,-27.6700108369021,20.1034396233786,-93.9692620785908
"20",95,"B",18,2,"5.00G",9,91.08,-13.24,5.48,-1.22173047639603,2.67035375555132,100,-30.4742179107012,15.5273895789412,-93.9692620785908
"21",293,"B",19,2,"7.50G",9,91.08,-13.22,3.82,-1.22173047639603,2.82743338823081,100,-32.528048601408,10.5690036706187,-93.9692620785908
"22",219,"B",20,2,"10.00G",9,91.08,-12.96,2.42,-1.22173047639603,2.9845130209103,100,-33.7809307811441,5.35037381541341,-93.9692620785908
"23",108,"B",21,2,"2.50BG",9,91.08,-12.69,1.23,-1.22173047639603,3.14159265358979,100,-34.2020143325669,4.18853873767699e-15,-93.9692620785908
"24",330,"B",22,2,"5.00BG",9,91.08,-11.94,-0.27,-1.22173047639603,3.29867228626928,100,-33.7809307811441,-5.3503738154134,-93.9692620785908
"25",221,"B",23,2,"7.50BG",9,91.08,-10.86,-2.13,-1.22173047639603,3.45575191894877,100,-32.528048601408,-10.5690036706187,-93.9692620785908
"26",284,"B",24,2,"10.00BG",9,91.08,-9.69,-3.22,-1.22173047639603,3.61283155162826,100,-30.4742179107012,-15.5273895789412,-93.9692620785908
"27",327,"B",25,2,"2.50B",9,91.08,-7.96,-4.41,-1.22173047639603,3.76991118430775,100,-27.6700108369021,-20.1034396233786,-93.9692620785908
"28",244,"B",26,2,"5.00B",9,91.08,-6.32,-5.08,-1.22173047639603,3.92699081698724,100,-24.1844762647975,-24.1844762647975,-93.9692620785908
"29",294,"B",27,2,"7.50B",9,91.08,-4.65,-5.34,-1.22173047639603,4.08407044966673,100,-20.1034396233786,-27.6700108369021,-93.9692620785908
"30",272,"B",28,2,"10.00B",9,91.08,-3.48,-5.55,-1.22173047639603,4.24115008234622,100,-15.5273895789412,-30.4742179107012,-93.9692620785908
"31",172,"B",29,2,"2.50PB",9,91.08,-1.49,-5.61,-1.22173047639603,4.39822971502571,100,-10.5690036706187,-32.528048601408,-93.9692620785908
"32",158,"B",30,2,"5.00PB",9,91.08,-0.37,-5.58,-1.22173047639603,4.5553093477052,100,-5.35037381541341,-33.7809307811441,-93.9692620785908
"33",120,"B",31,2,"7.50PB",9,91.08,1.12,-5.38,-1.22173047639603,4.71238898038469,100,-6.28280810651549e-15,-34.2020143325669,-93.9692620785908
"34",286,"B",32,2,"10.00PB",9,91.08,2.19,-4.93,-1.22173047639603,4.86946861306418,100,5.3503738154134,-33.7809307811441,-93.9692620785908
"35",262,"B",33,2,"2.50P",9,91.08,2.95,-4.85,-1.22173047639603,5.02654824574367,100,10.5690036706187,-32.528048601408,-93.9692620785908
